date,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ
2022-01-12 00:00:00,75,29,0.3866666666666667
2022-01-11 00:00:00,81,35,0.4320987654320988
2022-01-10 00:00:00,174,52,0.2988505747126437
2022-01-09 00:00:00,26,7,0.2692307692307692
2022-01-08 00:00:00,15,3,0.2
2022-01-07 00:00:00,92,20,0.2173913043478261
2022-01-06 00:00:00,108,26,0.2407407407407408
2022-01-05 00:00:00,106,25,0.2358490566037736
2022-01-04 00:00:00,377,26,0.0689655172413793
2022-01-03 00:00:00,109,33,0.3027522935779817
2022-01-02 00:00:00,12,2,0.1666666666666667
2022-01-01 00:00:00,18,4,0.2222222222222222
2021-12-31 00:00:00,26,6,0.2307692307692308
2021-12-30 00:00:00,105,16,0.1523809523809524
2021-12-29 00:00:00,250,4,0.016
2021-12-28 00:00:00,312,5,0.016025641025641
2021-12-27 00:00:00,54,8,0.1481481481481482
2021-12-26 00:00:00,28,1,0.0357142857142857
2021-12-25 00:00:00,5,1,0.2
2021-12-24 00:00:00,20,4,0.2
2021-12-23 00:00:00,37,4,0.1081081081081081
2021-12-22 00:00:00,69,6,0.0869565217391304
2021-12-21 00:00:00,319,6,0.0188087774294671
2021-12-20 00:00:00,51,11,0.2156862745098039
2021-12-19 00:00:00,18,2,0.1111111111111111
2021-12-18 00:00:00,21,0,0
2021-12-17 00:00:00,40,4,0.1
2021-12-16 00:00:00,40,5,0.125
2021-12-15 00:00:00,237,4,0.0168776371308017
2021-12-14 00:00:00,48,4,0.0833333333333333
2021-12-13 00:00:00,70,10,0.1428571428571429
2021-12-12 00:00:00,18,4,0.2222222222222222
2021-12-11 00:00:00,20,1,0.05
2021-12-10 00:00:00,36,3,0.0833333333333333
2021-12-09 00:00:00,57,12,0.2105263157894737
2021-12-08 00:00:00,64,11,0.171875
2021-12-07 00:00:00,64,6,0.09375
2021-12-06 00:00:00,84,17,0.2023809523809524
2021-12-05 00:00:00,24,2,0.0833333333333333
2021-12-04 00:00:00,10,1,0.1
