date,Gila_cume,Gila
2020-12-01,1,
2020-12-17,69,68
2020-12-18,109,40
2020-12-19,111,2
2020-12-20,112,1
2020-12-21,148,36
2020-12-22,170,22
2020-12-23,224,54
2020-12-24,293,69
2020-12-26,321,28
2020-12-27,322,1
2020-12-28,457,135
2020-12-29,582,125
2020-12-30,739,157
2020-12-31,896,157
2021-01-01,902,6
2021-01-02,1098,196
2021-01-03,1101,3
2021-01-04,1252,151
2021-01-05,1563,311
2021-01-06,1839,276
2021-01-07,2329,490
2021-01-08,2714,385
2021-01-09,2750,36
2021-01-10,2751,1
2021-01-11,2937,186
2021-01-12,3031,94
2021-01-13,3128,97
2021-01-14,3376,248
2021-01-15,3627,251
2021-01-16,3633,6
2021-01-17,3636,3
2021-01-18,3759,123
2021-01-19,3950,191
2021-01-20,4232,282
2021-01-21,4557,325
2021-01-22,4677,120
2021-01-23,4827,150
2021-01-24,4840,13
2021-01-25,5046,206
2021-01-26,5165,119
2021-01-27,5507,342
2021-01-28,6017,510
2021-01-29,6317,300
2021-01-30,6553,236
2021-01-31,6561,8
2021-02-01,6917,356
2021-02-02,7575,658
2021-02-03,8267,692
2021-02-04,9275,1008
2021-02-05,10052,777
2021-02-06,10500,448
2021-02-07,10519,19
2021-02-08,10851,332
2021-02-09,11292,441
2021-02-10,11698,406
2021-02-11,12037,339
2021-02-12,12368,331
2021-02-13,13163,795
2021-02-14,13608,445
2021-02-15,13790,182
2021-02-16,14182,392
2021-02-17,14506,324
2021-02-18,14797,291
2021-02-19,15114,317
2021-02-20,15317,203
2021-02-21,15321,4
2021-02-22,15462,141
2021-02-23,15727,265
2021-02-24,15936,209
2021-02-25,16325,389
2021-02-26,16703,378
2021-02-27,18452,1749
2021-02-28,19336,884
2021-03-01,19586,250
2021-03-02,19942,356
2021-03-03,20270,328
2021-03-04,20992,722
2021-03-05,21252,260
2021-03-06,21641,389
2021-03-07,21653,12
2021-03-08,21870,217
2021-03-09,22155,285
2021-03-10,22464,309
2021-03-11,23744,1280
2021-03-12,24121,377
2021-03-13,25223,1102
2021-03-14,25642,419
2021-03-15,25819,177
2021-03-16,26119,300
2021-03-17,26265,146
2021-03-18,26586,321
2021-03-19,26836,250
2021-03-20,27169,333
2021-03-21,27183,14
2021-03-22,27357,174
2021-03-23,27524,167
2021-03-24,27651,127
2021-03-25,27908,257
2021-03-26,28080,172
2021-03-27,29746,1666
2021-03-28,30544,798
2021-03-29,30805,261
2021-03-30,30927,122
2021-03-31,31080,153
2021-04-01,31707,627
2021-04-02,31899,192
2021-04-03,31942,43
2021-04-04,31947,5
2021-04-05,32084,137
2021-04-06,32503,419
2021-04-07,32683,180
2021-04-08,32969,286
2021-04-09,33157,188
2021-04-10,33689,532
2021-04-11,33706,17
2021-04-12,33867,161
2021-04-13,33976,109
2021-04-14,34043,67
2021-04-15,34232,189
2021-04-16,34352,120
2021-04-17,34715,363
2021-04-18,34731,16
2021-04-19,34846,115
2021-04-20,34950,104
