date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
1/1/2021,11,6,21,15,16,
1/1/2022,739,564,712,1387,4961,759
1/10/2021,28,20,43,37,33,
1/10/2022,754,568,721,1405,4992,770
1/11/2021,28,20,43,38,36,
1/11/2022,755,569,721,1408,4992,771
1/12/2021,28,20,45,39,42,
1/12/2022,756,570,722,1410,4998,773
1/13/2021,56,48,82,82,66,
1/13/2022,756,570,722,1410,4998,775
1/14/2021,57,48,82,83,71,1
1/15/2021,59,49,82,83,74,1
1/16/2021,59,50,82,84,75,1
1/17/2021,59,50,82,84,77,1
1/18/2021,60,51,82,87,84,1
1/19/2021,60,51,82,87,89,1
1/2/2021,11,6,21,15,16,
1/2/2022,739,564,712,1387,4962,761
1/20/2021,67,55,89,109,105,1
1/21/2021,67,55,90,112,112,1
1/22/2021,67,58,90,112,112,1
1/23/2021,68,59,90,112,115,1
1/24/2021,68,59,90,113,115,1
1/25/2021,69,61,91,115,139,1
1/26/2021,71,61,91,117,160,1
1/27/2021,72,61,94,119,521,1
1/28/2021,75,64,97,125,906,1
1/29/2021,76,64,98,126,926,1
1/3/2021,11,6,21,15,16,
1/3/2022,742,565,713,1389,4968,761
1/30/2021,77,66,98,126,931,1
1/31/2021,77,66,98,127,939,1
1/4/2021,11,8,21,16,16,
1/4/2022,742,565,713,1390,4972,763
1/5/2021,11,8,21,16,18,
1/5/2022,744,565,713,1392,4975,766
1/6/2021,17,12,29,26,21,
1/6/2022,746,565,716,1401,4985,766
1/7/2021,28,20,43,37,33,
1/7/2022,747,566,718,1402,4988,766
1/8/2021,28,20,43,37,33,
1/8/2022,749,566,719,1403,4989,767
1/9/2021,28,20,43,37,33,
1/9/2022,750,566,719,1403,4989,767
10/1/2021,600,474,637,1230,4553,433
10/10/2021,627,484,648,1241,4572,458
10/11/2021,629,485,649,1242,4576,459
10/12/2021,629,487,649,1245,4579,464
10/13/2021,633,490,652,1248,4579,466
10/14/2021,636,491,653,1249,4579,468
10/15/2021,637,491,653,1250,4580,468
10/16/2021,641,491,654,1250,4580,468
10/17/2021,645,492,655,1250,4580,469
10/18/2021,647,492,657,1251,4581,476
10/19/2021,647,492,658,1252,4583,481
10/2/2021,600,474,638,1230,4554,434
10/20/2021,650,496,659,1254,4585,482
10/21/2021,650,498,660,1256,4592,482
10/22/2021,651,500,661,1256,4598,484
10/23/2021,654,500,661,1257,4598,484
10/24/2021,655,500,662,1258,4599,484
10/25/2021,655,500,662,1259,4602,488
10/26/2021,655,502,662,1261,4615,496
10/27/2021,657,508,664,1266,4622,501
10/28/2021,658,508,664,1266,4624,501
10/29/2021,660,509,665,1268,4627,505
10/3/2021,601,474,638,1230,4554,434
10/30/2021,660,509,665,1269,4629,505
10/31/2021,660,510,665,1269,4630,505
10/4/2021,601,474,638,1230,4557,443
10/5/2021,601,474,638,1231,4559,446
10/6/2021,607,478,640,1232,4564,448
10/7/2021,625,484,648,1238,4568,457
10/8/2021,625,484,648,1240,4571,458
10/9/2021,627,484,648,1241,4572,458
11/1/2021,661,512,665,1269,4632,507
11/10/2021,684,523,672,1281,4671,522
11/11/2021,684,523,672,1281,4680,524
11/12/2021,684,524,672,1281,4686,525
11/13/2021,684,524,672,1281,4687,526
11/14/2021,684,524,672,1281,4688,526
11/15/2021,685,525,673,1283,4691,548
11/16/2021,687,525,674,1284,4703,550
11/17/2021,694,530,676,1291,4713,586
11/18/2021,696,531,678,1292,4717,586
11/19/2021,697,532,680,1295,4722,590
11/2/2021,665,513,665,1270,4638,508
11/20/2021,697,533,682,1295,4725,590
11/21/2021,698,533,682,1295,4726,590
11/22/2021,698,533,682,1296,4728,599
11/23/2021,699,535,682,1297,4730,607
11/24/2021,700,538,684,1298,4731,629
11/25/2021,700,538,684,1298,4731,629
11/26/2021,700,538,684,1298,4733,630
11/27/2021,700,539,684,1298,4735,631
11/28/2021,701,539,685,1298,4738,631
11/29/2021,702,539,685,1299,4745,634
11/3/2021,669,513,666,1272,4643,508
11/30/2021,705,539,685,1299,4746,639
11/4/2021,674,517,672,1277,4651,512
11/5/2021,674,518,672,1277,4656,513
11/6/2021,674,518,672,1278,4657,514
11/7/2021,674,518,672,1278,4657,514
11/8/2021,677,518,672,1278,4660,517
11/9/2021,681,521,672,1278,4665,519
12/1/2021,707,539,688,1304,4765,651
12/10/2021,722,549,699,1336,4834,721
12/11/2021,723,549,700,1336,4836,721
12/12/2021,723,549,700,1336,4837,722
12/13/2021,723,552,701,1342,4848,725
12/14/2021,723,555,702,1348,4855,727
12/15/2021,725,556,702,1351,4863,732
12/16/2021,725,558,702,1353,4868,733
12/17/2021,725,558,702,1355,4875,734
12/18/2021,725,558,702,1356,4875,734
12/19/2021,726,559,702,1356,4876,734
12/2/2021,709,543,692,1308,4775,651
12/20/2021,729,560,702,1358,4884,736
12/21/2020,1,1,2,,6,
12/21/2021,731,561,702,1363,4895,741
12/22/2020,5,3,7,4,10,
12/22/2021,733,561,703,1367,4910,745
12/23/2020,7,5,10,7,13,
12/23/2021,733,561,704,1370,4923,745
12/24/2020,7,5,10,7,13,
12/24/2021,734,561,704,1372,4927,745
12/25/2020,7,5,10,7,13,
12/25/2021,734,561,704,1372,4927,745
12/26/2020,7,5,10,7,13,
12/26/2021,735,561,705,1372,4929,746
12/27/2020,7,5,10,7,13,
12/27/2021,735,564,708,1372,4934,747
12/28/2020,7,6,11,8,13,
12/28/2021,736,564,710,1375,4941,751
12/29/2020,8,6,12,8,13,
12/29/2021,738,564,711,1379,4948,759
12/3/2021,712,543,692,1316,4783,653
12/30/2020,11,6,19,12,16,
12/30/2021,738,564,712,1385,4961,759
12/31/2020,11,6,21,15,16,
12/31/2021,739,564,712,1387,4961,759
12/4/2021,714,543,693,1318,4789,653
12/5/2021,715,543,694,1321,4789,653
12/6/2021,719,545,696,1326,4800,654
12/7/2021,719,545,697,1330,4810,691
12/8/2021,720,546,697,1331,4816,718
12/9/2021,720,549,697,1334,4823,718
2/1/2021,77,68,99,128,957,1
2/10/2021,90,86,112,182,1875,2
2/11/2021,92,90,113,187,1898,2
2/12/2021,94,90,113,190,1905,2
2/13/2021,94,90,114,191,1911,2
2/14/2021,94,90,114,192,1920,2
2/15/2021,94,91,114,193,1924,2
2/16/2021,94,92,114,193,1932,3
2/17/2021,94,94,116,201,1949,3
2/18/2021,97,98,116,220,2207,3
2/19/2021,97,99,117,220,2214,3
2/2/2021,77,68,99,131,982,1
2/20/2021,98,99,117,221,2215,3
2/21/2021,98,99,117,222,2216,3
2/22/2021,98,99,117,222,2221,3
2/23/2021,98,100,117,226,2231,4
2/24/2021,102,105,124,250,2474,5
2/25/2021,105,108,126,260,2510,5
2/26/2021,106,108,129,260,2517,5
2/27/2021,106,109,129,261,2519,5
2/28/2021,106,109,129,261,2523,5
2/3/2021,83,70,101,151,1401,1
2/4/2021,87,78,107,166,1460,1
2/5/2021,87,79,108,167,1495,1
2/6/2021,88,79,108,167,1497,1
2/7/2021,88,79,108,167,1501,1
2/8/2021,88,79,110,169,1527,2
2/9/2021,88,81,111,170,1561,2
3/1/2021,106,110,130,261,2552,6
3/10/2021,112,116,142,329,2812,7
3/11/2021,115,123,153,408,3050,9
3/12/2021,116,123,156,417,3086,9
3/13/2021,116,124,157,423,3091,9
3/14/2021,118,124,157,426,3091,9
3/15/2021,118,124,157,435,3126,9
3/16/2021,118,124,158,443,3158,9
3/17/2021,120,132,175,518,3367,10
3/18/2021,122,137,182,531,3395,11
3/19/2021,123,137,184,538,3419,11
3/2/2021,106,110,130,266,2585,7
3/20/2021,123,138,184,540,3422,11
3/21/2021,123,138,185,542,3425,11
3/22/2021,123,138,188,550,3454,11
3/23/2021,126,141,192,563,3478,12
3/24/2021,128,142,198,580,3508,12
3/25/2021,139,151,219,674,3697,15
3/26/2021,140,154,222,678,3699,15
3/27/2021,141,155,223,679,3700,15
3/28/2021,141,156,223,679,3700,15
3/29/2021,144,157,225,681,3703,16
3/3/2021,108,111,131,277,2634,7
3/30/2021,177,181,246,698,3714,17
3/31/2021,203,213,288,793,3831,22
3/4/2021,109,112,136,300,2697,7
3/5/2021,109,114,136,300,2706,7
3/6/2021,110,114,137,301,2711,7
3/7/2021,110,114,137,302,2712,7
3/8/2021,110,114,137,307,2724,7
3/9/2021,110,114,138,315,2764,7
4/1/2021,208,215,297,802,3846,22
4/10/2021,260,261,367,894,4027,63
4/11/2021,265,262,368,900,4028,63
4/12/2021,269,264,370,907,4033,63
4/13/2021,273,264,371,909,4037,64
4/14/2021,288,271,382,916,4048,64
4/15/2021,300,274,389,928,4064,64
4/16/2021,302,276,391,929,4064,64
4/17/2021,303,276,391,929,4064,64
4/18/2021,304,276,393,929,4064,64
4/19/2021,307,277,393,932,4069,64
4/2/2021,213,219,299,805,3849,22
4/20/2021,308,277,393,933,4076,64
4/21/2021,319,282,401,953,4106,66
4/22/2021,325,283,404,960,4130,66
4/23/2021,330,290,406,964,4132,68
4/24/2021,332,291,408,965,4135,69
4/25/2021,332,291,408,965,4135,69
4/26/2021,334,293,410,969,4137,72
4/27/2021,336,297,412,971,4151,73
4/28/2021,343,299,417,976,4160,75
4/29/2021,345,302,420,979,4171,75
4/3/2021,213,219,301,806,3850,22
4/30/2021,352,305,424,979,4177,76
4/4/2021,214,219,301,806,3851,22
4/5/2021,216,222,305,812,3862,23
4/6/2021,220,226,316,826,3880,23
4/7/2021,239,249,349,845,3939,26
4/8/2021,250,255,365,889,4012,26
4/9/2021,258,260,366,894,4025,63
5/1/2021,361,312,428,982,4182,78
5/10/2021,378,333,450,1013,4223,85
5/11/2021,379,333,451,1015,4226,86
5/12/2021,381,336,456,1019,4244,87
5/13/2021,382,336,457,1021,4248,89
5/14/2021,382,336,458,1026,4253,89
5/15/2021,382,338,458,1026,4253,90
5/16/2021,382,338,458,1026,4254,90
5/17/2021,385,338,463,1029,4258,92
5/18/2021,385,339,465,1033,4267,98
5/19/2021,388,341,471,1044,4281,119
5/2/2021,362,312,430,983,4183,78
5/20/2021,390,341,472,1047,4287,119
5/21/2021,398,341,473,1052,4291,120
5/22/2021,399,341,473,1052,4293,122
5/23/2021,399,341,474,1052,4293,124
5/24/2021,399,342,476,1055,4294,126
5/25/2021,400,342,477,1060,4297,134
5/26/2021,405,347,482,1061,4306,135
5/27/2021,405,347,484,1062,4306,136
5/28/2021,406,347,484,1062,4308,136
5/29/2021,407,349,485,1062,4309,136
5/3/2021,365,313,432,988,4184,78
5/30/2021,407,349,485,1062,4309,137
5/31/2021,407,349,485,1062,4309,137
5/4/2021,366,315,434,989,4190,82
5/5/2021,374,328,443,999,4204,84
5/6/2021,375,332,449,1008,4218,85
5/7/2021,377,333,450,1008,4218,85
5/8/2021,377,333,450,1011,4220,85
5/9/2021,377,333,450,1011,4221,85
6/1/2021,410,352,486,1063,4311,141
6/10/2021,419,361,501,1078,4341,165
6/11/2021,421,362,502,1078,4343,168
6/12/2021,422,362,502,1078,4343,168
6/13/2021,422,363,502,1080,4343,168
6/14/2021,423,363,505,1080,4344,168
6/15/2021,425,365,505,1080,4345,176
6/16/2021,425,365,508,1084,4347,177
6/17/2021,427,365,510,1084,4347,177
6/18/2021,429,365,510,1084,4348,178
6/19/2021,429,366,510,1085,4348,178
6/2/2021,412,355,491,1070,4321,141
6/20/2021,429,366,510,1085,4348,178
6/21/2021,430,367,510,1085,4349,179
6/22/2021,432,367,511,1087,4350,186
6/23/2021,434,367,513,1089,4353,186
6/24/2021,435,368,514,1093,4354,187
6/25/2021,437,369,515,1093,4354,188
6/26/2021,437,371,516,1094,4354,189
6/27/2021,437,371,516,1095,4355,189
6/28/2021,437,371,517,1096,4357,189
6/29/2021,437,371,518,1101,4359,195
6/3/2021,414,357,496,1072,4328,142
6/30/2021,439,372,520,1101,4360,198
6/4/2021,414,357,497,1073,4329,143
6/5/2021,414,357,497,1073,4331,144
6/6/2021,415,357,497,1073,4333,144
6/7/2021,418,358,499,1073,4333,145
6/8/2021,419,358,500,1073,4336,155
6/9/2021,419,361,501,1077,4340,165
7/1/2021,441,374,520,1101,4365,198
7/10/2021,445,381,529,1113,4376,202
7/11/2021,445,382,531,1113,4376,202
7/12/2021,449,385,533,1115,4378,203
7/13/2021,449,386,534,1115,4379,207
7/14/2021,449,386,536,1116,4380,209
7/15/2021,451,386,537,1116,4381,209
7/16/2021,451,386,540,1116,4381,211
7/17/2021,451,387,540,1117,4382,212
7/18/2021,451,388,540,1117,4382,212
7/19/2021,451,388,540,1118,4384,214
7/2/2021,441,375,523,1101,4365,198
7/20/2021,452,390,541,1121,4387,221
7/21/2021,454,393,548,1124,4391,230
7/22/2021,455,396,548,1125,4395,231
7/23/2021,456,397,551,1128,4397,234
7/24/2021,456,397,551,1130,4398,234
7/25/2021,456,397,551,1130,4400,236
7/26/2021,460,398,551,1130,4402,237
7/27/2021,460,401,552,1130,4404,246
7/28/2021,464,401,553,1132,4410,251
7/29/2021,478,407,555,1141,4414,265
7/3/2021,441,375,524,1102,4365,198
7/30/2021,481,407,557,1142,4415,267
7/31/2021,481,407,558,1143,4415,268
7/4/2021,441,375,524,1102,4365,198
7/5/2021,441,375,525,1103,4365,198
7/6/2021,441,375,525,1103,4366,201
7/7/2021,443,377,526,1109,4370,201
7/8/2021,444,380,529,1112,4373,202
7/9/2021,445,381,529,1112,4376,202
8/1/2021,483,408,558,1143,4415,268
8/10/2021,502,420,571,1166,4455,282
8/11/2021,505,421,574,1171,4459,293
