date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,627,743,579,452,363,3
1/1/2022,24539,12825,11846,13674,20469,12845
1/10/2021,1137,1167,957,808,732,11
1/10/2022,24775,12908,11906,13733,20504,13308
1/11/2021,1207,1251,1036,860,800,12
1/11/2022,24794,12914,11906,13736,20511,13334
1/12/2021,1312,1338,1111,944,1001,13
1/12/2022,24817,12924,11908,13747,20517,13383
1/13/2021,1371,1406,1194,1019,1264,14
1/13/2022,24822,12925,11911,13750,20518,13391
1/14/2021,1471,1495,1286,1106,1537,14
1/15/2021,1587,1590,1367,1195,2288,14
1/16/2021,1598,1606,1382,1218,2392,14
1/17/2021,1604,1614,1390,1222,2399,14
1/18/2021,1673,1685,1448,1278,2463,15
1/19/2021,1763,1748,1511,1357,2723,15
1/2/2021,653,759,587,466,374,3
1/2/2022,24545,12830,11850,13675,20469,12853
1/20/2021,2011,2020,1835,1650,2944,20
1/21/2021,2157,2136,1937,1749,3161,21
1/22/2021,2253,2213,2033,1862,3505,22
1/23/2021,2296,2248,2067,1897,3708,25
1/24/2021,2302,2251,2067,1898,3727,25
1/25/2021,2351,2301,2131,1997,4038,26
1/26/2021,2412,2357,2187,2073,4406,28
1/27/2021,2664,2502,2336,2234,4796,30
1/28/2021,2858,2626,2472,2396,5201,35
1/29/2021,2956,2711,2551,2507,5544,39
1/3/2021,653,760,587,467,376,3
1/3/2022,24566,12839,11858,13683,20472,12903
1/30/2021,3017,2754,2580,2546,5661,46
1/31/2021,3027,2756,2581,2549,5687,46
1/4/2021,722,836,650,536,439,4
1/4/2022,24592,12847,11865,13689,20474,12940
1/5/2021,807,910,703,600,510,7
1/5/2022,24625,12854,11870,13701,20483,13006
1/6/2021,889,963,758,653,579,7
1/6/2022,24661,12870,11880,13705,20485,13101
1/7/2021,1004,1050,845,723,679,7
1/7/2022,24711,12889,11891,13720,20491,13198
1/8/2021,1123,1159,945,788,722,11
1/8/2022,24735,12897,11900,13723,20501,13250
1/9/2021,1137,1166,955,805,730,11
1/9/2022,24755,12901,11903,13729,20503,13285
10/1/2021,22621,11939,11104,12846,19452,8197
10/10/2021,22767,11990,11163,12878,19504,8267
10/11/2021,22776,11995,11169,12880,19512,8274
10/12/2021,22784,12004,11171,12880,19513,8284
10/13/2021,22805,12010,11181,12883,19527,8293
10/14/2021,22819,12012,11182,12893,19535,8301
10/15/2021,22835,12019,11192,12895,19544,8309
10/16/2021,22848,12020,11193,12900,19545,8314
10/17/2021,22867,12024,11196,12900,19546,8322
10/18/2021,22878,12033,11199,12905,19554,8326
10/19/2021,22897,12037,11200,12911,19559,8332
10/2/2021,22634,11940,11105,12846,19457,8201
10/20/2021,22910,12045,11209,12915,19567,8341
10/21/2021,22924,12052,11213,12921,19573,8346
10/22/2021,22947,12063,11223,12938,19598,8354
10/23/2021,22965,12070,11229,12947,19616,8364
10/24/2021,22973,12075,11231,12948,19625,8367
10/25/2021,22989,12084,11241,12959,19651,8375
10/26/2021,23005,12093,11248,12974,19673,8397
10/27/2021,23036,12106,11262,12990,19716,8410
10/28/2021,23052,12111,11269,12996,19738,8416
10/29/2021,23088,12135,11282,13018,19773,8431
10/3/2021,22648,11940,11109,12849,19461,8208
10/30/2021,23108,12149,11298,13026,19785,8444
10/31/2021,23124,12155,11307,13032,19791,8450
10/4/2021,22671,11944,11115,12855,19470,8215
10/5/2021,22686,11949,11119,12860,19478,8221
10/6/2021,22715,11964,11131,12865,19483,8232
10/7/2021,22726,11974,11138,12873,19486,8242
10/8/2021,22747,11985,11159,12877,19491,8255
10/9/2021,22758,11989,11162,12878,19500,8262
11/1/2021,23145,12165,11314,13048,19803,8453
11/10/2021,23358,12269,11390,13148,19924,9654
11/11/2021,23390,12279,11399,13162,19930,9723
11/12/2021,23421,12292,11420,13176,19948,10051
11/13/2021,23437,12301,11428,13182,19955,10186
11/14/2021,23459,12305,11432,13189,19957,10231
11/15/2021,23482,12317,11445,13205,19979,10289
11/16/2021,23509,12333,11451,13217,19986,10378
11/17/2021,23533,12346,11459,13227,20014,10555
11/18/2021,23572,12360,11471,13238,20033,10626
11/19/2021,23626,12381,11484,13258,20048,10802
11/2/2021,23159,12170,11320,13056,19818,8463
11/20/2021,23646,12398,11493,13266,20060,10941
11/21/2021,23667,12405,11497,13274,20067,10982
11/22/2021,23694,12416,11512,13291,20085,11043
11/23/2021,23721,12422,11530,13302,20102,11100
11/24/2021,23741,12434,11535,13307,20115,11150
11/25/2021,23741,12434,11535,13307,20115,11150
11/26/2021,23765,12444,11538,13323,20123,11199
11/27/2021,23779,12446,11542,13329,20126,11211
11/28/2021,23787,12450,11545,13333,20128,11217
11/29/2021,23810,12460,11550,13344,20150,11266
11/3/2021,23190,12185,11328,13064,19833,8473
11/30/2021,23836,12469,11561,13354,20163,11345
11/4/2021,23216,12197,11334,13080,19850,8478
11/5/2021,23258,12218,11355,13100,19866,8583
11/6/2021,23280,12229,11366,13111,19875,8987
11/7/2021,23291,12239,11368,13116,19885,9047
