date,Arizona_cume,Arizona
2020-12-01 00:00:00,71,
2020-12-02 00:00:00,84,13
2020-12-03 00:00:00,94,10
2020-12-04 00:00:00,98,4
2020-12-05 00:00:00,100,2
2020-12-06 00:00:00,102,2
2020-12-07 00:00:00,109,7
2020-12-08 00:00:00,113,4
2020-12-09 00:00:00,120,7
2020-12-10 00:00:00,130,10
2020-12-11 00:00:00,140,10
2020-12-12 00:00:00,147,7
2020-12-13 00:00:00,151,4
2020-12-14 00:00:00,162,11
2020-12-15 00:00:00,206,44
2020-12-16 00:00:00,780,574
2020-12-17 00:00:00,3924,3144
2020-12-18 00:00:00,7560,3636
2020-12-19 00:00:00,10117,2557
2020-12-20 00:00:00,11136,1019
2020-12-21 00:00:00,16644,5508
2020-12-22 00:00:00,24425,7781
2020-12-23 00:00:00,34138,9713
2020-12-24 00:00:00,37981,3843
2020-12-25 00:00:00,38120,139
2020-12-26 00:00:00,44639,6519
2020-12-27 00:00:00,47290,2651
2020-12-28 00:00:00,56676,9386
2020-12-29 00:00:00,69560,12884
2020-12-30 00:00:00,84395,14835
2020-12-31 00:00:00,92202,7807
2021-01-01 00:00:00,93195,993
2021-01-02 00:00:00,100764,7569
2021-01-03 00:00:00,103973,3209
2021-01-04 00:00:00,112644,8671
2021-01-05 00:00:00,121579,8935
2021-01-06 00:00:00,133471,11892
2021-01-07 00:00:00,146060,12589
2021-01-08 00:00:00,158065,12005
2021-01-09 00:00:00,166004,7939
2021-01-10 00:00:00,169233,3229
2021-01-11 00:00:00,184986,15753
2021-01-12 00:00:00,208159,23173
2021-01-13 00:00:00,233411,25252
2021-01-14 00:00:00,258113,24702
2021-01-15 00:00:00,283090,24977
2021-01-16 00:00:00,298848,15758
2021-01-17 00:00:00,308182,9334
2021-01-18 00:00:00,327210,19028
2021-01-19 00:00:00,354251,27041
2021-01-20 00:00:00,386236,31985
2021-01-21 00:00:00,421273,35037
2021-01-22 00:00:00,459228,37955
2021-01-23 00:00:00,487965,28737
2021-01-24 00:00:00,504162,16197
2021-01-25 00:00:00,533641,29479
2021-01-26 00:00:00,570386,36745
2021-01-27 00:00:00,610253,39867
2021-01-28 00:00:00,650158,39905
2021-01-29 00:00:00,690069,39911
2021-01-30 00:00:00,716387,26318
2021-01-31 00:00:00,727988,11601
2021-02-01 00:00:00,758599,30611
2021-02-02 00:00:00,797359,38760
2021-02-03 00:00:00,841189,43830
2021-02-04 00:00:00,887947,46758
2021-02-05 00:00:00,931882,43935
2021-02-06 00:00:00,970141,38259
2021-02-07 00:00:00,986498,16357
2021-02-08 00:00:00,1025401,38903
2021-02-09 00:00:00,1069769,44368
2021-02-10 00:00:00,1120470,50701
2021-02-11 00:00:00,1172065,51595
2021-02-12 00:00:00,1233925,61860
2021-02-13 00:00:00,1279591,45666
2021-02-14 00:00:00,1296988,17397
2021-02-15 00:00:00,1328435,31447
2021-02-16 00:00:00,1373166,44731
2021-02-17 00:00:00,1420452,47286
2021-02-18 00:00:00,1465654,45202
2021-02-19 00:00:00,1508576,42922
2021-02-20 00:00:00,1543926,35350
2021-02-21 00:00:00,1558883,14957
2021-02-22 00:00:00,1587214,28331
2021-02-23 00:00:00,1631542,44328
2021-02-24 00:00:00,1688744,57202
2021-02-25 00:00:00,1749321,60577
2021-02-26 00:00:00,1816441,67120
2021-02-27 00:00:00,1868218,51777
2021-02-28 00:00:00,1893920,25702
2021-03-01 00:00:00,1940231,46311
2021-03-02 00:00:00,1991318,51087
2021-03-03 00:00:00,2050222,58904
2021-03-04 00:00:00,2109007,58785
2021-03-05 00:00:00,2168459,59452
2021-03-06 00:00:00,2213652,45193
2021-03-07 00:00:00,2239805,26153
2021-03-08 00:00:00,2291312,51507
2021-03-09 00:00:00,2348511,57199
2021-03-10 00:00:00,2416356,67845
2021-03-11 00:00:00,2487894,71538
2021-03-12 00:00:00,2561576,73682
2021-03-13 00:00:00,2613871,52295
2021-03-14 00:00:00,2642779,28908
2021-03-15 00:00:00,2690873,48094
2021-03-16 00:00:00,2746308,55435
2021-03-17 00:00:00,2809681,63373
2021-03-18 00:00:00,2874202,64521
2021-03-19 00:00:00,2935022,60820
2021-03-20 00:00:00,2982055,47033
2021-03-21 00:00:00,3013477,31422
2021-03-22 00:00:00,3057562,44085
2021-03-23 00:00:00,3107042,49480
2021-03-24 00:00:00,3171297,64255
2021-03-25 00:00:00,3243230,71933
2021-03-26 00:00:00,3313921,70691
2021-03-27 00:00:00,3367344,53423
2021-03-28 00:00:00,3405418,38074
2021-03-29 00:00:00,3466722,61304
2021-03-30 00:00:00,3533918,67196
2021-03-31 00:00:00,3611102,77184
2021-04-01 00:00:00,3686660,75558
2021-04-02 00:00:00,3755414,68754
2021-04-03 00:00:00,3804762,49348
2021-04-04 00:00:00,3825823,21061
2021-04-05 00:00:00,3884161,58338
2021-04-06 00:00:00,3949988,65827
2021-04-07 00:00:00,4024909,74921
2021-04-08 00:00:00,4100928,76019
2021-04-09 00:00:00,4171715,70787
2021-04-10 00:00:00,4221135,49420
2021-04-11 00:00:00,4252242,31107
2021-04-12 00:00:00,4304821,52579
2021-04-13 00:00:00,4355113,50292
2021-04-14 00:00:00,4415219,60106
2021-04-15 00:00:00,4479508,64289
2021-04-16 00:00:00,4542299,62791
2021-04-17 00:00:00,4584940,42641
2021-04-18 00:00:00,4614136,29196
2021-04-19 00:00:00,4666214,52078
2021-04-20 00:00:00,4719329,53115
2021-04-21 00:00:00,4777681,58352
2021-04-22 00:00:00,4837992,60311
2021-04-23 00:00:00,4894536,56544
2021-04-24 00:00:00,4933951,39415
2021-04-25 00:00:00,4959528,25577
2021-04-26 00:00:00,5004115,44587
2021-04-27 00:00:00,5052261,48146
2021-04-28 00:00:00,5099630,47369
2021-04-29 00:00:00,5143773,44143
2021-04-30 00:00:00,5186765,42992
2021-05-01 00:00:00,5211969,25204
2021-05-02 00:00:00,5233010,21041
2021-05-03 00:00:00,5262596,29586
2021-05-04 00:00:00,5299909,37313
2021-05-05 00:00:00,5333331,33422
2021-05-06 00:00:00,5369759,36428
2021-05-07 00:00:00,5407088,37329
2021-05-08 00:00:00,5431201,24113
2021-05-09 00:00:00,5443882,12681
2021-05-10 00:00:00,5468308,24426
2021-05-11 00:00:00,5492637,24329
2021-05-12 00:00:00,5522106,29469
2021-05-13 00:00:00,5560517,38411
2021-05-14 00:00:00,5598788,38271
2021-05-15 00:00:00,5628394,29606
2021-05-16 00:00:00,5644127,15733
2021-05-17 00:00:00,5675365,31238
2021-05-18 00:00:00,5702579,27214
2021-05-19 00:00:00,5738483,35904
2021-05-20 00:00:00,5768027,29544
2021-05-21 00:00:00,5801195,33168
2021-05-22 00:00:00,5826485,25290
2021-05-23 00:00:00,5836859,10374
2021-05-24 00:00:00,5857956,21097
2021-05-25 00:00:00,5879137,21181
2021-05-26 00:00:00,5901985,22848
2021-05-27 00:00:00,5923168,21183
2021-05-28 00:00:00,5946825,23657
2021-05-29 00:00:00,5959885,13060
2021-05-30 00:00:00,5967157,7272
2021-05-31 00:00:00,5971475,4318
2021-06-01 00:00:00,5991361,19886
2021-06-02 00:00:00,6011399,20038
2021-06-03 00:00:00,6034310,22911
2021-06-04 00:00:00,6059980,25670
2021-06-05 00:00:00,6080245,20265
2021-06-06 00:00:00,6089835,9590
2021-06-07 00:00:00,6109039,19204
2021-06-08 00:00:00,6127239,18200
2021-06-09 00:00:00,6146729,19490
2021-06-10 00:00:00,6165782,19053
2021-06-11 00:00:00,6188634,22852
2021-06-12 00:00:00,6203209,14575
2021-06-13 00:00:00,6206621,3412
2021-06-14 00:00:00,6222947,16326
2021-06-15 00:00:00,6237237,14290
2021-06-16 00:00:00,6252209,14972
2021-06-17 00:00:00,6258652,6443
