Category,value
tests,497944
Yuma,10418
Yavapai,12782
Santa Cruz,1854
Pinal,31782
Pima,51401
Navajo,4142
Mohave,10235
Maricopa,345094
La Paz,1566
Greenlee,201
Graham,1076
Gila,5270
Coconino,6302
Cochise,5391
Apache,1160
Unknown,422
65 years and older,117712
55 - 64 years,94589
45 - 54 years,87972
20 - 44 years,173251
Less than 20 years,23998
positive,0.1686956766222708
