date,Coconino_cume,Coconino
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,4,1
1/13/2021,5,1
1/14/2021,6,1
1/15/2021,11,5
1/16/2021,155,144
1/17/2021,295,140
1/18/2021,509,214
1/19/2021,557,48
1/2/2021,559,2
1/20/2021,562,3
1/21/2021,599,37
1/22/2021,934,335
1/23/2021,1322,388
1/24/2021,1444,122
1/25/2021,1543,99
1/26/2021,1635,92
1/27/2021,1859,224
1/28/2021,2211,352
1/29/2021,2624,413
1/3/2021,2839,215
1/30/2021,2952,113
1/31/2021,3018,66
1/4/2021,3025,7
1/5/2021,3377,352
1/6/2021,3746,369
1/7/2021,4258,512
1/8/2021,4840,582
1/9/2021,5479,639
12/1/2020,5559,80
12/10/2020,5565,6
12/12/2020,5898,333
12/13/2020,6466,568
12/15/2020,6980,514
12/16/2020,7626,646
12/17/2020,8808,1182
12/18/2020,8911,103
12/19/2020,8913,2
12/2/2020,9092,179
12/20/2020,9504,412
12/21/2020,11055,1551
12/22/2020,11943,888
12/23/2020,12846,903
12/24/2020,13249,403
12/25/2020,13268,19
12/26/2020,13828,560
12/27/2020,14340,512
12/28/2020,15662,1322
12/29/2020,16902,1240
12/30/2020,17829,927
12/31/2020,18164,335
12/4/2020,18195,31
2/1/2021,19084,889
2/10/2021,19961,877
2/11/2021,21640,1679
2/12/2021,23714,2074
2/13/2021,25954,2240
2/14/2021,27536,1582
2/15/2021,27577,41
2/16/2021,28471,894
2/17/2021,29388,917
2/18/2021,32005,2617
2/19/2021,33638,1633
2/2/2021,36390,2752
2/20/2021,37903,1513
2/21/2021,37935,32
2/22/2021,39148,1213
2/23/2021,40777,1629
2/24/2021,43592,2815
2/25/2021,44732,1140
2/26/2021,46083,1351
2/27/2021,47140,1057
2/28/2021,47156,16
2/3/2021,47555,399
2/4/2021,48100,545
2/5/2021,50077,1977
2/6/2021,51762,1685
2/7/2021,53492,1730
2/8/2021,55164,1672
2/9/2021,55259,95
3/1/2021,56868,1609
3/10/2021,58682,1814
3/11/2021,60455,1773
3/12/2021,62661,2206
3/13/2021,64424,1763
3/14/2021,65279,855
3/15/2021,65376,97
3/16/2021,66343,967
3/17/2021,67263,920
3/18/2021,70138,2875
3/19/2021,72080,1942
3/2/2021,74667,2587
3/20/2021,75816,1149
3/21/2021,75874,58
3/22/2021,77218,1344
3/23/2021,79139,1921
3/24/2021,80933,1794
3/25/2021,82433,1500
3/26/2021,84069,1636
3/27/2021,85114,1045
3/28/2021,85196,82
3/29/2021,85942,746
3/3/2021,87821,1879
3/30/2021,89574,1753
3/31/2021,91556,1982
3/4/2021,93773,2217
3/5/2021,94336,563
3/6/2021,94487,151
3/7/2021,96306,1819
3/8/2021,98156,1850
3/9/2021,100004,1848
4/1/2021,101427,1423
4/10/2021,102958,1531
4/11/2021,103524,566
4/12/2021,103623,99
4/13/2021,104499,876
4/14/2021,105838,1339
4/15/2021,106901,1063
4/16/2021,108180,1279
4/17/2021,109458,1278
4/18/2021,110057,599
4/19/2021,110160,103
4/2/2021,110702,542
4/20/2021,111734,1032
4/21/2021,112635,901
4/22/2021,113561,926
4/23/2021,114721,1160
4/24/2021,115072,351
4/25/2021,115175,103
4/26/2021,116196,1021
4/27/2021,117206,1010
4/28/2021,118027,821
4/29/2021,119083,1056
4/3/2021,120225,1142
4/30/2021,120530,305
4/4/2021,120678,148
4/5/2021,121257,579
4/6/2021,122282,1025
4/7/2021,123058,776
4/8/2021,123830,772
4/9/2021,124595,765
5/1/2021,124993,398
5/10/2021,125052,59
5/11/2021,125521,469
5/12/2021,126051,530
5/13/2021,126576,525
5/14/2021,126994,418
5/15/2021,127539,545
5/16/2021,127760,221
5/17/2021,127841,81
5/18/2021,128194,353
5/19/2021,128460,266
5/2/2021,128843,383
5/20/2021,129455,612
5/21/2021,130182,727
5/22/2021,130495,313
5/23/2021,130600,105
5/24/2021,131060,460
5/25/2021,131375,315
5/26/2021,131843,468
5/27/2021,132183,340
5/28/2021,132658,475
5/29/2021,132962,304
5/3/2021,133055,93
5/30/2021,133332,277
5/31/2021,133576,244
5/4/2021,134010,434
5/5/2021,134261,251
5/6/2021,134611,350
5/7/2021,134726,115
