date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,112,94,54,59,45,1
1/10/2021,269,205,157,152,176,8
1/11/2021,286,225,183,170,191,8
1/12/2021,306,240,206,197,236,9
1/13/2021,315,249,212,206,404,9
1/14/2021,327,259,221,217,566,9
1/15/2021,343,273,232,226,731,10
1/16/2021,349,275,232,226,736,10
1/17/2021,350,276,232,227,740,10
1/18/2021,352,281,234,232,746,10
1/19/2021,357,290,236,237,789,10
1/2/2021,112,94,54,60,46,2
1/20/2021,377,305,257,257,1117,12
1/21/2021,393,326,275,274,1432,12
1/22/2021,423,358,312,301,1847,14
1/23/2021,429,363,313,303,1855,14
1/24/2021,429,365,313,305,1857,14
1/25/2021,445,375,331,323,1882,14
1/26/2021,469,392,348,345,2180,16
1/27/2021,489,412,363,370,2245,18
1/28/2021,513,438,405,448,2532,18
1/29/2021,569,501,497,524,2697,19
1/3/2021,114,96,54,61,47,2
1/30/2021,592,515,510,544,2707,19
1/31/2021,603,522,515,557,2716,20
1/4/2021,133,111,64,75,53,3
1/5/2021,160,121,82,87,63,3
1/6/2021,190,153,105,110,71,5
1/7/2021,214,172,122,123,156,6
1/8/2021,266,202,154,150,175,7
1/9/2021,269,203,156,151,176,7
12/17/2020,5,,1,2,,
12/18/2020,6,3,2,3,,
12/19/2020,6,6,2,3,1,
12/20/2020,6,6,2,3,1,
12/21/2020,7,7,2,3,2,
12/22/2020,23,14,8,12,11,
12/23/2020,31,23,10,16,14,
12/24/2020,42,27,15,19,16,
12/25/2020,42,27,15,19,16,
12/26/2020,46,29,15,19,16,
12/27/2020,46,29,15,19,16,
12/28/2020,58,41,25,24,20,
12/29/2020,79,62,35,32,21,
12/30/2020,97,79,43,48,32,1
12/31/2020,112,94,54,59,44,1
2/1/2021,620,534,538,577,2750,20
2/10/2021,893,842,999,1212,3684,29
2/11/2021,931,889,1098,1325,3823,29
2/12/2021,955,978,1236,1406,3930,29
2/13/2021,1015,1078,1375,1486,4019,35
2/14/2021,1085,1154,1481,1559,4114,42
2/15/2021,1102,1161,1491,1575,4154,42
2/16/2021,1113,1166,1499,1586,4183,44
2/17/2021,1118,1168,1502,1587,4199,44
2/18/2021,1121,1168,1502,1588,4213,44
2/19/2021,1123,1169,1502,1592,4219,44
2/2/2021,669,587,626,692,2967,20
2/20/2021,1126,1172,1504,1595,4230,44
2/21/2021,1126,1172,1505,1595,4236,44
2/22/2021,1130,1173,1509,1596,4253,44
2/23/2021,1141,1180,1517,1601,4277,46
2/24/2021,1157,1193,1527,1621,4375,49
2/25/2021,1165,1202,1555,1632,4447,50
2/26/2021,1187,1230,1572,1655,4576,52
2/27/2021,1193,1231,1578,1670,4612,53
2/28/2021,1195,1233,1579,1673,4648,53
2/3/2021,679,597,643,700,3005,22
2/4/2021,725,653,746,813,3152,24
2/5/2021,794,748,855,962,3290,25
2/6/2021,799,749,859,966,3297,25
2/7/2021,801,749,860,967,3302,25
2/8/2021,810,754,865,976,3330,27
2/9/2021,863,811,916,1085,3532,29
3/1/2021,1207,1246,1598,1690,4723,54
3/10/2021,1462,1467,1852,2107,6181,78
3/11/2021,1498,1487,1874,2173,6281,78
3/12/2021,1526,1508,1895,2221,6365,80
3/13/2021,1544,1522,1909,2252,6383,81
3/14/2021,1572,1573,1954,2351,6547,86
3/15/2021,1589,1583,1972,2392,6595,88
3/16/2021,1653,1640,2069,2674,6785,98
3/17/2021,1821,1740,2219,2815,6985,108
3/18/2021,1902,1860,2426,2948,7157,111
3/19/2021,2088,1989,2597,3134,7339,125
3/2/2021,1241,1279,1638,1737,4953,58
3/20/2021,2101,1995,2605,3159,7365,127
3/21/2021,2114,2003,2613,3185,7378,131
3/22/2021,2153,2028,2653,3246,7422,134
3/23/2021,2302,2125,2759,3419,7602,154
3/24/2021,2463,2203,2878,3613,7714,171
3/25/2021,2606,2326,2974,3789,7793,207
3/26/2021,2796,2437,3097,3912,7886,242
3/27/2021,2818,2449,3112,3945,7909,251
3/28/2021,2833,2453,3119,3957,7910,255
