date,Greenlee_cume,Greenlee
2020-12-18,2,
2020-12-21,16,14
2020-12-22,42,26
2020-12-23,49,7
2020-12-24,53,4
2020-12-26,54,1
2020-12-28,56,2
2020-12-29,64,8
2020-12-30,85,21
2020-12-31,115,30
2021-01-01,117,2
2021-01-04,118,1
2021-01-05,140,22
2021-01-06,155,15
2021-01-07,193,38
2021-01-08,209,16
2021-01-09,210,1
2021-01-12,249,39
2021-01-13,290,41
2021-01-14,353,63
2021-01-15,368,15
2021-01-16,369,1
2021-01-18,394,25
2021-01-19,431,37
2021-01-20,463,32
2021-01-21,712,249
2021-01-22,899,187
2021-01-23,1254,355
2021-01-24,1262,8
2021-01-25,1307,45
2021-01-26,1311,4
2021-01-27,1391,80
2021-01-28,1646,255
2021-01-29,1778,132
2021-01-30,1780,2
2021-02-01,1806,26
2021-02-02,1875,69
2021-02-03,1908,33
2021-02-04,1991,83
2021-02-05,2145,154
2021-02-06,2148,3
2021-02-08,2166,18
2021-02-09,2204,38
2021-02-10,2304,100
2021-02-11,2448,144
2021-02-12,2638,190
2021-02-13,2643,5
2021-02-15,2681,38
2021-02-16,2761,80
2021-02-17,2909,148
2021-02-18,3166,257
2021-02-19,3172,6
2021-02-20,3174,2
2021-02-22,3234,60
2021-02-23,3542,308
2021-02-24,3700,158
2021-02-25,3828,128
2021-02-26,3981,153
2021-02-28,3996,15
2021-03-01,4023,27
2021-03-02,4173,150
2021-03-03,4224,51
2021-03-04,4265,41
2021-03-05,4406,141
2021-03-06,4407,1
2021-03-07,4408,1
2021-03-08,4448,40
2021-03-09,4520,72
2021-03-10,4602,82
2021-03-11,4668,66
2021-03-12,4779,111
2021-03-13,4785,6
2021-03-15,4896,111
2021-03-16,4921,25
2021-03-17,4976,55
2021-03-18,5001,25
2021-03-19,5039,38
2021-03-20,5040,1
2021-03-22,5046,6
2021-03-23,5061,15
2021-03-24,5071,10
2021-03-25,5112,41
2021-03-26,5162,50
2021-03-27,5166,4
2021-03-28,5175,9
2021-03-29,5183,8
2021-03-30,5237,54
2021-03-31,5246,9
2021-04-01,5307,61
2021-04-02,5333,26
2021-04-03,5334,1
2021-04-05,5350,16
2021-04-06,5375,25
2021-04-07,5392,17
2021-04-08,5448,56
2021-04-09,5486,38
2021-04-10,5489,3
2021-04-11,5490,1
2021-04-12,5535,45
2021-04-13,5550,15
2021-04-14,5566,16
2021-04-15,5592,26
2021-04-16,5625,33
2021-04-17,5626,1
2021-04-19,5629,3
2021-04-20,5647,18
2021-04-21,5654,7
2021-04-22,5685,31
2021-04-23,5688,3
2021-04-24,5691,3
2021-04-26,5696,5
2021-04-27,5728,32
2021-04-28,5736,8
2021-04-29,5745,9
2021-04-30,5766,21
2021-05-01,5769,3
2021-05-03,5770,1
2021-05-04,5788,18
2021-05-05,5797,9
2021-05-06,5812,15
2021-05-07,5816,4
2021-05-08,5818,2
2021-05-10,5834,16
2021-05-11,5835,1
2021-05-12,5852,17
2021-05-13,5871,19
2021-05-14,5877,6
2021-05-16,5880,3
2021-05-17,5882,2
2021-05-18,5895,13
2021-05-19,5900,5
2021-05-20,5922,22
2021-05-21,5953,31
2021-05-22,5966,13
2021-05-23,5967,1
2021-05-24,5969,2
2021-05-25,5986,17
2021-05-26,5989,3
2021-05-27,6000,11
2021-05-28,6011,11
2021-05-29,6013,2
2021-06-01,6030,17
2021-06-02,6032,2
2021-06-03,6045,13
2021-06-04,6050,5
2021-06-05,6051,1
2021-06-07,6054,3
2021-06-08,6060,6
2021-06-09,6063,3
2021-06-10,6070,7
2021-06-11,6073,3
2021-06-12,6080,7
2021-06-14,6082,2
2021-06-15,6095,13
2021-06-16,6098,3
2021-06-17,6117,19
2021-06-18,6122,5
2021-06-19,6126,4
2021-06-20,6127,1
2021-06-21,6130,3
2021-06-22,6139,9
2021-06-24,6142,3
2021-06-25,6149,7
2021-06-26,6151,2
2021-06-28,6153,2
2021-06-29,6165,12
2021-06-30,6166,1
2021-07-01,6177,11
2021-07-02,6182,5
2021-07-06,6185,3
2021-07-07,6191,6
2021-07-08,6200,9
2021-07-09,6203,3
2021-07-11,6205,2
2021-07-12,6215,10
2021-07-13,6217,2
2021-07-14,6220,3
2021-07-15,6228,8
2021-07-16,6229,1
2021-07-19,6232,3
2021-07-20,6247,15
2021-07-21,6250,3
2021-07-22,6261,11
2021-07-23,6279,18
2021-07-24,6282,3
2021-07-25,6285,3
2021-07-26,6293,8
2021-07-27,6299,6
2021-07-28,6307,8
2021-07-29,6332,25
2021-07-30,6340,8
2021-07-31,6343,3
2021-08-01,6344,1
2021-08-02,6351,7
2021-08-03,6364,13
2021-08-04,6380,16
2021-08-05,6396,16
2021-08-06,6406,10
2021-08-07,6411,5
2021-08-08,6413,2
2021-08-09,6428,15
2021-08-10,6443,15
2021-08-11,6449,6
2021-08-12,6495,46
2021-08-13,6516,21
2021-08-14,6521,5
2021-08-15,6522,1
2021-08-16,6540,18
2021-08-17,6579,39
2021-08-18,6597,18
2021-08-19,6633,36
2021-08-20,6682,49
2021-08-21,6778,96
2021-08-22,6779,1
2021-08-23,6805,26
2021-08-24,6824,19
2021-08-25,6844,20
2021-08-26,6889,45
2021-08-27,6920,31
2021-08-28,6925,5
2021-08-30,6963,38
2021-08-31,6988,25
2021-09-01,7003,15
2021-09-02,7021,18
2021-09-03,7047,26
2021-09-04,7049,2
2021-09-07,7066,17
2021-09-08,7086,20
2021-09-09,7131,45
2021-09-10,7164,33
2021-09-11,7228,64
2021-09-12,7229,1
2021-09-13,7240,11
2021-09-14,7263,23
