Category,value
Apache,571
Cochise,513
Coconino,441
Gila,341
Graham,164
Greenlee,30
La Paz,117
Maricopa,"14,872"
Mohave,"1,290"
Navajo,815
Pima,"3,473"
Pinal,"1,453"
Santa Cruz,214
Yavapai,"1,074"
Yuma,"1,062"
Female,10941
Male,15476
20-44y,1468
45-54y,2098
55-64y,4222
65+,18583
<20y,59
"White, non-Hispanic",13936
Hispanic or Latino,7094
"American Indian or Alaska Native, non-Hispanic",1864
"Black or African American, non-Hispanic",814
"Asian or Pacific Islander, non-Hispanic",313
Other Race,721
Unknown,1688
