Category,value
tests,4295248
Apache,28045
Cochise,55212
Coconino,89833
Gila,27630
Graham,11630
Greenlee,1946
La Paz,7049
Maricopa,2565500
Mohave,96246
Navajo,55128
Pima,641230
Pinal,260223
Santa Cruz,28910
Yavapai,102600
Yuma,133417
Unknown,10274
65 years and older,691938
55 - 64 years,530073
45 - 54 years,555885
20 - 44 years,1734080
Less than 20 years,772998
positive,0.133201622
