date,Apache_cume,Apache
2020-12-01,2,
2020-12-02,3,1
2020-12-03,5,2
2020-12-04,6,1
2020-12-07,8,2
2020-12-08,9,1
2020-12-09,11,2
2020-12-13,12,1
2020-12-15,19,7
2020-12-16,54,35
2020-12-17,102,48
2020-12-18,141,39
2020-12-19,142,1
2020-12-21,159,17
2020-12-22,172,13
2020-12-23,346,174
2020-12-24,355,9
2020-12-25,357,2
2020-12-26,359,2
2020-12-28,435,76
2020-12-29,768,333
2020-12-30,931,163
2020-12-31,1077,146
2021-01-01,1080,3
2021-01-02,1092,12
2021-01-04,1198,106
2021-01-05,1379,181
2021-01-06,1720,341
2021-01-07,2052,332
2021-01-08,2252,200
2021-01-09,2268,16
2021-01-10,2269,1
2021-01-11,2869,600
2021-01-12,3240,371
2021-01-13,3573,333
2021-01-14,4128,555
2021-01-15,4449,321
2021-01-16,4468,19
2021-01-17,4469,1
2021-01-18,4539,70
2021-01-19,4832,293
2021-01-20,5661,829
2021-01-21,6496,835
2021-01-22,6964,468
2021-01-23,6995,31
2021-01-24,6999,4
2021-01-25,7386,387
2021-01-26,7832,446
2021-01-27,8397,565
2021-01-28,9300,903
2021-01-29,9731,431
2021-01-30,9746,15
2021-01-31,9806,60
2021-02-01,10296,490
2021-02-02,10706,410
2021-02-03,11394,688
2021-02-04,12662,1268
2021-02-05,13271,609
2021-02-06,13511,240
2021-02-07,13515,4
2021-02-08,13777,262
2021-02-09,14063,286
2021-02-10,15143,1080
2021-02-11,16016,873
2021-02-12,16339,323
2021-02-13,16494,155
2021-02-14,16498,4
2021-02-15,16596,98
2021-02-16,17361,765
2021-02-17,18083,722
2021-02-18,19008,925
2021-02-19,19439,431
2021-02-20,19572,133
2021-02-21,19595,23
2021-02-22,20156,561
2021-02-23,20620,464
2021-02-24,21108,488
2021-02-25,21820,712
2021-02-26,22030,210
2021-02-27,22275,245
2021-02-28,22279,4
2021-03-01,22687,408
2021-03-02,22982,295
2021-03-03,23474,492
2021-03-04,23868,394
2021-03-05,24234,366
2021-03-06,24324,90
2021-03-07,24328,4
2021-03-08,24574,246
2021-03-09,24878,304
2021-03-10,25576,698
2021-03-11,26056,480
2021-03-12,26381,325
2021-03-13,26451,70
2021-03-14,26454,3
2021-03-15,26664,210
2021-03-16,27054,390
2021-03-17,27348,294
2021-03-18,27608,260
2021-03-19,27779,171
2021-03-20,27845,66
2021-03-21,27852,7
2021-03-22,28122,270
2021-03-23,28362,240
2021-03-24,28779,417
2021-03-25,29028,249
2021-03-26,29196,168
2021-03-27,29263,67
2021-03-28,29267,4
2021-03-29,29465,198
2021-03-30,29683,218
2021-03-31,29920,237
2021-04-01,30098,178
2021-04-02,30275,177
2021-04-03,30371,96
2021-04-04,30379,8
2021-04-05,30561,182
2021-04-06,30766,205
2021-04-07,30976,210
2021-04-08,31179,203
2021-04-09,31357,178
2021-04-10,31426,69
2021-04-11,31436,10
2021-04-12,31641,205
2021-04-13,31799,158
2021-04-14,31953,154
2021-04-15,32103,150
2021-04-16,32260,157
2021-04-17,32275,15
2021-04-18,32280,5
2021-04-19,32420,140
2021-04-20,32553,133
2021-04-21,32663,110
2021-04-22,32788,125
2021-04-23,32896,108
2021-04-24,32951,55
2021-04-25,32958,7
2021-04-26,33077,119
2021-04-27,33212,135
2021-04-28,33343,131
2021-04-29,33484,141
2021-04-30,33617,133
2021-05-01,33680,63
2021-05-02,33682,2
2021-05-03,33796,114
2021-05-04,33921,125
2021-05-05,34022,101
2021-05-06,34102,80
2021-05-07,34185,83
2021-05-08,34205,20
2021-05-09,34210,5
2021-05-10,34309,99
2021-05-11,34416,107
2021-05-12,34523,107
2021-05-13,34705,182
2021-05-14,34959,254
2021-05-15,35383,424
2021-05-16,35392,9
2021-05-17,35698,306
2021-05-18,35973,275
2021-05-19,36162,189
2021-05-20,36322,160
2021-05-21,36437,115
2021-05-22,36501,64
2021-05-23,36508,7
2021-05-24,36640,132
2021-05-25,36777,137
2021-05-26,36921,144
2021-05-27,37059,138
2021-05-28,37166,107
2021-05-29,37184,18
2021-05-30,37189,5
2021-05-31,37196,7
2021-06-01,37313,117
2021-06-02,37411,98
2021-06-03,37512,101
2021-06-04,37750,238
2021-06-05,38102,352
2021-06-06,38113,11
2021-06-07,38387,274
2021-06-08,38705,318
2021-06-09,38962,257
2021-06-10,39072,110
2021-06-11,39193,121
2021-06-12,39229,36
2021-06-13,39235,6
2021-06-14,39355,120
2021-06-15,39483,128
2021-06-16,39630,147
2021-06-17,39723,93
2021-06-18,39780,57
2021-06-19,39813,33
2021-06-20,39817,4
2021-06-21,39906,89
2021-06-22,40002,96
2021-06-23,40098,96
2021-06-24,40167,69
2021-06-25,40254,87
2021-06-26,40290,36
2021-06-27,40295,5
2021-06-28,40393,98
2021-06-29,40510,117
2021-06-30,40623,113
2021-07-01,40683,60
2021-07-02,40743,60
2021-07-03,40748,5
2021-07-04,40750,2
2021-07-05,40755,5
2021-07-06,40875,120
2021-07-07,40949,74
2021-07-08,41023,74
2021-07-09,41070,47
2021-07-10,41075,5
2021-07-11,41077,2
2021-07-12,41171,94
2021-07-13,41245,74
2021-07-14,41343,98
2021-07-15,41403,60
2021-07-16,41486,83
2021-07-17,41498,12
2021-07-18,41505,7
2021-07-19,41559,54
2021-07-20,41647,88
2021-07-21,41721,74
2021-07-22,41797,76
2021-07-23,41903,106
2021-07-24,41908,5
2021-07-25,41912,4
2021-07-26,41992,80
2021-07-27,42105,113
2021-07-28,42218,113
2021-07-29,42323,105
2021-07-30,42412,89
2021-07-31,42429,17
2021-08-01,42432,3
2021-08-02,42545,113
2021-08-03,42674,129
2021-08-04,42771,97
2021-08-05,42842,71
2021-08-06,42958,116
2021-08-07,42971,13
2021-08-08,42976,5
2021-08-09,43092,116
2021-08-10,43179,87
2021-08-11,43281,102
2021-08-12,43370,89
2021-08-13,43502,132
2021-08-14,43528,26
2021-08-15,43545,17
2021-08-16,43641,96
2021-08-17,43752,111
2021-08-18,43872,120
2021-08-19,43974,102
2021-08-20,44098,124
2021-08-21,44115,17
2021-08-22,44127,12
2021-08-23,44234,107
2021-08-24,44340,106
2021-08-25,44436,96
2021-08-26,44555,119
2021-08-27,44694,139
2021-08-28,44720,26
2021-08-29,44728,8
2021-08-30,44813,85
2021-08-31,44901,88
2021-09-01,44991,90
2021-09-02,45070,79
2021-09-03,45189,119
2021-09-04,45208,19
2021-09-05,45213,5
2021-09-06,45218,5
2021-09-07,45296,78
2021-09-08,45398,102
2021-09-09,45468,70
2021-09-10,45551,83
2021-09-11,45569,18
2021-09-12,45575,6
2021-09-13,45653,78
2021-09-14,45720,67
2021-09-15,45791,71
2021-09-16,45844,53
2021-09-17,45969,125
2021-09-18,45979,10
2021-09-19,45984,5
2021-09-20,46047,63
2021-09-21,46124,77
2021-09-22,46174,50
2021-09-23,46225,51
2021-09-24,46345,120
2021-09-25,46392,47
2021-09-26,46431,39
2021-09-27,46497,66
2021-09-28,46612,115
2021-09-29,46753,141
2021-09-30,46940,187
2021-10-01,47103,163
2021-10-02,47167,64
2021-10-03,47218,51
2021-10-04,47320,102
2021-10-05,47479,159
2021-10-06,47606,127
2021-10-07,47778,172
2021-10-08,47935,157
2021-10-09,48011,76
2021-10-10,48040,29
2021-10-11,48092,52
2021-10-12,48230,138
2021-10-13,48436,206
2021-10-14,48561,125
2021-10-15,48691,130
2021-10-16,48740,49
2021-10-17,48762,22
2021-10-18,48891,129
2021-10-19,49015,124
2021-10-20,49156,141
2021-10-21,49236,80
2021-10-22,49351,115
2021-10-23,49432,81
2021-10-24,49503,71
2021-10-25,49667,164
2021-10-26,49839,172
2021-10-27,50152,313
2021-10-28,50382,230
2021-10-29,50544,162
2021-10-30,50599,55
2021-10-31,50679,80
2021-11-01,50901,222
2021-11-02,51108,207
2021-11-03,51339,231
2021-11-04,51711,372
2021-11-05,51893,182
2021-11-06,52039,146
2021-11-07,52213,174
2021-11-08,52442,229
2021-11-09,52691,249
2021-11-10,53043,352
2021-11-11,53275,232
2021-11-12,53630,355
2021-11-13,53772,142
2021-11-14,53973,201
2021-11-15,54199,226
2021-11-16,54582,383
2021-11-17,54867,285
2021-11-18,55103,236
2021-11-19,55433,330
2021-11-20,55608,175
2021-11-21,55720,112
2021-11-22,56080,360
2021-11-23,56401,321
2021-11-24,56622,221
2021-11-26,56841,219
2021-11-27,56938,97
2021-11-28,57084,146
2021-11-29,57336,252
2021-11-30,57642,306
2021-12-01,57949,307
2021-12-02,58142,193
2021-12-03,58637,495
2021-12-04,58883,246
2021-12-05,59013,130
2021-12-06,59241,228
2021-12-07,59523,282
2021-12-08,59808,285
2021-12-09,60069,261
2021-12-10,60332,263
2021-12-11,60485,153
2021-12-12,60579,94
2021-12-13,60814,235
2021-12-14,61044,230
2021-12-15,61281,237
2021-12-16,61498,217
2021-12-17,61689,191
2021-12-18,61763,74
2021-12-19,61843,80
2021-12-20,62105,262
2021-12-21,62339,234
2021-12-22,62643,304
2021-12-23,62804,161
2021-12-24,62837,33
2021-12-25,62838,1
2021-12-26,62868,30
2021-12-27,63105,237
2021-12-28,63358,253
2021-12-29,63671,313
2021-12-30,63867,196
2021-12-31,63917,50
2022-01-01,63918,1
2022-01-02,63979,61
2022-01-03,64265,286
2022-01-04,64481,216
2022-01-05,64699,218
2022-01-06,64919,220
2022-01-07,65213,294
2022-01-08,65348,135
2022-01-09,65508,160
2022-01-10,65701,193
2022-01-11,65889,188
2022-01-12,66167,278
2022-01-13,66366,199
2022-01-14,66648,282
2022-01-15,66724,76
2022-01-16,66897,173
2022-01-17,66941,44
2022-01-18,67137,196
2022-01-19,67397,260
2022-01-20,67604,207
2022-01-21,67822,218
2022-01-22,67897,75
2022-01-23,67964,67
2022-01-24,68153,189
2022-01-25,68300,147
2022-01-26,68426,126
2022-01-27,68580,154
2022-01-28,68586,6
