date,pcr_tests_GRAHAM,pcr_pos_test_GRAHAM,pcr_positivity_GRAHAM
2021-10-08 00:00:00,50,6,0.12
2021-10-07 00:00:00,97,5,0.0515463917525773
2021-10-06 00:00:00,78,8,0.1025641025641026
2021-10-05 00:00:00,65,7,0.1076923076923077
2021-10-04 00:00:00,99,14,0.1414141414141414
2021-10-03 00:00:00,36,3,0.0833333333333333
2021-10-02 00:00:00,84,5,0.0595238095238095
2021-10-01 00:00:00,61,9,0.1475409836065574
2021-09-30 00:00:00,98,8,0.0816326530612245
2021-09-29 00:00:00,85,13,0.1529411764705883
2021-09-28 00:00:00,194,8,0.0412371134020619
2021-09-27 00:00:00,97,24,0.2474226804123712
2021-09-26 00:00:00,19,2,0.1052631578947368
2021-09-25 00:00:00,85,3,0.0352941176470588
2021-09-24 00:00:00,84,9,0.1071428571428571
2021-09-23 00:00:00,80,9,0.1125
2021-09-22 00:00:00,72,14,0.1944444444444445
2021-09-21 00:00:00,177,12,0.0677966101694915
2021-09-20 00:00:00,145,15,0.103448275862069
2021-09-19 00:00:00,12,2,0.1666666666666667
2021-09-18 00:00:00,29,3,0.103448275862069
2021-09-17 00:00:00,152,15,0.0986842105263158
2021-09-16 00:00:00,119,14,0.1176470588235294
2021-09-15 00:00:00,120,20,0.1666666666666667
2021-09-14 00:00:00,118,24,0.2033898305084746
2021-09-13 00:00:00,150,26,0.1733333333333334
2021-09-12 00:00:00,23,6,0.2608695652173913
2021-09-11 00:00:00,19,2,0.1052631578947368
2021-09-10 00:00:00,156,11,0.0705128205128205
2021-09-09 00:00:00,117,10,0.0854700854700855
2021-09-08 00:00:00,124,29,0.2338709677419355
2021-09-07 00:00:00,223,31,0.1390134529147982
2021-09-06 00:00:00,44,13,0.2954545454545455
2021-09-05 00:00:00,15,5,0.3333333333333333
2021-09-04 00:00:00,16,3,0.1875
2021-09-03 00:00:00,152,22,0.1447368421052632
2021-09-02 00:00:00,117,22,0.188034188034188
2021-09-01 00:00:00,116,20,0.1724137931034483
2021-08-31 00:00:00,214,19,0.088785046728972
2021-08-30 00:00:00,180,30,0.1666666666666667
2021-08-29 00:00:00,20,8,0.4
2021-08-28 00:00:00,33,1,0.0303030303030303
2021-08-27 00:00:00,133,32,0.2406015037593985
2021-08-26 00:00:00,195,12,0.0615384615384615
2021-08-25 00:00:00,142,19,0.1338028169014085
2021-08-24 00:00:00,186,15,0.0806451612903226
2021-08-23 00:00:00,216,28,0.1296296296296296
2021-08-22 00:00:00,7,1,0.1428571428571429
2021-08-21 00:00:00,22,4,0.1818181818181818
2021-08-20 00:00:00,206,19,0.0922330097087379
2021-08-19 00:00:00,166,10,0.0602409638554217
2021-08-18 00:00:00,112,19,0.1696428571428572
2021-08-17 00:00:00,115,14,0.1217391304347826
2021-08-16 00:00:00,158,10,0.0632911392405063
2021-08-15 00:00:00,13,1,0.0769230769230769
2021-08-14 00:00:00,14,3,0.2142857142857143
2021-08-13 00:00:00,71,10,0.1408450704225352
2021-08-12 00:00:00,135,6,0.0444444444444444
2021-08-11 00:00:00,91,9,0.0989010989010989
2021-08-10 00:00:00,94,7,0.074468085106383
2021-08-09 00:00:00,118,8,0.0677966101694915
2021-08-08 00:00:00,20,1,0.05
2021-08-07 00:00:00,23,2,0.0869565217391304
2021-08-06 00:00:00,103,7,0.0679611650485437
2021-08-05 00:00:00,92,3,0.0326086956521739
2021-08-04 00:00:00,54,3,0.0555555555555556
2021-08-03 00:00:00,39,4,0.1025641025641026
2021-08-02 00:00:00,136,10,0.0735294117647059
2021-08-01 00:00:00,14,3,0.2142857142857143
2021-07-31 00:00:00,33,2,0.0606060606060606
2021-07-30 00:00:00,94,3,0.0319148936170213
