date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,627,745,581,453,366,3
1/1/2022,24643,12909,11892,13722,20623,12884
1/10/2021,1137,1166,965,808,738,11
1/10/2022,24879,12992,11952,13780,20658,13343
1/11/2021,1207,1249,1045,859,806,12
1/11/2022,24898,12997,11952,13783,20665,13368
1/12/2021,1312,1337,1120,943,1007,13
1/12/2022,24921,13009,11954,13795,20671,13420
1/13/2021,1370,1405,1203,1017,1271,14
1/13/2022,24942,13013,11960,13800,20675,13433
1/14/2021,1470,1493,1296,1104,1543,14
1/14/2022,24996,13031,11969,13807,20687,13516
1/15/2021,1589,1588,1377,1192,2294,14
1/15/2022,25020,13034,11971,13811,20690,13553
1/16/2021,1601,1604,1391,1216,2398,14
1/16/2022,25031,13035,11973,13812,20690,13575
1/17/2021,1607,1612,1399,1220,2405,14
1/17/2022,25040,13035,11976,13814,20692,13581
1/18/2021,1678,1683,1457,1276,2470,15
1/18/2022,25051,13041,11978,13819,20699,13607
1/19/2021,1768,1745,1521,1354,2732,15
1/19/2022,25062,13050,11988,13827,20700,13651
1/2/2021,653,761,589,467,377,3
1/2/2022,24649,12914,11896,13723,20623,12892
1/20/2021,2017,2015,1844,1649,2958,20
1/20/2022,25071,13059,11993,13833,20705,13699
1/21/2021,2165,2132,1946,1749,3182,21
1/21/2022,25094,13070,12002,13843,20710,13732
1/22/2021,2261,2211,2041,1862,3528,22
1/22/2022,25108,13077,12006,13843,20712,13776
1/23/2021,2303,2247,2075,1897,3732,25
1/23/2022,25115,13077,12006,13844,20712,13789
1/24/2021,2309,2250,2075,1898,3751,25
1/24/2022,25130,13080,12013,13844,20717,13815
1/25/2021,2358,2300,2138,1998,4062,26
1/25/2022,25136,13084,12017,13846,20719,13836
1/26/2021,2419,2356,2193,2075,4431,28
1/26/2022,25148,13089,12022,13853,20728,13863
1/27/2021,2669,2502,2341,2238,4823,30
1/27/2022,25159,13093,12023,13857,20730,13904
1/28/2021,2864,2625,2477,2399,5231,34
1/28/2022,25180,13097,12029,13857,20731,13933
1/29/2021,2962,2710,2557,2510,5579,38
1/3/2021,653,762,589,468,379,3
1/3/2022,24670,12923,11904,13731,20626,12941
1/30/2021,3024,2753,2586,2549,5696,45
1/31/2021,3034,2756,2587,2552,5722,45
1/4/2021,722,837,654,538,442,4
1/4/2022,24694,12931,11911,13737,20628,12979
1/5/2021,807,910,708,602,513,7
1/5/2022,24727,12938,11916,13748,20637,13046
1/6/2021,890,963,764,654,583,7
1/6/2022,24763,12953,11927,13753,20639,13142
1/7/2021,1004,1051,851,724,684,7
1/7/2022,24814,12973,11938,13768,20645,13237
1/8/2021,1123,1158,953,789,727,11
1/8/2022,24837,12981,11947,13771,20655,13288
1/9/2021,1137,1165,963,805,736,11
1/9/2022,24856,12985,11950,13776,20657,13321
10/1/2021,22702,11985,11120,12854,19560,8170
10/10/2021,22847,12040,11179,12887,19617,8240
10/11/2021,22853,12046,11185,12889,19624,8247
10/12/2021,22862,12055,11187,12889,19626,8257
10/13/2021,22884,12063,11198,12892,19641,8267
10/14/2021,22899,12065,11199,12903,19650,8275
10/15/2021,22915,12071,11210,12905,19659,8283
10/16/2021,22928,12072,11211,12910,19660,8288
10/17/2021,22950,12076,11214,12910,19661,8296
10/18/2021,22961,12086,11217,12915,19668,8300
10/19/2021,22980,12090,11218,12921,19673,8305
10/2/2021,22715,11986,11121,12854,19566,8174
10/20/2021,22994,12098,11227,12925,19681,8314
10/21/2021,23011,12105,11231,12931,19687,8319
10/22/2021,23034,12117,11241,12949,19712,8326
10/23/2021,23053,12124,11247,12959,19729,8335
10/24/2021,23061,12129,11249,12960,19740,8338
10/25/2021,23077,12137,11259,12971,19768,8346
10/26/2021,23093,12145,11266,12985,19790,8368
10/27/2021,23124,12158,11280,13000,19833,8383
10/28/2021,23140,12163,11287,13007,19856,8389
10/29/2021,23177,12187,11300,13031,19890,8405
10/3/2021,22729,11986,11125,12858,19571,8181
10/30/2021,23199,12202,11316,13039,19904,8418
10/31/2021,23214,12210,11326,13045,19910,8425
10/4/2021,22750,11991,11131,12864,19581,8188
10/5/2021,22765,11998,11135,12869,19589,8194
10/6/2021,22793,12013,11147,12874,19595,8205
10/7/2021,22805,12023,11154,12882,19601,8215
10/8/2021,22826,12035,11175,12886,19606,8228
10/9/2021,22837,12039,11178,12887,19614,8235
11/1/2021,23235,12222,11333,13061,19932,8428
11/10/2021,23454,12330,11418,13171,20057,9645
11/11/2021,23483,12341,11428,13187,20064,9715
11/12/2021,23515,12357,11447,13203,20083,10045
11/13/2021,23532,12366,11455,13210,20090,10182
11/14/2021,23554,12370,11460,13217,20092,10227
11/15/2021,23579,12382,11473,13234,20114,10286
11/16/2021,23606,12398,11479,13248,20124,10376
11/17/2021,23629,12411,11487,13258,20151,10581
11/18/2021,23670,12425,11501,13270,20173,10655
11/19/2021,23724,12446,11515,13292,20189,10840
11/2/2021,23253,12227,11343,13069,19945,8439
11/20/2021,23742,12463,11525,13301,20201,10982
11/21/2021,23763,12470,11530,13309,20209,11025
11/22/2021,23791,12482,11546,13327,20228,11086
11/23/2021,23819,12488,11563,13339,20245,11142
11/24/2021,23840,12499,11569,13344,20257,11192
11/25/2021,23840,12499,11569,13344,20257,11192
11/26/2021,23864,12508,11572,13361,20265,11241
11/27/2021,23880,12510,11576,13367,20268,11252
11/28/2021,23887,12514,11579,13373,20270,11258
11/29/2021,23910,12527,11585,13384,20293,11307
11/3/2021,23283,12243,11352,13080,19961,8449
11/30/2021,23936,12536,11596,13395,20307,11390
11/4/2021,23311,12254,11361,13096,19981,8455
11/5/2021,23354,12279,11383,13119,19997,8565
11/6/2021,23376,12290,11394,13131,20006,8970
11/7/2021,23387,12300,11396,13137,20016,9030
11/8/2021,23405,12304,11402,13147,20025,9195
11/9/2021,23427,12313,11410,13154,20034,9353
12/1/2020,,,,1,,
12/1/2021,23960,12554,11604,13410,20329,11455
12/10/2020,,1,,1,1,
12/10/2021,24248,12696,11710,13538,20447,12012
12/11/2020,,1,,1,1,
12/11/2021,24268,12710,11720,13548,20455,12061
12/12/2020,,2,,1,1,
12/12/2021,24277,12718,11725,13558,20458,12085
