date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,927,864,659,486,245,5
1/1/2022,35235,20228,19659,22175,36942,26030
1/10/2021,1268,1204,951,718,526,8
1/11/2021,1330,1292,1015,755,870,8
1/12/2021,1390,1362,1090,810,1193,9
1/13/2021,1475,1435,1165,874,1530,9
1/14/2021,1493,1456,1193,898,1618,9
1/15/2021,1522,1472,1214,926,1709,9
1/16/2021,1526,1473,1218,927,1714,9
1/17/2021,1528,1476,1219,928,1718,9
1/18/2021,1536,1483,1229,932,1736,9
1/19/2021,1579,1508,1261,960,1852,14
1/2/2021,929,865,659,488,247,5
1/2/2022,35249,20237,19666,22194,36963,26039
1/20/2021,1593,1516,1270,971,1885,15
1/21/2021,1713,1702,1448,1073,2408,18
1/22/2021,1822,1797,1534,1152,3081,18
1/23/2021,1851,1836,1559,1183,3117,19
1/24/2021,1852,1838,1562,1186,3128,19
1/25/2021,1885,1912,1625,1237,3286,19
1/26/2021,2013,2053,1765,1375,3444,27
1/27/2021,2152,2206,1884,1473,3654,27
1/28/2021,2304,2358,2067,1693,4362,28
1/29/2021,2459,2488,2233,1835,5452,30
1/3/2021,931,865,660,488,247,5
1/3/2022,35284,20243,19674,22224,37037,26096
1/30/2021,2497,2520,2270,1908,6313,30
1/31/2021,2498,2521,2270,1909,6330,30
1/4/2021,986,920,702,519,287,5
1/4/2022,35332,20264,19692,22274,37163,26193
1/5/2021,1072,1016,768,565,322,5
1/5/2022,35369,20277,19703,22304,37199,26298
1/6/2021,1186,1129,864,634,392,8
1/7/2021,1228,1171,922,672,424,8
1/8/2021,1261,1200,947,712,515,8
1/9/2021,1263,1201,951,716,520,8
10/1/2021,30768,17927,17852,19875,32349,15523
10/10/2021,31184,18111,17964,19949,32428,15719
10/11/2021,31233,18143,17982,19969,32437,15750
10/12/2021,31264,18167,17991,19973,32443,15779
10/13/2021,31300,18184,18004,19979,32449,15800
