date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,286,385,437,503,374,7
1/1/2022,8889,6813,9312,18106,45282,3969
1/10/2021,436,555,648,749,856,10
1/10/2022,9044,6911,9417,18289,45480,4114
1/11/2021,453,569,678,786,957,10
1/11/2022,9060,6919,9430,18312,45509,4131
1/12/2021,473,592,708,835,1123,10
1/12/2022,9070,6925,9441,18327,45536,4141
1/13/2021,490,623,745,882,1295,11
1/13/2022,9089,6933,9448,18339,45562,4155
1/14/2021,524,652,794,948,1498,12
1/14/2022,9110,6946,9465,18357,45586,4200
1/15/2021,550,697,831,1016,1733,12
1/15/2022,9121,6954,9468,18364,45596,4211
1/16/2021,561,714,847,1056,2002,13
1/16/2022,9125,6957,9472,18366,45600,4214
1/17/2021,562,716,848,1058,2027,13
1/17/2022,9132,6962,9483,18383,45617,4220
1/18/2021,579,735,873,1093,2265,13
1/18/2022,9141,6972,9490,18394,45639,4232
1/19/2021,595,752,905,1141,2448,14
1/19/2022,9151,6984,9495,18404,45666,4241
1/2/2021,292,395,446,514,386,7
1/2/2022,8903,6818,9318,18120,45291,3974
1/20/2021,627,781,930,1207,2724,14
1/20/2022,9156,6989,9497,18411,45681,4246
1/21/2021,646,806,958,1248,2905,14
1/21/2022,9172,6998,9508,18422,45698,4272
1/22/2021,672,830,985,1294,3147,14
1/22/2022,9182,7001,9512,18427,45705,4279
1/23/2021,685,840,995,1311,3747,14
1/23/2022,9185,7001,9516,18428,45709,4281
1/24/2021,685,846,1004,1317,4275,14
1/24/2022,9191,7011,9525,18445,45728,4289
1/25/2021,691,853,1014,1336,4525,15
1/25/2022,9199,7017,9532,18453,45746,4298
1/26/2021,706,858,1023,1363,4884,15
1/26/2022,9211,7023,9543,18463,45761,4306
1/27/2021,730,877,1050,1410,5302,15
1/27/2022,9224,7030,9548,18470,45775,4313
1/28/2021,747,901,1081,1458,5823,15
1/28/2022,9241,7044,9557,18483,45785,4327
1/29/2021,763,910,1095,1486,6224,15
1/29/2022,9247,7052,9560,18487,45790,4335
1/3/2021,294,396,455,520,394,7
1/3/2022,8919,6827,9335,18150,45334,3992
1/30/2021,766,915,1107,1506,6529,15
1/30/2022,9249,7053,9561,18489,45792,4340
1/31/2021,770,916,1114,1519,7002,15
