date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,105,95,57,67,66,2
1/1/2022,11660,7498,7343,6929,10411,16759
1/10/2021,260,209,161,155,199,5
1/10/2022,11851,7609,7481,7086,10495,17128
1/11/2021,275,230,186,174,216,5
1/11/2022,11902,7627,7526,7128,10524,17225
1/12/2021,295,245,208,201,261,5
1/12/2022,11959,7666,7586,7192,10554,17307
1/13/2021,304,255,215,212,433,5
1/13/2022,12027,7704,7643,7246,10580,17390
1/14/2021,315,267,225,225,595,5
1/14/2022,12064,7730,7667,7266,10586,17483
1/15/2021,330,281,236,233,761,5
1/15/2022,12090,7748,7676,7273,10586,17537
1/16/2021,336,284,236,233,766,5
1/16/2022,12108,7752,7685,7276,10589,17560
1/17/2021,336,285,236,235,770,5
1/17/2022,12114,7760,7694,7286,10592,17583
1/18/2021,338,289,238,239,775,5
1/18/2022,12170,7800,7733,7350,10602,17667
1/19/2021,343,300,240,243,819,5
1/19/2022,12253,7851,7811,7401,10622,17781
1/2/2021,105,95,57,68,66,2
1/2/2022,11670,7501,7346,6934,10417,16772
1/20/2021,361,315,262,261,1145,7
1/20/2022,12277,7870,7834,7420,10631,17839
1/21/2021,376,335,281,279,1456,7
1/21/2022,12309,7887,7849,7428,10634,17891
1/22/2021,406,366,319,307,1859,8
1/22/2022,12321,7905,7860,7428,10635,17941
1/23/2021,410,370,319,309,1865,8
1/23/2022,12336,7917,7869,7435,10638,17969
1/24/2021,410,372,320,311,1867,8
1/24/2022,12355,7942,7899,7449,10647,17997
1/25/2021,425,380,335,330,1892,8
1/25/2022,12377,7970,7909,7470,10653,18048
1/26/2021,449,396,351,352,2185,9
1/26/2022,12399,7991,7932,7483,10656,18075
1/27/2021,470,415,366,376,2249,11
1/27/2022,12419,8008,7944,7490,10661,18107
1/28/2021,491,444,407,448,2542,11
1/28/2022,12445,8025,7964,7500,10663,18152
1/29/2021,541,506,497,519,2705,12
1/29/2022,12457,8038,7976,7504,10663,18182
1/3/2021,107,97,57,69,67,2
1/3/2022,11694,7512,7360,6951,10424,16822
1/30/2021,560,520,511,536,2712,12
1/30/2022,12473,8047,7979,7505,10666,18210
1/31/2021,572,526,516,547,2720,12
1/31/2022,12496,8054,7979,7513,10667,18231
1/4/2021,126,113,67,82,75,2
1/4/2022,11714,7520,7374,6967,10434,16861
1/5/2021,153,123,85,94,85,2
1/5/2022,11737,7539,7396,6990,10446,16908
1/6/2021,184,155,108,114,95,3
1/6/2022,11769,7558,7411,7005,10461,16969
1/7/2021,208,173,126,128,180,4
1/7/2022,11793,7568,7441,7028,10473,17033
1/8/2021,257,206,158,154,197,4
1/8/2022,11811,7577,7452,7044,10476,17069
1/9/2021,260,207,160,154,199,4
1/9/2022,11825,7588,7459,7053,10479,17094
10/1/2021,10297,6365,6374,6181,9590,6137
10/10/2021,10344,6394,6389,6199,9607,6215
10/11/2021,10348,6401,6397,6202,9611,6218
10/12/2021,10361,6403,6400,6203,9613,6250
10/13/2021,10375,6410,6404,6207,9616,6254
10/14/2021,10384,6417,6410,6211,9621,6264
10/15/2021,10403,6423,6417,6214,9624,6269
10/16/2021,10413,6423,6417,6214,9626,6276
10/17/2021,10421,6424,6417,6214,9626,6281
10/18/2021,10431,6430,6421,6217,9631,6286
10/19/2021,10449,6440,6428,6221,9637,6299
10/2/2021,10299,6366,6374,6183,9591,6139
10/20/2021,10453,6442,6431,6222,9642,6309
10/21/2021,10466,6444,6435,6224,9642,6315
10/22/2021,10476,6450,6438,6229,9646,6328
10/23/2021,10481,6455,6445,6232,9649,6336
10/24/2021,10482,6458,6447,6234,9651,6340
10/25/2021,10487,6464,6451,6234,9656,6345
10/26/2021,10500,6469,6457,6237,9663,6411
10/27/2021,10513,6475,6459,6239,9672,6480
10/28/2021,10526,6488,6466,6245,9682,6726
10/29/2021,10531,6494,6470,6247,9686,7358
10/3/2021,10303,6366,6375,6183,9593,6139
10/30/2021,10537,6498,6477,6257,9688,7360
10/31/2021,10537,6501,6479,6257,9688,7364
10/4/2021,10306,6367,6380,6184,9594,6144
10/5/2021,10317,6371,6382,6188,9602,6162
10/6/2021,10321,6378,6383,6189,9605,6166
10/7/2021,10333,6390,6388,6193,9606,6197
10/8/2021,10337,6394,6388,6194,9607,6207
10/9/2021,10342,6394,6389,6196,9607,6209
11/1/2021,10544,6509,6489,6261,9693,7370
11/10/2021,10717,6640,6610,6337,9776,11290
11/11/2021,10740,6668,6628,6348,9790,11356
11/12/2021,10756,6685,6640,6355,9807,11567
11/13/2021,10766,6692,6649,6360,9812,11639
11/14/2021,10775,6703,6663,6366,9816,11757
11/15/2021,10812,6742,6702,6385,9848,11882
11/16/2021,10845,6770,6725,6398,9862,12020
11/17/2021,10861,6793,6738,6412,9875,12291
11/18/2021,10885,6809,6746,6423,9880,12458
11/19/2021,10910,6832,6763,6434,9889,12562
11/2/2021,10559,6519,6500,6267,9704,7390
11/20/2021,10926,6845,6774,6443,9893,12617
11/21/2021,10943,6850,6784,6448,9897,12665
11/22/2021,10961,6857,6795,6460,9908,12714
11/23/2021,10979,6873,6805,6475,9934,12769
11/24/2021,10998,6895,6820,6487,9970,12835
11/25/2021,11003,6895,6820,6489,9978,12835
11/26/2021,11026,6911,6835,6515,10002,12905
11/27/2021,11050,6934,6843,6525,10004,12969
11/28/2021,11064,6946,6853,6528,10008,13012
11/29/2021,11082,6960,6865,6540,10025,13195
11/3/2021,10564,6526,6503,6271,9708,7482
11/30/2021,11139,7037,6941,6565,10052,14764
11/4/2021,10598,6549,6523,6290,9724,8366
11/5/2021,10630,6580,6548,6301,9731,9441
11/6/2021,10632,6581,6549,6301,9736,9458
11/7/2021,10638,6583,6552,6304,9737,9478
11/8/2021,10653,6596,6558,6311,9743,10085
11/9/2021,10684,6617,6581,6325,9768,10404
12/1/2020,,,1,,,
12/1/2021,11158,7059,6951,6580,10084,14870
12/10/2020,,1,1,,,
12/10/2021,11288,7175,7041,6705,10224,15607
12/11/2020,,1,1,,,
12/11/2021,11301,7184,7046,6716,10229,15638
12/12/2020,,1,1,,,
12/12/2021,11312,7192,7059,6726,10233,15664
12/13/2020,,1,1,,,
12/13/2021,11323,7206,7065,6736,10244,15709
12/14/2020,,1,1,,,
12/14/2021,11409,7286,7163,6766,10252,15991
12/15/2020,,1,1,,,
12/15/2021,11436,7312,7187,6779,10270,16088
12/16/2020,,1,1,,,
12/16/2021,11444,7331,7199,6789,10279,16145
12/17/2020,4,1,2,2,,
12/17/2021,11460,7342,7210,6796,10284,16190
12/18/2020,5,4,3,4,,
12/18/2021,11468,7350,7215,6801,10289,16231
12/19/2020,5,7,3,4,,
12/19/2021,11478,7363,7224,6805,10295,16263
12/2/2020,,,1,,,
12/2/2021,11172,7073,6966,6608,10119,14937
12/20/2020,6,7,3,4,,
12/20/2021,11491,7378,7233,6819,10307,16317
12/21/2020,6,8,3,4,1,
12/21/2021,11508,7386,7245,6829,10310,16368
12/22/2020,20,17,9,13,10,
12/22/2021,11526,7401,7250,6835,10325,16415
12/23/2020,27,24,9,18,13,
12/23/2021,11538,7406,7257,6843,10329,16444
12/24/2020,38,28,13,22,15,
12/24/2021,11546,7410,7262,6844,10333,16453
12/25/2020,38,28,13,22,15,
12/25/2021,11546,7410,7262,6844,10333,16453
12/26/2020,42,30,13,22,15,
12/26/2021,11553,7417,7268,6848,10334,16469
12/27/2020,42,30,13,22,15,
12/27/2021,11577,7435,7284,6874,10347,16520
12/28/2020,52,43,22,27,20,
12/28/2021,11610,7449,7304,6894,10371,16573
12/29/2020,73,64,32,34,21,
12/29/2021,11627,7474,7321,6911,10388,16670
12/3/2020,,1,1,,,
12/3/2021,11188,7091,6984,6620,10133,15002
12/30/2020,91,79,40,47,36,1
12/30/2021,11651,7488,7337,6923,10398,16741
12/31/2020,105,94,50,57,50,1
12/31/2021,11657,7496,7342,6929,10409,16754
12/4/2020,,1,1,,,
12/4/2021,11204,7106,6996,6633,10143,15022
12/5/2020,,1,1,,,
12/5/2021,11216,7116,7005,6644,10149,15060
12/6/2020,,1,1,,,
12/6/2021,11225,7126,7015,6659,10158,15118
