date,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA
2022-02-07 00:00:00,2,2,1
2022-02-06 00:00:00,48,11,0.2291666666666667
2022-02-05 00:00:00,39,14,0.358974358974359
2022-02-04 00:00:00,112,17,0.1517857142857143
2022-02-03 00:00:00,399,40,0.100250626566416
2022-02-02 00:00:00,154,48,0.3116883116883117
2022-02-01 00:00:00,334,50,0.1497005988023952
2022-01-31 00:00:00,550,86,0.1563636363636364
2022-01-30 00:00:00,50,9,0.18
2022-01-29 00:00:00,70,18,0.2571428571428571
2022-01-28 00:00:00,120,28,0.2333333333333334
2022-01-27 00:00:00,594,74,0.1245791245791246
2022-01-26 00:00:00,315,83,0.2634920634920635
2022-01-25 00:00:00,434,92,0.2119815668202765
2022-01-24 00:00:00,654,154,0.235474006116208
2022-01-23 00:00:00,60,20,0.3333333333333333
2022-01-22 00:00:00,68,33,0.4852941176470588
2022-01-21 00:00:00,226,80,0.3539823008849558
2022-01-20 00:00:00,728,95,0.1304945054945055
2022-01-19 00:00:00,309,92,0.2977346278317153
2022-01-18 00:00:00,676,131,0.1937869822485207
2022-01-17 00:00:00,420,57,0.1357142857142857
2022-01-16 00:00:00,69,26,0.3768115942028986
2022-01-15 00:00:00,77,20,0.2597402597402597
2022-01-14 00:00:00,449,96,0.2138084632516704
2022-01-13 00:00:00,679,100,0.1472754050073638
2022-01-12 00:00:00,484,110,0.2272727272727273
2022-01-11 00:00:00,500,90,0.18
2022-01-10 00:00:00,660,123,0.1863636363636364
2022-01-09 00:00:00,227,47,0.2070484581497797
2022-01-08 00:00:00,129,32,0.248062015503876
2022-01-07 00:00:00,333,66,0.1981981981981982
2022-01-06 00:00:00,670,79,0.117910447761194
2022-01-05 00:00:00,185,51,0.2756756756756757
2022-01-04 00:00:00,260,40,0.1538461538461539
2022-01-03 00:00:00,503,61,0.121272365805169
2022-01-02 00:00:00,62,12,0.1935483870967742
2022-01-01 00:00:00,50,13,0.26
2021-12-31 00:00:00,146,16,0.1095890410958904
2021-12-30 00:00:00,419,44,0.1050119331742244
2021-12-29 00:00:00,384,42,0.109375
2021-12-28 00:00:00,316,37,0.1170886075949367
2021-12-27 00:00:00,521,55,0.1055662188099808
2021-12-26 00:00:00,72,16,0.2222222222222222
2021-12-25 00:00:00,26,6,0.2307692307692308
2021-12-24 00:00:00,112,12,0.1071428571428571
2021-12-23 00:00:00,363,36,0.0991735537190083
2021-12-22 00:00:00,252,27,0.1071428571428571
2021-12-21 00:00:00,175,32,0.1828571428571429
2021-12-20 00:00:00,350,26,0.0742857142857143
2021-12-19 00:00:00,50,13,0.26
2021-12-18 00:00:00,58,8,0.1379310344827586
2021-12-17 00:00:00,132,22,0.1666666666666667
2021-12-16 00:00:00,438,23,0.0525114155251142
2021-12-15 00:00:00,157,16,0.1019108280254777
2021-12-14 00:00:00,348,42,0.1206896551724138
2021-12-13 00:00:00,482,38,0.0788381742738589
2021-12-12 00:00:00,45,12,0.2666666666666667
2021-12-11 00:00:00,40,6,0.15
2021-12-10 00:00:00,119,11,0.092436974789916
2021-12-09 00:00:00,436,29,0.0665137614678899
2021-12-08 00:00:00,126,19,0.1507936507936508
2021-12-07 00:00:00,228,37,0.162280701754386
2021-12-06 00:00:00,515,39,0.0757281553398058
2021-12-05 00:00:00,59,11,0.1864406779661017
2021-12-04 00:00:00,85,8,0.0941176470588235
