Category,value
Apache,573
Cochise,522
Coconino,445
Gila,346
Graham,166
Greenlee,30
La Paz,124
Maricopa,"15,087"
Mohave,"1,314"
Navajo,824
Pima,"3,523"
Pinal,"1,478"
Santa Cruz,215
Yavapai,"1,095"
Yuma,"1,080"
Female,11100
Male,15708
20-44y,1487
45-54y,2138
55-64y,4267
65+,18871
<20y,59
"White, non-Hispanic",14150
Hispanic or Latino,7195
"American Indian or Alaska Native, non-Hispanic",1882
"Black or African American, non-Hispanic",823
"Asian or Pacific Islander, non-Hispanic",319
Other Race,740
Unknown,1713
