date,cases,cases_APACHE,cases_YUMA,cases_YAVAPAI,cases_SANTA_CRUZ,cases_PINAL,cases_PIMA,cases_NAVAJO,cases_MOHAVE,cases_MARICOPA,cases_LA_PAZ,cases_GREENLEE,cases_GRAHAM,cases_GILA,cases_COCONINO,cases_COCHISE
2021-01-11 00:00:00,38,2.0,,1.0,,,,6.0,,29.0,,,,,,
2021-01-10 00:00:00,227,1.0,,13.0,5.0,28.0,6.0,14.0,3.0,61.0,4.0,,66.0,11.0,15.0,
2021-01-09 00:00:00,1395,6.0,29.0,52.0,7.0,124.0,126.0,50.0,31.0,909.0,9.0,2.0,10.0,23.0,15.0,2.0
2021-01-08 00:00:00,5594,34.0,109.0,129.0,61.0,415.0,521.0,83.0,98.0,3815.0,45.0,5.0,18.0,65.0,146.0,50.0
2021-01-07 00:00:00,8961,59.0,240.0,192.0,72.0,620.0,992.0,132.0,196.0,6006.0,35.0,6.0,28.0,56.0,229.0,98.0
2021-01-06 00:00:00,10192,50.0,280.0,183.0,73.0,525.0,1370.0,168.0,262.0,6554.0,49.0,10.0,33.0,68.0,233.0,334.0
2021-01-05 00:00:00,10758,64.0,454.0,286.0,85.0,510.0,1526.0,191.0,329.0,6746.0,34.0,11.0,50.0,61.0,232.0,179.0
2021-01-04 00:00:00,11324,103.0,449.0,316.0,117.0,698.0,1615.0,209.0,369.0,6788.0,84.0,8.0,49.0,101.0,241.0,177.0
2021-01-03 00:00:00,6321,14.0,97.0,134.0,28.0,337.0,869.0,43.0,175.0,4419.0,11.0,4.0,7.0,36.0,57.0,90.0
2021-01-02 00:00:00,6529,25.0,111.0,155.0,24.0,399.0,932.0,71.0,224.0,4281.0,9.0,3.0,20.0,26.0,141.0,108.0
2021-01-01 00:00:00,4019,12.0,58.0,45.0,9.0,316.0,280.0,38.0,214.0,2926.0,5.0,3.0,13.0,41.0,34.0,25.0
2020-12-31 00:00:00,8574,61.0,207.0,247.0,66.0,500.0,1206.0,123.0,298.0,5489.0,51.0,5.0,33.0,55.0,94.0,139.0
2020-12-30 00:00:00,10559,73.0,383.0,182.0,107.0,718.0,1349.0,134.0,308.0,6552.0,52.0,5.0,301.0,54.0,212.0,129.0
2020-12-29 00:00:00,10664,39.0,377.0,251.0,100.0,660.0,1307.0,154.0,426.0,6817.0,58.0,8.0,90.0,44.0,202.0,130.0
2020-12-28 00:00:00,11306,79.0,550.0,310.0,113.0,658.0,1603.0,183.0,375.0,6692.0,71.0,7.0,180.0,92.0,225.0,168.0
2020-12-27 00:00:00,6422,38.0,110.0,125.0,33.0,350.0,809.0,57.0,263.0,4465.0,14.0,4.0,9.0,26.0,58.0,61.0
2020-12-26 00:00:00,4764,42.0,110.0,119.0,39.0,291.0,823.0,42.0,113.0,3010.0,7.0,4.0,7.0,58.0,49.0,50.0
2020-12-25 00:00:00,1315,18.0,39.0,25.0,10.0,90.0,149.0,27.0,29.0,865.0,1.0,3.0,6.0,17.0,20.0,16.0
2020-12-24 00:00:00,5090,50.0,156.0,149.0,48.0,261.0,591.0,67.0,232.0,3298.0,25.0,1.0,5.0,24.0,109.0,74.0
2020-12-23 00:00:00,7923,52.0,341.0,263.0,71.0,399.0,979.0,96.0,270.0,5070.0,25.0,9.0,23.0,56.0,163.0,106.0
