Category,value
Apache,554
Cochise,483
Coconino,423
Gila,317
Graham,159
Greenlee,30
La Paz,112
Maricopa,"14,064"
Mohave,"1,230"
Navajo,770
Pima,"3,273"
Pinal,"1,361"
Santa Cruz,207
Yavapai,"1,007"
Yuma,"1,012"
Female,10350
Male,14639
20-44y,1369
45-54y,1966
55-64y,3976
65+,17637
<20y,54
"White, non-Hispanic",13100
Hispanic or Latino,6789
"American Indian or Alaska Native, non-Hispanic",1811
"Black or African American, non-Hispanic",765
"Asian or Pacific Islander, non-Hispanic",306
Other Race,691
Unknown,1540
