date,Mohave_cume,Mohave
1/1/2021,1,
1/10/2021,55,54
1/11/2021,288,233
1/12/2021,444,156
1/13/2021,624,180
1/14/2021,685,61
1/15/2021,1014,329
1/16/2021,1432,418
1/17/2021,1799,367
1/18/2021,2100,301
1/19/2021,2157,57
1/2/2021,2206,49
1/20/2021,2236,30
1/21/2021,2475,239
1/22/2021,2627,152
1/23/2021,2964,337
1/24/2021,3260,296
1/25/2021,3587,327
1/26/2021,3664,77
1/27/2021,3718,54
1/28/2021,3950,232
1/29/2021,4275,325
1/3/2021,4633,358
1/30/2021,5074,441
1/31/2021,5655,581
1/4/2021,5810,155
1/5/2021,5850,40
1/6/2021,6235,385
1/7/2021,6570,335
1/8/2021,7216,646
1/9/2021,7682,466
10/1/2021,8226,544
10/10/2021,9034,808
10/2/2021,9741,707
10/3/2021,10441,700
10/4/2021,11201,760
10/5/2021,12168,967
10/6/2021,13204,1036
10/7/2021,13906,702
10/8/2021,14589,683
10/9/2021,15160,571
12/1/2020,15855,695
12/22/2020,16498,643
12/23/2020,17892,1394
12/24/2020,18705,813
12/26/2020,19494,789
12/27/2020,19812,318
12/28/2020,19962,150
12/29/2020,20411,449
12/30/2020,20894,483
12/31/2020,21968,1074
2/1/2021,22649,681
2/10/2021,23778,1129
2/11/2021,24305,527
2/12/2021,24435,130
2/13/2021,25059,624
2/14/2021,25656,597
2/15/2021,26217,561
2/16/2021,26623,406
2/17/2021,27145,522
2/18/2021,27318,173
2/19/2021,27375,57
2/2/2021,27752,377
2/20/2021,28016,264
2/21/2021,28896,880
2/22/2021,30148,1252
2/23/2021,31326,1178
2/24/2021,32297,971
2/25/2021,33226,929
2/26/2021,34235,1009
2/27/2021,35278,1043
2/28/2021,37895,2617
2/3/2021,39624,1729
2/4/2021,41358,1734
2/5/2021,42298,940
2/6/2021,42789,491
2/7/2021,43719,930
2/8/2021,44829,1110
2/9/2021,47016,2187
3/1/2021,48764,1748
3/10/2021,50494,1730
3/11/2021,51385,891
3/12/2021,51773,388
3/13/2021,52701,928
3/14/2021,53806,1105
3/15/2021,55748,1942
3/16/2021,57214,1466
3/17/2021,58527,1313
3/18/2021,59777,1250
3/19/2021,60388,611
3/2/2021,61831,1443
3/20/2021,63209,1378
3/21/2021,64879,1670
3/22/2021,66446,1567
3/23/2021,68166,1720
3/24/2021,69306,1140
3/25/2021,70498,1192
3/26/2021,72177,1679
3/27/2021,73835,1658
3/28/2021,76374,2539
3/29/2021,78305,1931
3/3/2021,80011,1706
3/30/2021,80819,808
3/31/2021,81135,316
3/4/2021,82528,1393
3/5/2021,84048,1520
3/6/2021,85854,1806
3/7/2021,87487,1633
3/8/2021,89263,1776
3/9/2021,90281,1018
4/1/2021,90788,507
4/10/2021,93228,2440
4/11/2021,94484,1256
4/12/2021,96433,1949
