date,cases_PINAL
2021-10-08 00:00:00,1
2021-10-07 00:00:00,49
2021-10-06 00:00:00,116
2021-10-05 00:00:00,171
2021-10-04 00:00:00,208
2021-10-03 00:00:00,83
2021-10-02 00:00:00,103
2021-10-01 00:00:00,162
2021-09-30 00:00:00,170
2021-09-29 00:00:00,197
2021-09-28 00:00:00,227
2021-09-27 00:00:00,221
2021-09-26 00:00:00,125
2021-09-25 00:00:00,121
2021-09-24 00:00:00,221
2021-09-23 00:00:00,190
2021-09-22 00:00:00,179
2021-09-21 00:00:00,168
2021-09-20 00:00:00,246
2021-09-19 00:00:00,117
2021-09-18 00:00:00,115
2021-09-17 00:00:00,167
2021-09-16 00:00:00,184
2021-09-15 00:00:00,160
2021-09-14 00:00:00,206
2021-09-13 00:00:00,243
2021-09-12 00:00:00,96
2021-09-11 00:00:00,174
2021-09-10 00:00:00,249
2021-09-09 00:00:00,217
2021-09-08 00:00:00,232
2021-09-07 00:00:00,243
2021-09-06 00:00:00,152
2021-09-05 00:00:00,128
2021-09-04 00:00:00,152
2021-09-03 00:00:00,193
2021-09-02 00:00:00,206
2021-09-01 00:00:00,219
2021-08-31 00:00:00,214
2021-08-30 00:00:00,295
2021-08-29 00:00:00,130
2021-08-28 00:00:00,138
2021-08-27 00:00:00,257
2021-08-26 00:00:00,242
2021-08-25 00:00:00,251
2021-08-24 00:00:00,235
2021-08-23 00:00:00,292
2021-08-22 00:00:00,141
2021-08-21 00:00:00,186
2021-08-20 00:00:00,268
2021-08-19 00:00:00,228
2021-08-18 00:00:00,222
2021-08-17 00:00:00,266
2021-08-16 00:00:00,360
2021-08-15 00:00:00,153
2021-08-14 00:00:00,147
2021-08-13 00:00:00,309
2021-08-12 00:00:00,263
2021-08-11 00:00:00,258
2021-08-10 00:00:00,260
2021-08-09 00:00:00,313
2021-08-08 00:00:00,130
2021-08-07 00:00:00,164
2021-08-06 00:00:00,244
2021-08-05 00:00:00,208
2021-08-04 00:00:00,220
2021-08-03 00:00:00,246
2021-08-02 00:00:00,246
2021-08-01 00:00:00,159
2021-07-31 00:00:00,118
2021-07-30 00:00:00,147
2021-07-29 00:00:00,123
2021-07-28 00:00:00,149
2021-07-27 00:00:00,134
2021-07-26 00:00:00,149
2021-07-25 00:00:00,70
2021-07-24 00:00:00,92
2021-07-23 00:00:00,94
2021-07-22 00:00:00,86
2021-07-21 00:00:00,83
2021-07-20 00:00:00,124
2021-07-19 00:00:00,112
2021-07-18 00:00:00,66
2021-07-17 00:00:00,70
2021-07-16 00:00:00,82
2021-07-15 00:00:00,84
2021-07-14 00:00:00,64
2021-07-13 00:00:00,89
2021-07-12 00:00:00,97
2021-07-11 00:00:00,49
2021-07-10 00:00:00,42
2021-07-09 00:00:00,64
2021-07-08 00:00:00,63
2021-07-07 00:00:00,88
2021-07-06 00:00:00,76
2021-07-05 00:00:00,56
2021-07-04 00:00:00,10
2021-07-03 00:00:00,22
2021-07-02 00:00:00,66
2021-07-01 00:00:00,28
2021-06-30 00:00:00,45
2021-06-29 00:00:00,60
2021-06-28 00:00:00,88
2021-06-27 00:00:00,25
2021-06-26 00:00:00,40
2021-06-25 00:00:00,38
2021-06-24 00:00:00,34
