Category,value
Apache,509
Cochise,387
Coconino,383
Gila,277
Graham,130
Greenlee,21
La Paz,102
Maricopa,"12,740"
Mohave,"1,046"
Navajo,675
Pima,"2,883"
Pinal,"1,163"
Santa Cruz,196
Yavapai,785
Yuma,927
Female,9168
Male,13043
20-44y,1193
45-54y,1702
55-64y,3458
65+,15821
<20y,50
"White, non-Hispanic",11414
Hispanic or Latino,6179
"American Indian or Alaska Native, non-Hispanic",1696
"Black or African American, non-Hispanic",684
"Asian or Pacific Islander, non-Hispanic",278
Other Race,619
Unknown,1354
