date,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA
2021-11-26 00:00:00,90,3,0.0333333333333333
2021-11-25 00:00:00,497,59,0.1187122736418511
2021-11-24 00:00:00,4479,590,0.1317258316588524
2021-11-23 00:00:00,6586,704,0.1068934102641968
2021-11-22 00:00:00,6723,797,0.1185482671426447
2021-11-21 00:00:00,2627,459,0.1747240197944423
2021-11-20 00:00:00,2799,462,0.165058949624866
2021-11-19 00:00:00,5699,718,0.1259870152658361
2021-11-18 00:00:00,5848,667,0.1140560875512996
2021-11-17 00:00:00,6142,792,0.1289482253337675
2021-11-16 00:00:00,6291,806,0.1281195358448578
2021-11-15 00:00:00,6223,830,0.1333761851197172
2021-11-14 00:00:00,2672,485,0.1815119760479042
2021-11-13 00:00:00,2903,481,0.1656906648294868
2021-11-12 00:00:00,6155,734,0.1192526401299756
2021-11-11 00:00:00,3490,490,0.1404011461318052
2021-11-10 00:00:00,6458,690,0.1068442242180242
2021-11-09 00:00:00,6750,723,0.1071111111111111
2021-11-08 00:00:00,7044,698,0.099091425326519
2021-11-07 00:00:00,2780,425,0.1528776978417266
2021-11-06 00:00:00,2915,462,0.1584905660377359
2021-11-05 00:00:00,5424,589,0.1085914454277286
2021-11-04 00:00:00,6001,627,0.1044825862356274
2021-11-03 00:00:00,6401,629,0.0982658959537572
2021-11-02 00:00:00,6172,575,0.0931626701231367
2021-11-01 00:00:00,6053,535,0.0883859243350405
2021-10-31 00:00:00,2016,336,0.1666666666666667
2021-10-30 00:00:00,2399,306,0.1275531471446436
2021-10-29 00:00:00,4779,457,0.0956267001464742
2021-10-28 00:00:00,5592,499,0.0892346208869814
2021-10-27 00:00:00,5498,463,0.0842124408875955
2021-10-26 00:00:00,5676,443,0.0780479210711769
2021-10-25 00:00:00,5885,560,0.0951571792693288
2021-10-24 00:00:00,2021,256,0.1266699653636814
2021-10-23 00:00:00,2320,319,0.1375
2021-10-22 00:00:00,4364,433,0.0992208982584785
2021-10-21 00:00:00,5119,431,0.0841961320570424
2021-10-20 00:00:00,5275,413,0.0782938388625592
2021-10-19 00:00:00,5302,449,0.0846850245190494
2021-10-18 00:00:00,5738,462,0.0805158591843848
2021-10-17 00:00:00,1851,230,0.1242571582928147
2021-10-16 00:00:00,1904,209,0.1097689075630252
2021-10-15 00:00:00,3920,310,0.0790816326530612
2021-10-14 00:00:00,4482,307,0.0684962070504239
2021-10-13 00:00:00,4409,308,0.0698571104558857
2021-10-12 00:00:00,4796,306,0.0638031693077565
2021-10-11 00:00:00,4794,313,0.0652899457655403
2021-10-10 00:00:00,1688,181,0.1072274881516588
2021-10-09 00:00:00,2147,214,0.0996739636702375
2021-10-08 00:00:00,4319,284,0.0657559620282473
2021-10-07 00:00:00,5130,329,0.0641325536062378
2021-10-06 00:00:00,5636,377,0.0668914123491838
2021-10-05 00:00:00,5988,391,0.0652972611890448
2021-10-04 00:00:00,5767,392,0.067972949540489
2021-10-03 00:00:00,2039,207,0.1015203531142717
2021-10-02 00:00:00,2112,214,0.1013257575757576
2021-10-01 00:00:00,4448,338,0.0759892086330935
2021-09-30 00:00:00,5508,337,0.0611837327523602
2021-09-29 00:00:00,5425,360,0.0663594470046083
2021-09-28 00:00:00,5371,361,0.0672128095326755
2021-09-27 00:00:00,5998,412,0.0686895631877293
2021-09-26 00:00:00,2113,235,0.1112162801703739
2021-09-25 00:00:00,2230,227,0.1017937219730942
2021-09-24 00:00:00,4774,297,0.0622119815668203
2021-09-23 00:00:00,5441,312,0.0573424002940636
2021-09-22 00:00:00,5539,340,0.0613829211048926
2021-09-21 00:00:00,5580,306,0.0548387096774194
2021-09-20 00:00:00,6095,397,0.065135356849877
2021-09-19 00:00:00,2008,201,0.1000996015936255
2021-09-18 00:00:00,2136,190,0.0889513108614232
2021-09-17 00:00:00,5365,278,0.0518173345759553
2021-09-16 00:00:00,5914,335,0.0566452485627325
2021-09-15 00:00:00,5961,375,0.0629089079013588
2021-09-14 00:00:00,6370,303,0.0475667189952904
2021-09-13 00:00:00,5816,365,0.062757909215956
2021-09-12 00:00:00,2155,215,0.0997679814385151
2021-09-11 00:00:00,2290,224,0.0978165938864629
2021-09-10 00:00:00,5682,318,0.0559662090813094
2021-09-09 00:00:00,5948,361,0.0606926698049765
2021-09-08 00:00:00,6662,408,0.0612428700090063
2021-09-07 00:00:00,6896,429,0.0622099767981439
2021-09-06 00:00:00,2242,180,0.08028545941124
2021-09-05 00:00:00,2319,186,0.0802069857697283
2021-09-04 00:00:00,2338,247,0.1056458511548332
