date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11847,12915,12021,9700,5538,115
1/10/2021,20162,19891,18828,15809,11022,239
1/11/2021,21406,21002,20038,16778,12782,274
1/12/2021,23418,22976,22055,18442,17528,361
1/13/2021,25457,25105,24262,20099,23028,431
1/14/2021,27422,27233,26534,21988,28984,475
1/15/2021,29638,29257,28639,23760,33789,543
1/16/2021,31016,30458,29908,24920,36947,578
1/17/2021,31993,31355,30868,25887,40054,614
1/18/2021,33043,32300,32019,26999,45023,644
1/19/2021,34322,33521,33321,28305,51244,710
1/2/2021,13394,14286,13247,10775,6242,139
1/20/2021,35611,34800,34943,29821,58167,758
1/21/2021,37108,36304,36795,31688,66243,816
1/22/2021,40018,38946,39771,34689,74069,919
1/23/2021,42654,41016,42277,37153,78842,1003
1/24/2021,43945,42193,43557,38569,83931,1048
1/25/2021,45256,43350,44980,40165,91338,1106
1/26/2021,46943,44797,46721,42056,102137,1168
1/27/2021,48444,46111,48234,43700,112488,1208
1/28/2021,49669,47195,49457,45134,123294,1247
1/29/2021,51724,48878,51178,46963,133933,1319
1/3/2021,14142,14862,13755,11215,6468,157
1/30/2021,53478,50282,52769,48536,138901,1388
1/31/2021,54098,50835,53405,49232,142522,1419
1/4/2021,15179,15790,14704,11995,7293,165
1/5/2021,16142,16614,15569,12795,8038,184
1/6/2021,17321,17580,16520,13712,8741,196
1/7/2021,18242,18382,17330,14496,9466,210
1/8/2021,19072,19052,17983,15059,9929,217
1/9/2021,19775,19588,18525,15517,10722,235
12/1/2020,28,21,19,12,16,1
12/10/2020,36,27,27,22,30,1
12/11/2020,37,29,27,25,30,1
12/12/2020,38,29,27,26,30,1
12/13/2020,38,30,29,27,31,1
12/14/2020,39,33,29,28,37,1
12/15/2020,42,37,34,35,40,1
12/16/2020,53,48,47,41,44,1
12/17/2020,279,396,352,274,167,4
12/18/2020,666,879,749,534,288,4
12/19/2020,1030,1344,1145,830,407,9
12/2/2020,30,21,19,16,21,1
12/20/2020,1227,1588,1387,1025,491,10
12/21/2020,1937,2426,2147,1577,757,13
12/22/2020,2900,3522,3135,2281,1055,18
12/23/2020,3968,4798,4283,3088,1409,25
12/24/2020,4346,5173,4637,3383,1545,25
12/25/2020,4346,5173,4638,3383,1549,25
12/26/2020,5482,6468,5748,4326,1959,35
12/27/2020,5993,7004,6270,4764,2164,43
12/28/2020,7160,8182,7403,5782,2759,54
12/29/2020,8938,9943,9083,7210,3775,85
12/3/2020,32,21,22,16,22,1
12/30/2020,10819,11919,11040,8854,4750,105
12/31/2020,11773,12846,11934,9601,5100,114
12/4/2020,32,21,22,17,24,1
12/5/2020,32,21,22,17,25,1
12/6/2020,32,21,22,17,25,1
12/7/2020,32,22,25,18,26,1
12/8/2020,34,23,25,19,26,1
12/9/2020,34,23,26,20,28,1
2/1/2021,54921,51581,54182,50184,150818,1460
2/10/2021,63862,59666,62847,60780,241393,2035
2/11/2021,64945,60578,63871,62232,252345,2102
2/12/2021,66750,62051,65412,64214,267511,2209
2/13/2021,68612,63651,67219,66274,277527,2318
2/14/2021,69265,64128,67807,67028,282672,2346
2/15/2021,69938,64748,68475,67927,292176,2392
2/16/2021,71066,65545,69378,69110,302530,2447
2/17/2021,72047,66444,70314,70306,313635,2532
2/18/2021,72903,67163,71100,71383,324568,2568
2/19/2021,74024,68080,71998,72602,333717,2659
2/2/2021,55888,52461,55036,51346,160768,1507
2/20/2021,75725,69468,73380,74190,341727,2769
2/21/2021,76331,70048,73968,74920,346801,2809
2/22/2021,76945,70604,74498,75596,352637,2860
2/23/2021,78070,71482,75517,76864,360852,2933
2/24/2021,79250,72522,76639,78330,370502,3024
2/25/2021,80356,73472,77639,79647,380380,3119
2/26/2021,81894,74759,78947,81420,389603,3224
2/27/2021,83156,75848,80036,82765,396045,3312
2/28/2021,83721,76281,80541,83745,399871,3357
2/3/2021,56722,53258,55861,52331,171148,1563
2/4/2021,57662,54120,56890,53506,181913,1619
2/5/2021,58908,55222,58005,54845,190837,1694
2/6/2021,60165,56284,59139,56090,201453,1784
2/7/2021,60692,56791,59644,56675,207118,1819
2/8/2021,61658,57701,60665,57955,217757,1901
2/9/2021,62759,58698,61724,59340,229610,1975
3/1/2021,84428,76902,81312,84937,405097,3425
3/10/2021,94795,85094,90327,142457,449162,4300
3/11/2021,96910,86791,92121,152631,455216,4446
3/12/2021,99273,88554,94105,161820,460485,4602
3/13/2021,100987,89957,95738,170172,464439,4712
3/14/2021,102266,91050,96899,176536,466843,4793
3/15/2021,103762,92348,98465,184698,470566,4907
3/16/2021,105803,93957,100341,192473,474456,5070
3/17/2021,108443,96277,102961,201365,479604,5273
3/18/2021,111161,98554,105568,209277,484388,5470
3/19/2021,114604,101119,108371,216470,488890,5790
3/2/2021,85260,77644,82121,86890,411075,3481
3/20/2021,117515,103534,111215,221878,492666,6032
3/21/2021,119766,105442,113380,225988,494918,6245
3/22/2021,123042,108295,116535,230502,498012,6588
3/23/2021,126936,111594,120049,235462,501007,7064
3/24/2021,133377,116947,125714,240030,504144,8389
3/25/2021,140614,122663,131829,244171,507263,9745
3/26/2021,147063,127779,137268,247932,509467,11095
3/27/2021,153052,132605,142319,250537,510889,12816
3/28/2021,158189,136469,146462,252208,511789,14362
3/29/2021,165860,142248,152910,254041,512998,16150
3/3/2021,86162,78363,83004,90000,416765,3569
3/30/2021,173561,147971,159249,256162,514304,18015
3/31/2021,181847,154168,166385,258827,516034,20254
3/4/2021,87265,79282,83984,97112,422451,3660
3/5/2021,88853,80383,85182,105286,427331,3823
3/6/2021,89939,81173,86030,111670,430973,3903
3/7/2021,90772,81849,86734,117062,433437,3966
3/8/2021,91877,82740,87716,125385,438434,4050
3/9/2021,93256,83819,88914,133236,443380,4145
4/1/2021,189986,160264,173832,261579,518004,22259
4/10/2021,240936,195264,213420,283194,533181,34209
4/11/2021,244110,197296,215659,284384,533967,35398
4/12/2021,248889,200441,219347,286743,535866,36559
4/13/2021,253176,203104,222336,288628,537279,37651
4/14/2021,257617,205728,225234,290359,538550,38756
4/15/2021,262830,209115,228571,292489,540114,39807
4/16/2021,267253,212022,231676,294413,541465,40765
4/17/2021,270611,214364,234429,296002,542548,41893
4/18/2021,272533,215529,235791,296743,543058,42583
4/19/2021,275936,217870,238263,298316,544388,43441
4/2/2021,196494,165126,179448,264020,519551,23928
4/20/2021,279142,219957,240701,299843,545657,44335
4/21/2021,283334,222702,243446,301647,547124,45379
4/22/2021,287250,225239,246036,303335,548451,46247
4/23/2021,291057,227873,248723,305003,549607,47226
4/24/2021,293426,229421,250345,306120,550377,48033
4/25/2021,295005,230432,251381,306699,550765,48739
4/26/2021,297740,232281,253363,308073,551820,49503
4/27/2021,300644,234126,255419,309468,552991,50216
4/28/2021,303511,235832,257385,310847,554320,51054
4/29/2021,306330,237516,259231,312250,555566,51727
4/3/2021,201023,168432,183392,265691,520685,25278
4/30/2021,309557,239394,261386,313861,556891,52556
4/4/2021,203199,169761,184948,266279,521049,25850
4/5/2021,208699,173367,189065,268663,522729,27130
4/6/2021,214848,177513,193918,271505,524915,28559
4/7/2021,221697,182447,199288,274664,527218,29853
4/8/2021,228392,187133,204438,277903,529722,31110
4/9/2021,235331,191582,209466,281016,531766,32695
5/1/2021,311590,240568,262709,314840,557499,53204
5/10/2021,328574,250359,272844,322621,563986,57684
5/11/2021,330523,251395,273974,323483,564696,58221
5/12/2021,332446,252526,275107,324289,565417,58974
5/13/2021,334485,253669,276287,325162,566081,63675
5/14/2021,336996,255170,277820,326227,566912,68186
5/15/2021,338724,256296,278938,326991,567349,73645
5/16/2021,339938,256978,279637,327469,567656,76703
5/17/2021,342075,258155,280970,328350,568433,79734
5/18/2021,344182,259399,282189,329260,569228,82113
5/19/2021,346434,260696,283529,330273,569976,85444
5/2/2021,312963,241440,263592,315436,557892,53680
5/20/2021,348414,261862,284694,331097,570674,88087
5/21/2021,350704,263213,286057,332031,571340,92005
5/22/2021,352483,264289,287199,332779,571757,95776
5/23/2021,353562,264928,287765,333169,571982,97283
5/24/2021,355283,265851,288700,333898,572574,99274
5/25/2021,356750,266756,289593,334590,573081,100890
5/26/2021,358502,267693,290515,335205,573579,102677
5/27/2021,360005,268600,291355,335845,574058,104486
5/28/2021,361656,269573,292324,336558,574588,106529
5/29/2021,362792,270245,293049,337053,574859,107993
5/3/2021,314849,242468,264759,316377,558798,54145
5/30/2021,363514,270700,293470,337348,574989,108728
5/31/2021,363823,270887,293646,337472,575070,109020
5/4/2021,317348,243863,266238,317533,559900,54721
5/5/2021,319712,245237,267621,318566,560720,55256
5/6/2021,322157,246608,269049,319671,561651,55862
5/7/2021,324413,248030,270441,320745,562565,56447
5/8/2021,325975,248926,271401,321482,563081,56951
5/9/2021,326938,249503,271954,321891,563335,57295
6/1/2021,365282,271766,294503,338002,575505,110636
6/10/2021,375452,277752,300277,342002,578507,122250
6/11/2021,376818,278722,301169,342574,578858,124525
6/12/2021,377732,279390,301808,342884,579010,125946
6/13/2021,378092,279628,302051,343046,579084,126235
6/14/2021,379066,280175,302557,343417,579322,127351
6/15/2021,380023,280782,303064,343766,579534,128528
6/16/2021,381096,281401,303619,344136,579777,129759
6/17/2021,382030,282019,304134,344516,580041,130806
6/18/2021,383343,282745,304818,345003,580354,131977
6/19/2021,384033,283221,305244,345292,580509,132705
6/2/2021,366550,272515,295262,338486,575920,112133
6/20/2021,384468,283464,305462,345459,580572,133060
6/21/2021,385393,283985,305998,345807,580813,134077
6/22/2021,386271,284465,306485,346108,581110,135032
6/23/2021,387151,285021,306959,346455,581399,135999
6/24/2021,387956,285519,307471,346812,581683,136942
6/25/2021,389040,286193,308110,347280,582005,137890
6/26/2021,389805,286639,308589,347571,582172,138516
6/27/2021,390296,286958,308876,347762,582241,138993
6/28/2021,391232,287497,309428,348118,582523,140039
6/29/2021,392109,288010,309914,348459,582765,140908
6/3/2021,367898,273294,296015,339007,576322,113654
6/30/2021,392960,288562,310385,348825,583056,141830
6/4/2021,369355,274232,296932,339632,576749,115298
6/5/2021,370475,274967,297603,340083,577006,116832
6/6/2021,371080,275274,297956,340285,577125,117500
6/7/2021,372231,275949,298547,340721,577475,118750
6/8/2021,373315,276495,299111,341157,577786,119901
6/9/2021,374314,277067,299608,341550,578134,121049
7/1/2021,393789,289053,310877,349157,583305,142629
7/10/2021,400980,293398,315168,352085,585064,150523
7/11/2021,401511,293710,315415,352239,585144,151102
7/12/2021,402417,294232,315903,352544,585354,152141
7/13/2021,403190,294646,316331,352806,585575,153129
7/14/2021,403981,295131,316814,353093,585777,154086
7/15/2021,404718,295597,317229,353363,585980,154999
7/16/2021,405871,296337,317907,353814,586268,156282
7/17/2021,406631,296843,318380,354116,586429,157069
7/18/2021,407193,297208,318694,354325,586516,157645
7/19/2021,408207,297913,319321,354765,586828,158986
7/2/2021,394847,289700,311463,349609,583590,143661
7/20/2021,409192,298521,319954,355144,587149,160169
7/21/2021,410383,299274,320599,355578,587481,161452
7/22/2021,411524,300057,321280,356106,587835,162841
7/23/2021,412993,301130,322308,356771,588229,164348
7/24/2021,414083,301878,323121,357267,588449,165300
7/25/2021,415116,302468,323603,357579,588594,166195
7/26/2021,416548,303338,324416,358171,588989,167694
7/27/2021,417958,304206,325223,358711,589375,169190
7/28/2021,419412,305074,325971,359204,589737,170740
7/29/2021,420875,305942,326708,359666,590106,172380
7/3/2021,395588,290164,311903,349926,583756,144333
7/30/2021,422855,307299,327917,360348,590591,174689
7/31/2021,424113,308178,328660,360803,590811,176152
7/4/2021,395718,290234,311989,349983,583782,144443
7/5/2021,396588,290717,312479,350348,583960,145288
7/6/2021,397400,291130,312945,350638,584206,146169
7/7/2021,398225,291615,313373,350982,584427,147138
7/8/2021,399005,292052,313843,351318,584648,147980
7/9/2021,400153,292823,314587,351757,584900,149337
8/1/2021,425136,308807,329145,361155,590951,177042
8/10/2021,439411,317772,336617,365959,594146,188759
8/11/2021,440906,318698,337297,366438,594455,189912
8/12/2021,442502,319652,338101,366952,594857,191052
8/13/2021,444363,320876,339075,367558,595246,192585
8/14/2021,445682,321766,339761,367970,595482,194073
8/15/2021,446448,322211,340119,368179,595588,194607
8/16/2021,447966,323079,340829,368651,595914,195559
8/17/2021,449403,323920,341473,369071,596230,196473
8/18/2021,450707,324683,342047,369481,596504,197354
8/19/2021,451752,325434,342593,369848,596781,198088
8/2/2021,426789,309914,330024,361753,591361,178600
8/20/2021,453023,326260,343289,370295,597057,199211
8/21/2021,453891,326859,343837,370573,597196,200233
8/22/2021,454525,327241,344125,370756,597295,200767
8/23/2021,455815,328002,344734,371184,597632,201572
8/24/2021,457098,328717,345310,371567,597913,202344
8/25/2021,458302,329415,345892,371966,598170,203128
8/26/2021,459487,330108,346445,372354,598430,203813
8/27/2021,460838,330927,347138,372769,598738,204792
8/28/2021,461730,331500,347603,373075,598886,205600
8/29/2021,462302,331849,347884,373218,598974,205949
8/3/2021,428339,310875,330831,362289,591795,179821
8/30/2021,463389,332486,348398,373574,599201,206563
8/31/2021,464359,333040,348837,373882,599427,207083
8/4/2021,430012,311925,331708,362826,592212,181029
8/5/2021,431618,312906,332567,363421,592611,182258
8/6/2021,433659,314226,333763,364097,593042,184023
8/7/2021,435158,315207,334559,364597,593279,185701
8/8/2021,436147,315799,335043,364899,593443,186531
8/9/2021,437807,316784,335868,365442,593832,187737
9/1/2021,465441,333681,349321,374228,599670,207755
9/10/2021,471960,337424,352438,376351,601064,211979
9/2/2021,466287,334162,349712,374491,599902,208231
9/3/2021,467440,334906,350324,374906,600150,209133
9/4/2021,468106,335357,350718,375139,600289,209723
9/5/2021,468632,335677,350992,375303,600366,210084
9/6/2021,468777,335766,351079,375369,600395,210174
9/7/2021,469696,336254,351475,375668,600586,210682
9/8/2021,470748,336793,351902,375957,600836,211245
9/9/2021,471592,337218,352276,376235,600997,211716
