date,Pima_cume,Pima
2020-12-01 00:00:00,8,
2020-12-02 00:00:00,9,1
2020-12-03 00:00:00,11,2
2020-12-04 00:00:00,12,1
2020-12-05 00:00:00,13,1
2020-12-09 00:00:00,15,2
2020-12-10 00:00:00,16,1
2020-12-11 00:00:00,19,3
2020-12-12 00:00:00,20,1
2020-12-13 00:00:00,21,1
2020-12-14 00:00:00,23,2
2020-12-15 00:00:00,38,15
2020-12-16 00:00:00,41,3
2020-12-17 00:00:00,1274,1233
2020-12-18 00:00:00,2678,1404
2020-12-19 00:00:00,3415,737
2020-12-20 00:00:00,3418,3
2020-12-21 00:00:00,4939,1521
2020-12-22 00:00:00,6440,1501
2020-12-23 00:00:00,8282,1842
2020-12-24 00:00:00,9314,1032
2020-12-25 00:00:00,9315,1
2020-12-26 00:00:00,10102,787
2020-12-27 00:00:00,10266,164
2020-12-28 00:00:00,12112,1846
2020-12-29 00:00:00,14186,2074
2020-12-30 00:00:00,16433,2247
2020-12-31 00:00:00,18088,1655
2021-01-01 00:00:00,18241,153
2021-01-02 00:00:00,18855,614
2021-01-03 00:00:00,19290,435
2021-01-04 00:00:00,21085,1795
2021-01-05 00:00:00,22817,1732
2021-01-06 00:00:00,24965,2148
2021-01-07 00:00:00,27205,2240
2021-01-08 00:00:00,29849,2644
2021-01-09 00:00:00,31366,1517
2021-01-10 00:00:00,31763,397
2021-01-11 00:00:00,34527,2764
2021-01-12 00:00:00,37249,2722
2021-01-13 00:00:00,39705,2456
2021-01-14 00:00:00,42121,2416
2021-01-15 00:00:00,46131,4010
2021-01-16 00:00:00,47527,1396
2021-01-17 00:00:00,48024,497
2021-01-18 00:00:00,51968,3944
2021-01-19 00:00:00,56042,4074
2021-01-20 00:00:00,60715,4673
2021-01-21 00:00:00,66016,5301
2021-01-22 00:00:00,72522,6506
2021-01-23 00:00:00,75082,2560
2021-01-24 00:00:00,76079,997
2021-01-25 00:00:00,83362,7283
2021-01-26 00:00:00,90339,6977
2021-01-27 00:00:00,97865,7526
2021-01-28 00:00:00,104754,6889
2021-01-29 00:00:00,112008,7254
2021-01-30 00:00:00,115807,3799
2021-01-31 00:00:00,117305,1498
2021-02-01 00:00:00,122608,5303
2021-02-02 00:00:00,128865,6257
2021-02-03 00:00:00,135803,6938
2021-02-04 00:00:00,143026,7223
2021-02-05 00:00:00,151740,8714
2021-02-06 00:00:00,156076,4336
2021-02-07 00:00:00,157158,1082
2021-02-08 00:00:00,163961,6803
2021-02-09 00:00:00,170127,6166
2021-02-10 00:00:00,177574,7447
2021-02-11 00:00:00,185203,7629
2021-02-12 00:00:00,193915,8712
2021-02-13 00:00:00,198196,4281
2021-02-14 00:00:00,199110,914
2021-02-15 00:00:00,205164,6054
2021-02-16 00:00:00,212004,6840
2021-02-17 00:00:00,219509,7505
2021-02-18 00:00:00,226663,7154
2021-02-19 00:00:00,230929,4266
2021-02-20 00:00:00,232982,2053
2021-02-21 00:00:00,233615,633
2021-02-22 00:00:00,237337,3722
2021-02-23 00:00:00,241831,4494
2021-02-24 00:00:00,248192,6361
2021-02-25 00:00:00,256331,8139
2021-02-26 00:00:00,266360,10029
2021-02-27 00:00:00,270787,4427
2021-02-28 00:00:00,272852,2065
2021-03-01 00:00:00,279598,6746
2021-03-02 00:00:00,286158,6560
