date,Pinal_cume,Pinal
1/1/2021,5,
1/10/2021,6,1
1/11/2021,11,5
1/12/2021,48,37
1/13/2021,81,33
1/14/2021,108,27
1/15/2021,119,11
1/16/2021,267,148
1/17/2021,515,248
1/18/2021,885,370
1/19/2021,955,70
1/2/2021,1268,313
1/20/2021,1343,75
1/21/2021,1783,440
1/22/2021,2414,631
1/23/2021,3268,854
1/24/2021,3810,542
1/25/2021,3871,61
1/26/2021,4387,516
1/27/2021,4554,167
1/28/2021,5134,580
1/29/2021,5759,625
1/3/2021,6530,771
1/30/2021,7272,742
1/31/2021,8142,870
1/4/2021,8462,320
1/5/2021,8543,81
1/6/2021,9138,595
1/7/2021,9983,845
1/8/2021,11152,1169
1/9/2021,12372,1220
10/1/2021,13470,1098
10/10/2021,14493,1023
10/11/2021,14699,206
10/12/2021,15352,653
10/13/2021,16472,1120
10/14/2021,18007,1535
10/15/2021,19613,1606
10/16/2021,21277,1664
10/17/2021,22665,1388
10/18/2021,23088,423
10/19/2021,24288,1200
10/2/2021,25643,1355
10/20/2021,27441,1798
10/21/2021,29322,1881
10/22/2021,31270,1948
10/3/2021,32649,1379
10/4/2021,32996,347
10/5/2021,34704,1708
10/6/2021,36735,2031
10/7/2021,38973,2238
10/8/2021,41270,2297
10/9/2021,44010,2740
12/1/2020,46158,2148
12/16/2020,46688,530
12/17/2020,48747,2059
12/18/2020,51189,2442
12/19/2020,54266,3077
12/20/2020,57461,3195
12/21/2020,61181,3720
12/22/2020,64722,3541
12/23/2020,65408,686
12/24/2020,66863,1455
12/26/2020,68958,2095
12/27/2020,71296,2338
12/28/2020,73762,2466
12/29/2020,75728,1966
12/30/2020,77507,1779
12/31/2020,78013,506
12/9/2020,79474,1461
2/1/2021,81432,1958
2/10/2021,84246,2814
2/11/2021,87964,3718
2/12/2021,91931,3967
2/13/2021,94286,2355
2/14/2021,95202,916
2/15/2021,98295,3093
2/16/2021,101780,3485
2/17/2021,106000,4220
2/18/2021,110194,4194
2/19/2021,113831,3637
2/2/2021,116934,3103
2/20/2021,118083,1149
2/21/2021,121190,3107
2/22/2021,124562,3372
2/23/2021,128192,3630
2/24/2021,132995,4803
2/25/2021,137298,4303
2/26/2021,139974,2676
2/27/2021,141200,1226
2/28/2021,143985,2785
2/3/2021,147457,3472
2/4/2021,151247,3790
2/5/2021,155234,3987
2/6/2021,158762,3528
2/7/2021,161209,2447
2/8/2021,162697,1488
2/9/2021,165498,2801
3/1/2021,168684,3186
3/10/2021,172749,4065
3/11/2021,176883,4134
3/12/2021,181395,4512
3/13/2021,183674,2279
3/14/2021,185587,1913
3/15/2021,189134,3547
3/16/2021,192937,3803
3/17/2021,197184,4247
3/18/2021,201656,4472
3/19/2021,204560,2904
3/2/2021,206990,2430
3/20/2021,207816,826
3/21/2021,210796,2980
3/22/2021,214383,3587
3/23/2021,218197,3814
3/24/2021,221831,3634
3/25/2021,225083,3252
3/26/2021,227378,2295
3/27/2021,228615,1237
3/28/2021,231578,2963
3/29/2021,234217,2639
3/3/2021,237189,2972
3/30/2021,240235,3046
3/31/2021,243686,3451
3/4/2021,245389,1703
3/5/2021,246689,1300
3/6/2021,249610,2921
3/7/2021,252922,3312
3/8/2021,256782,3860
3/9/2021,259702,2920
4/1/2021,262083,2381
4/10/2021,264182,2099
4/11/2021,265700,1518
4/12/2021,268135,2435
4/13/2021,270859,2724
4/14/2021,273338,2479
4/15/2021,275366,2028
4/16/2021,277523,2157
4/17/2021,278889,1366
