Category,value
Apache,554
Cochise,484
Coconino,422
Gila,317
Graham,159
Greenlee,30
La Paz,112
Maricopa,"14,060"
Mohave,"1,223"
Navajo,770
Pima,"3,270"
Pinal,"1,361"
Santa Cruz,207
Yavapai,"1,007"
Yuma,"1,010"
Female,10344
Male,14629
20-44y,1368
45-54y,1965
55-64y,3972
65+,17627
<20y,54
"White, non-Hispanic",13084
Hispanic or Latino,6786
"American Indian or Alaska Native, non-Hispanic",1809
"Black or African American, non-Hispanic",765
"Asian or Pacific Islander, non-Hispanic",305
Other Race,694
Unknown,1543
