date,ED_covid,ICU_covid,inpatient_beds_covid,ventilators_covid,deaths,hospitalizations,icu_covid,icu_non_covid,icu_empty,inpatient_covid,inpatient_non_covid,inpatient_empty,vents_in_use,vents_available
2020-12-26,1699.0,988.0,4190.0,667.0,,1,988.0,609.0,177.0,4190.0,3400.0,922.0,1147.0,988.0
2020-12-25,1827.0,983.0,4165.0,652.0,,29,983.0,635.0,154.0,4165.0,3430.0,906.0,1120.0,1030.0
2020-12-24,2023.0,976.0,4226.0,636.0,1.0,24,976.0,671.0,131.0,4226.0,3560.0,731.0,1149.0,970.0
2020-12-23,1965.0,965.0,4221.0,620.0,3.0,193,965.0,681.0,132.0,4221.0,3579.0,711.0,1103.0,988.0
2020-12-22,1961.0,972.0,4163.0,673.0,10.0,374,972.0,682.0,119.0,4163.0,3616.0,718.0,1111.0,1013.0
2020-12-21,1817.0,943.0,4019.0,644.0,14.0,443,943.0,663.0,161.0,4019.0,3707.0,742.0,1075.0,988.0
2020-12-20,1795.0,904.0,3925.0,628.0,27.0,388,904.0,707.0,145.0,3925.0,3860.0,683.0,1050.0,1010.0
2020-12-19,1973.0,885.0,3899.0,595.0,34.0,376,885.0,727.0,153.0,3899.0,4005.0,641.0,1022.0,1026.0
2020-12-18,2052.0,939.0,4014.0,612.0,38.0,340,939.0,688.0,136.0,4014.0,3868.0,666.0,1088.0,986.0
2020-12-17,2017.0,915.0,3931.0,601.0,55.0,379,915.0,724.0,128.0,3931.0,4005.0,618.0,1070.0,1013.0
2020-12-16,1920.0,899.0,3884.0,618.0,59.0,340,899.0,707.0,140.0,3884.0,4025.0,632.0,1050.0,1045.0
2020-12-15,1856.0,882.0,3809.0,602.0,65.0,375,882.0,709.0,155.0,3809.0,4040.0,689.0,1031.0,1016.0
2020-12-14,1579.0,863.0,3702.0,579.0,81.0,385,863.0,731.0,154.0,3702.0,4079.0,844.0,994.0,1051.0
2020-12-13,1779.0,829.0,3677.0,542.0,63.0,286,829.0,753.0,165.0,3677.0,4129.0,811.0,990.0,1019.0
2020-12-12,1870.0,831.0,3622.0,537.0,64.0,224,831.0,769.0,146.0,3622.0,4201.0,792.0,980.0,1038.0
2020-12-11,1966.0,799.0,3534.0,515.0,67.0,213,799.0,798.0,163.0,3534.0,4319.0,768.0,959.0,1060.0
2020-12-10,2120.0,809.0,3482.0,508.0,85.0,237,809.0,773.0,171.0,3482.0,4409.0,744.0,972.0,1050.0
