date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,21098,22695,20659,18017,12053,201
1/10/2021,34809,34801,32749,29666,28781,475
1/11/2021,36743,36613,34695,31338,32529,534
1/12/2021,39556,39294,37480,33855,40056,642
1/13/2021,42337,42206,40577,36549,48793,732
1/14/2021,45106,45243,43806,39544,58127,802
1/15/2021,48598,48478,47165,42660,67230,922
1/16/2021,50397,50057,48841,44271,72597,968
1/17/2021,51512,51075,49913,45357,76050,1009
1/18/2021,53164,52613,51648,47080,83823,1053
1/19/2021,55204,54484,53678,49263,93868,1151
1/2/2021,23003,24398,22189,19427,13086,233
1/20/2021,57624,56988,56608,52199,106094,1277
1/21/2021,60336,59846,59955,55668,121775,1427
1/22/2021,64838,63991,64560,60527,137428,1595
1/23/2021,68138,66753,67662,63704,147939,1747
1/24/2021,69677,68138,69182,65387,155577,1800
1/25/2021,72069,70282,71776,68334,169164,1887
1/26/2021,75004,72798,74672,71572,186411,1999
1/27/2021,78127,75417,77608,74934,205299,2100
1/28/2021,81173,77994,80565,78583,226524,2242
1/29/2021,85037,81126,83924,82336,246439,2448
1/3/2021,23904,25135,22836,19975,13431,254
1/30/2021,87867,83252,86263,84792,257856,2628
1/31/2021,88772,83995,87125,85823,263822,2674
1/4/2021,25635,26759,24436,21455,15296,279
1/5/2021,27429,28397,26018,23014,17394,314
1/6/2021,29641,30345,28048,25041,20444,378
1/7/2021,31448,31969,29820,26825,23760,416
1/8/2021,33175,33531,31481,28475,26162,443
1/9/2021,34271,34361,32329,29270,28326,470
12/1/2020,40,25,31,22,33,1
12/10/2020,57,39,48,46,59,3
12/11/2020,58,42,50,51,61,3
12/12/2020,60,42,52,54,63,3
12/13/2020,61,43,54,56,65,3
12/14/2020,62,48,57,58,74,3
12/15/2020,73,60,71,74,84,3
12/16/2020,180,212,231,201,141,3
12/17/2020,806,1043,1027,853,398,8
12/18/2020,1659,2050,1868,1506,693,9
12/19/2020,2278,2768,2444,1941,892,14
12/2/2020,43,28,33,27,38,2
12/20/2020,2492,3028,2700,2153,987,16
12/21/2020,3860,4450,3963,3125,1465,23
12/22/2020,5707,6493,5764,4571,2099,32
12/23/2020,7961,9056,8005,6389,2995,50
12/24/2020,8923,10030,8818,7126,3348,53
12/25/2020,8961,10063,8846,7151,3364,53
12/26/2020,10475,11789,10277,8424,3915,66
12/27/2020,11100,12442,10883,8932,4165,76
12/28/2020,13236,14619,12882,10779,5390,99
12/29/2020,16092,17553,15611,13295,7532,144
12/3/2020,47,29,38,31,41,2
12/30/2020,19241,20883,18824,16265,9843,176
12/31/2020,20936,22544,20468,17803,11224,195
12/4/2020,47,29,40,34,43,2
12/5/2020,48,29,40,34,44,2
12/6/2020,49,29,40,35,44,2
12/7/2020,51,31,44,37,46,3
12/8/2020,53,32,45,41,49,3
12/9/2020,55,33,46,42,55,3
2/1/2021,90620,85677,88914,88127,279503,2789
2/10/2021,110183,101561,107026,111773,443104,4688
2/11/2021,112905,103772,109329,114964,465757,5058
2/12/2021,116186,106460,112173,118662,492956,5383
2/13/2021,119851,109305,115165,122044,512317,5793
2/14/2021,120778,110010,116079,123201,519685,5844
2/15/2021,121932,110999,117149,124647,533947,5910
2/16/2021,123824,112338,118660,126678,550665,6070
2/17/2021,126247,114187,120477,128966,567312,6706
2/18/2021,127731,115399,121751,130703,583404,6829
2/19/2021,129667,116893,123284,132630,595384,7253
2/2/2021,92698,87514,90954,90790,297620,2894
2/20/2021,132445,118888,125249,134815,605218,7604
2/21/2021,133123,119521,125921,135632,611109,7661
2/22/2021,134139,120314,126707,136680,618909,7763
2/23/2021,135841,121585,128161,138630,630779,7937
2/24/2021,138134,123415,130071,141281,647689,8171
2/25/2021,140256,125150,131886,143840,666685,8708
2/26/2021,142955,127321,134097,147057,684931,8988
2/27/2021,144988,129015,135817,149500,697146,9223
2/28/2021,145802,129641,136622,151064,704941,9293
2/3/2021,95131,89574,93234,93729,318408,3053
2/4/2021,97648,91612,95779,96907,338233,3225
2/5/2021,100364,93906,98320,100187,355772,3381
2/6/2021,103107,95969,100795,103237,372362,4055
2/7/2021,103782,96573,101427,104036,380288,4095
2/8/2021,105637,98032,103082,106247,397960,4256
2/9/2021,107554,99668,104868,108818,417982,4429
3/1/2021,147326,130884,138075,153421,716269,9503
3/10/2021,166706,145533,154462,236424,820657,11920
3/11/2021,170387,148408,157522,251531,835144,12251
3/12/2021,174134,151090,160670,265118,847781,12566
3/13/2021,176634,153061,162999,276346,855098,12803
3/14/2021,178407,154508,164564,284645,860007,12943
3/15/2021,180950,156576,167080,297815,868870,13194
3/16/2021,184821,159548,170599,311008,878765,13628
3/17/2021,190220,163619,175224,326118,891221,14122
3/18/2021,195307,167644,180093,340509,902821,14540
3/19/2021,201485,172226,185255,354129,912815,15148
3/2/2021,149261,132316,139648,156671,729225,9791
3/20/2021,205843,175655,189550,363575,920058,15543
3/21/2021,209069,178456,192751,370069,923801,15901
3/22/2021,214383,182801,197648,378870,930829,16509
3/23/2021,221398,188192,203491,388601,937968,17427
3/24/2021,231578,196029,212020,398111,945342,19420
3/25/2021,243326,204874,221610,407449,952847,21589
3/26/2021,253869,212833,230280,415776,958656,23838
3/27/2021,262327,219373,237225,420763,961692,26242
3/28/2021,269010,224396,242686,423397,963388,28270
3/29/2021,280546,232739,252003,427633,966597,31100
3/3/2021,151190,133818,141408,161946,744317,10098
3/30/2021,293073,241606,261910,432740,970630,34182
3/31/2021,306651,251129,273183,438777,975509,37811
3/4/2021,153248,135497,143220,172211,758329,10388
3/5/2021,156230,137644,145539,183729,770639,10759
3/6/2021,158099,138983,147017,192468,779218,11078
3/7/2021,159336,139929,148052,199423,784686,11169
3/8/2021,161140,141272,149580,210844,795577,11332
3/9/2021,163711,143330,151896,222843,807404,11570
4/1/2021,319490,260016,284139,444287,980512,41119
4/10/2021,404507,315219,346188,485784,1015028,62828
4/11/2021,409134,318049,349295,487791,1016479,64536
4/12/2021,416894,322954,355055,492147,1020410,66344
4/13/2021,423521,326900,359487,495549,1023357,68007
4/14/2021,430950,331358,364145,498778,1026068,69774
4/15/2021,438992,336841,369292,502405,1028934,71400
4/16/2021,445969,341425,374065,505777,1031553,73023
4/17/2021,450662,344630,377715,508248,1033478,74552
4/18/2021,453357,346239,379551,509482,1034359,75548
4/19/2021,458443,349566,383058,512336,1036832,76945
4/2/2021,330335,267552,292851,449002,984291,44143
4/20/2021,463325,352625,386480,514911,1039197,78246
4/21/2021,469647,356723,390621,517988,1041861,79765
4/22/2021,475671,360600,394498,520924,1044339,81124
4/23/2021,481614,364595,398490,523945,1046594,82764
4/24/2021,485329,366891,401029,525882,1048089,84318
4/25/2021,487729,368299,402522,526884,1048784,85342
4/26/2021,492088,371141,405522,529276,1050785,86771
4/27/2021,496733,374071,408701,531804,1052992,87970
4/28/2021,501643,376926,411907,534419,1055449,89267
4/29/2021,506283,379658,414802,536866,1057812,90352
4/3/2021,337554,272423,298567,452056,986499,46401
4/30/2021,511357,382634,418146,539657,1060199,91670
4/4/2021,341270,274509,301013,453281,987317,47519
4/5/2021,350507,280307,307704,458124,991547,49954
4/6/2021,360978,286834,315475,463861,996899,52557
4/7/2021,373265,295363,324306,469880,1002034,55171
4/8/2021,384787,302890,332518,476110,1007510,57609
4/9/2021,396309,309962,340530,481990,1012246,60411
5/1/2021,514279,384387,420133,541288,1061256,92637
5/10/2021,540538,399569,435860,554708,1073115,99947
5/11/2021,543490,401139,437553,556191,1074544,100823
5/12/2021,546525,402888,439344,557677,1075963,102320
5/13/2021,549867,404835,441280,559214,1077276,110076
5/14/2021,553767,407186,443598,561003,1078767,118260
5/15/2021,556437,408885,445321,562353,1079592,128064
5/16/2021,558317,409946,446386,563125,1080115,132609
5/17/2021,561849,411945,448565,564794,1081617,137606
5/18/2021,565214,413882,450466,566389,1083094,141804
5/19/2021,568800,415867,452550,568091,1084570,147336
5/2/2021,516269,385588,421337,542191,1061868,93320
5/20/2021,572007,417767,454395,569594,1085887,151570
5/21/2021,575586,419927,456540,571207,1087120,157775
5/22/2021,578348,421518,458216,572381,1087840,163916
5/23/2021,579973,422438,459074,573017,1088212,166092
5/24/2021,582718,423977,460600,574278,1089281,169330
5/25/2021,585247,425494,462084,575505,1090266,172151
5/26/2021,588028,426996,463515,576581,1091211,175312
5/27/2021,590526,428409,464873,577680,1092095,178448
5/28/2021,593275,430013,466464,578923,1093032,181918
5/29/2021,594992,430972,467489,579678,1093490,183950
5/3/2021,519368,387279,423199,543853,1063443,94121
5/30/2021,596066,431604,468073,580124,1093707,184988
5/31/2021,596581,431916,468365,580348,1093864,185453
5/4/2021,523246,389477,425500,545860,1065428,95046
5/5/2021,527033,391702,427765,547721,1067109,95983
5/6/2021,530771,393846,429924,549603,1068855,96967
5/7/2021,534318,396035,432152,551505,1070519,98048
5/8/2021,536643,397397,433645,552741,1071380,98865
5/9/2021,538054,398201,434484,553418,1071815,99335
6/1/2021,599099,433323,469738,581310,1094737,188151
6/10/2021,616242,442956,478856,588371,1100396,208220
6/11/2021,618556,444397,480152,589282,1101045,211580
6/12/2021,619931,445320,481034,589771,1101297,213487
6/13/2021,620544,445669,481406,590030,1101434,213905
6/14/2021,622216,446598,482256,590712,1101909,215840
6/15/2021,623855,447561,483034,591323,1102357,217745
6/16/2021,625692,448542,483911,591959,1102821,219774
6/17/2021,627381,449566,484740,592646,1103355,221635
6/18/2021,629504,450714,485817,593446,1103949,223588
6/19/2021,630616,451415,486439,593897,1104219,224770
6/2/2021,601269,434555,471017,582264,1095560,190994
6/20/2021,631274,451784,486742,594153,1104336,225313
6/21/2021,632904,452623,487569,594756,1104807,227026
6/22/2021,634902,453590,488340,595304,1105321,228657
6/23/2021,637037,454708,489171,595917,1105882,230486
6/24/2021,639324,455854,489993,596526,1106404,232146
6/25/2021,641260,456978,491002,597307,1106998,233933
6/26/2021,642468,457659,491676,597800,1107263,234936
6/27/2021,643219,458131,492081,598096,1107376,235661
6/28/2021,644815,458976,492913,598682,1107834,237359
6/29/2021,646455,459804,493673,599259,1108284,238934
6/3/2021,603492,435781,472163,583197,1096346,193613
6/30/2021,648435,460935,494479,599928,1108815,240669
6/4/2021,606042,437271,473589,584257,1097166,196410
6/5/2021,607756,438320,474562,584963,1097627,198668
6/6/2021,608708,438792,475069,585295,1097829,199711
6/7/2021,610556,439840,476020,586045,1098441,201823
6/8/2021,612475,440804,476921,586845,1099053,203938
6/9/2021,614351,441859,477812,587577,1099720,206153
7/1/2021,650461,461925,495262,600472,1109316,242247
7/10/2021,662570,468817,501759,605331,1112633,254933
7/11/2021,663326,469223,502107,605562,1112774,255722
7/12/2021,664792,470012,502864,606108,1113203,257545
7/13/2021,666231,470712,503521,606584,1113597,259227
7/14/2021,667829,471553,504278,607110,1114018,260903
7/15/2021,669474,472455,504986,607628,1114434,262553
7/16/2021,671324,473634,506035,608448,1114981,264746
7/17/2021,672518,474370,506759,608974,1115283,265967
7/18/2021,673399,474889,507201,609300,1115444,266829
7/19/2021,675062,475934,508153,610086,1116038,269032
7/2/2021,652257,462947,496186,601235,1109852,243975
7/20/2021,676740,476896,509161,610759,1116658,271192
7/21/2021,678630,478047,510171,611545,1117326,273512
7/22/2021,680530,479260,511245,612469,1118074,275763
7/23/2021,682824,480875,512802,613641,1118809,278320
7/24/2021,684566,481985,513956,614468,1119220,279844
7/25/2021,686006,482813,514633,614943,1119480,281123
7/26/2021,688349,484186,515863,615911,1120254,283625
7/27/2021,690683,485585,517106,616851,1121029,286341
7/28/2021,693152,486961,518349,617786,1121808,289159
7/29/2021,695547,488328,519527,618624,1122559,292025
7/3/2021,653396,463638,496832,601728,1110129,244991
7/30/2021,698582,490332,521268,619779,1123428,295678
7/31/2021,700983,491744,522484,620552,1123846,297880
7/4/2021,653628,463751,496950,601807,1110180,245142
7/5/2021,655010,464460,497669,602359,1110497,246403
7/6/2021,656385,465177,498376,602895,1110955,247952
7/7/2021,657932,466029,499087,603500,1111407,249644
7/8/2021,659450,466876,499862,604079,1111873,251157
