date,ED_covid,ICU_covid,inpatient_beds_covid,ventilators_covid,deaths,hospitalizations,icu_covid,icu_non_covid,icu_empty,inpatient_covid,inpatient_non_covid,inpatient_empty,vents_in_use,vents_available
2021-07-22 00:00:00,988.0,238.0,910.0,120.0,,,,,,,,,,
2021-07-21 00:00:00,1092.0,237.0,868.0,114.0,,,,,,,,,,
2021-07-20 00:00:00,1054.0,223.0,841.0,113.0,,,,,,,,,,
2021-07-19 00:00:00,843.0,215.0,809.0,106.0,,,,,,,,,,
2021-07-18 00:00:00,924.0,192.0,814.0,94.0,,,,,,,,,,
2021-07-17 00:00:00,880.0,179.0,775.0,86.0,,,,,,,,,,
2021-07-16 00:00:00,903.0,185.0,745.0,90.0,,,,,,,,,,
2021-07-15 00:00:00,858.0,185.0,719.0,88.0,,,,,,,,,,
2021-07-14 00:00:00,932.0,184.0,689.0,77.0,,,,,,,,,,
2021-07-13 00:00:00,948.0,188.0,669.0,78.0,,,,,,,,,,
2021-07-12 00:00:00,861.0,183.0,643.0,76.0,,,,,,,,,,
2021-07-11 00:00:00,832.0,165.0,602.0,72.0,,,,,,,,,,
2021-07-10 00:00:00,910.0,154.0,603.0,68.0,,,,,,,,,,
2021-07-09 00:00:00,892.0,155.0,550.0,66.0,,,,,,,,,,
2021-07-08 00:00:00,872.0,160.0,535.0,69.0,,,,,,,,,,
2021-07-07 00:00:00,866.0,152.0,548.0,69.0,,,,,,,,,,
2021-07-06 00:00:00,879.0,150.0,562.0,66.0,,,,,,,,,,
2021-07-05 00:00:00,744.0,144.0,531.0,67.0,,,,,,,,,,
2021-07-04 00:00:00,792.0,135.0,525.0,63.0,,,,,,,,,,
2021-07-03 00:00:00,812.0,135.0,504.0,59.0,,,,,,,,,,
2021-07-02 00:00:00,871.0,134.0,520.0,59.0,,,,,,,,,,
2021-07-01 00:00:00,836.0,136.0,530.0,58.0,,,,,,,,,,
2021-06-30 00:00:00,844.0,136.0,527.0,59.0,,,,,,,,,,
2021-06-29 00:00:00,878.0,134.0,559.0,61.0,,,,,,,,,,
2021-06-28 00:00:00,795.0,125.0,532.0,58.0,,,,,,,,,,
2021-06-27 00:00:00,782.0,131.0,503.0,58.0,,,,,,,,,,
2021-06-26 00:00:00,828.0,127.0,506.0,62.0,,,,,,,,,,
2021-06-25 00:00:00,847.0,130.0,525.0,67.0,,,,,,,,,,
2021-06-24 00:00:00,783.0,129.0,523.0,66.0,,,,,,,,,,
2021-06-23 00:00:00,938.0,124.0,497.0,60.0,,,,,,,,,,
2021-06-22 00:00:00,906.0,135.0,502.0,64.0,,,,,,,,,,
2021-06-21 00:00:00,746.0,136.0,487.0,62.0,,,,,,,,,,
2021-06-20 00:00:00,708.0,133.0,522.0,60.0,,,,,,,,,,
2021-06-19 00:00:00,818.0,133.0,514.0,60.0,,,,,,,,,,
2021-06-18 00:00:00,874.0,149.0,503.0,59.0,,,,,,,,,,
2021-06-17 00:00:00,813.0,136.0,499.0,62.0,,,,,,,,,,
2021-06-16 00:00:00,857.0,129.0,480.0,63.0,,,,,,,,,,
2021-06-15 00:00:00,769.0,120.0,554.0,58.0,,,,,,,,,,
2021-06-14 00:00:00,787.0,120.0,509.0,66.0,,,,,,,,,,
2021-06-13 00:00:00,796.0,128.0,520.0,69.0,,,,,,,,,,
2021-06-12 00:00:00,825.0,131.0,512.0,63.0,,,,,,,,,,
