date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11619,13361,12551,10077,6391,95
1/1/2022,557817,386122,396939,413608,669133,321568
1/10/2021,19780,20506,19578,16325,12388,199
1/10/2022,563756,388986,399621,416007,671322,331967
1/11/2021,21007,21636,20827,17314,14271,230
1/11/2022,564494,389391,399934,416285,671588,333193
1/12/2021,22977,23627,22867,19020,19131,305
1/12/2022,565161,389732,400248,416589,671824,334630
1/13/2021,24974,25768,25127,20723,24739,365
1/13/2022,566023,390111,400562,416881,672083,335860
1/14/2021,26902,27921,27455,22662,30834,397
1/14/2022,566832,390488,400837,417126,672275,337482
1/15/2021,29107,29927,29621,24470,35790,448
1/15/2022,567295,390741,401027,417284,672372,338758
1/16/2021,30466,31120,30930,25650,39012,475
1/16/2022,567536,390851,401124,417372,672430,339164
1/17/2021,31423,32014,31904,26627,42192,496
1/17/2022,568055,391109,401366,417581,672577,340227
1/18/2021,32462,32964,33066,27756,47444,518
1/18/2022,568719,391417,401630,417783,672785,341168
1/19/2021,33725,34173,34409,29061,53771,573
1/19/2022,569467,391749,401901,418027,672982,342406
1/2/2021,13136,14768,13843,11179,7178,113
1/2/2022,558094,386258,397071,413723,669242,321872
1/20/2021,35023,35471,36056,30611,60848,606
1/20/2022,570124,392042,402166,418261,673172,343489
1/21/2021,36486,36970,37962,32487,69150,650
1/21/2022,570750,392364,402433,418454,673342,344707
1/22/2021,39349,39615,40937,35521,77175,724
1/22/2022,571133,392594,402590,418607,673439,345597
1/23/2021,41938,41699,43437,38013,82091,783
1/23/2022,571382,392716,402718,418676,673482,345970
1/24/2021,43204,42866,44737,39429,87261,822
1/24/2022,571967,392990,402940,418899,673671,346885
1/25/2021,44510,44030,46175,41036,94828,860
1/25/2022,572438,393227,403170,419075,673824,347710
1/26/2021,46169,45498,47912,42941,105786,906
1/26/2022,572960,393468,403373,419242,673970,348635
1/27/2021,47644,46831,49441,44613,116239,935
1/27/2022,573479,393710,403562,419419,674116,349449
1/28/2021,48844,47929,50681,46042,127179,964
1/28/2022,573966,393951,403767,419594,674248,350468
1/29/2021,50879,49621,52420,47879,138006,1020
1/29/2022,574296,394106,403943,419713,674314,351256
1/3/2021,13874,15351,14370,11631,7435,127
1/3/2022,558816,386586,397392,414056,669565,323119
