date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
12/3/2021,716,530,685,1300,4765,640
12/30/2020,10,5,20,12,16,
12/30/2021,744,549,707,1370,4942,747
12/31/2020,10,5,22,14,16,
12/31/2021,745,549,707,1372,4942,747
12/4/2021,718,530,686,1302,4772,641
12/5/2021,719,530,687,1305,4772,641
12/6/2021,723,532,689,1310,4783,642
12/7/2021,723,532,690,1314,4793,680
12/8/2021,724,533,691,1315,4799,707
12/9/2021,724,536,691,1318,4806,707
2/1/2021,74,63,95,123,926,1
2/1/2022,774,571,724,1417,5026,800
2/10/2021,87,81,108,174,1841,2
2/10/2022,777,576,727,1423,5039,805
2/11/2021,89,84,109,179,1863,2
2/11/2022,777,578,727,1423,5039,807
2/12/2021,91,84,109,181,1869,2
2/12/2022,778,578,727,1423,5039,807
2/13/2021,91,84,109,182,1875,2
2/13/2022,778,578,727,1423,5039,807
2/14/2021,91,84,109,182,1883,2
2/14/2022,779,578,727,1423,5040,807
2/15/2021,91,84,109,183,1885,2
2/15/2022,779,578,727,1424,5040,807
2/16/2021,91,85,109,183,1891,3
2/16/2022,779,578,727,1424,5042,807
2/17/2021,91,87,111,191,1908,3
2/17/2022,779,578,728,1424,5042,807
2/18/2021,94,91,111,208,2166,3
2/18/2022,779,578,728,1425,5043,807
2/19/2021,94,92,112,208,2172,3
2/2/2021,74,63,95,127,951,1
2/2/2022,774,571,725,1417,5026,803
2/20/2021,95,92,112,209,2173,3
2/21/2021,95,92,112,209,2174,3
2/22/2021,95,92,112,209,2179,3
2/23/2021,95,93,112,212,2189,4
2/24/2021,99,98,119,234,2433,5
2/25/2021,102,101,121,244,2466,5
2/26/2021,103,101,124,244,2472,5
2/27/2021,103,101,124,245,2473,5
2/28/2021,103,101,124,245,2476,5
2/3/2021,80,65,97,145,1370,1
2/3/2022,774,571,726,1418,5028,804
2/4/2021,84,73,103,160,1430,1
2/4/2022,775,572,727,1418,5031,804
2/5/2021,84,74,104,161,1464,1
2/5/2022,775,572,727,1418,5032,804
2/6/2021,85,74,104,161,1466,1
2/6/2022,776,572,727,1418,5032,804
2/7/2021,85,74,104,161,1468,1
2/7/2022,777,573,727,1419,5034,804
2/8/2021,85,74,106,162,1494,2
2/8/2022,777,574,727,1420,5038,804
2/9/2021,85,76,107,163,1528,2
2/9/2022,777,576,727,1422,5039,805
3/1/2021,103,102,125,245,2505,6
3/10/2021,109,108,136,311,2763,7
3/11/2021,112,115,147,391,3003,9
3/12/2021,113,115,149,399,3041,9
3/13/2021,113,116,149,404,3045,9
3/14/2021,115,116,149,408,3045,9
3/15/2021,115,116,149,416,3081,9
3/16/2021,115,116,150,424,3112,9
3/17/2021,117,123,168,498,3322,10
3/18/2021,119,126,175,511,3350,11
3/19/2021,120,126,177,518,3375,11
3/2/2021,103,102,125,250,2538,7
3/20/2021,120,127,177,520,3378,11
3/21/2021,120,127,178,522,3381,11
3/22/2021,120,127,181,529,3411,11
3/23/2021,123,130,185,542,3435,12
3/24/2021,125,130,191,559,3465,12
3/25/2021,136,139,211,654,3655,15
3/26/2021,136,142,214,658,3657,15
3/27/2021,137,143,215,659,3658,15
3/28/2021,137,144,215,659,3658,15
3/29/2021,141,144,217,661,3661,16
3/3/2021,105,103,126,261,2588,7
3/30/2021,174,168,238,678,3672,17
3/31/2021,200,200,280,771,3792,22
3/4/2021,106,104,131,283,2650,7
3/5/2021,106,106,131,283,2659,7
3/6/2021,107,106,132,284,2664,7
3/7/2021,107,106,132,285,2665,7
3/8/2021,107,106,132,290,2677,7
3/9/2021,107,106,133,297,2716,7
4/1/2021,205,202,289,780,3807,22
4/10/2021,257,247,357,868,3988,64
4/11/2021,261,248,358,874,3989,64
4/12/2021,265,250,360,881,3994,64
4/13/2021,269,250,361,883,3998,65
4/14/2021,284,257,372,890,4009,65
4/15/2021,296,261,379,902,4026,65
4/16/2021,298,263,380,903,4026,65
4/17/2021,298,263,380,903,4026,65
4/18/2021,299,263,382,903,4026,65
4/19/2021,302,264,382,906,4031,65
4/2/2021,210,206,291,783,3810,22
4/20/2021,303,264,382,907,4038,65
4/21/2021,314,269,389,928,4068,67
4/22/2021,320,270,392,936,4092,67
4/23/2021,326,277,394,940,4094,68
4/24/2021,329,278,396,941,4097,68
4/25/2021,329,278,396,941,4097,68
4/26/2021,331,280,398,945,4099,71
4/27/2021,333,284,400,947,4113,72
4/28/2021,340,286,405,952,4122,74
4/29/2021,342,289,408,955,4134,74
4/3/2021,210,206,293,784,3811,22
4/30/2021,349,292,412,955,4140,75
4/4/2021,211,206,293,784,3812,22
4/5/2021,213,209,297,789,3822,23
4/6/2021,217,213,308,803,3840,23
