Category,value
Apache,581
Cochise,536
Coconino,452
Gila,354
Graham,170
Greenlee,31
La Paz,132
Maricopa,"15,562"
Mohave,"1,365"
Navajo,847
Pima,"3,603"
Pinal,"1,522"
Santa Cruz,220
Yavapai,"1,134"
Yuma,"1,109"
Female,11424
Male,16179
20-44y,1518
45-54y,2173
55-64y,4390
65+,19477
<20y,60
"White, non-Hispanic",14649
Hispanic or Latino,7360
"American Indian or Alaska Native, non-Hispanic",1921
"Black or African American, non-Hispanic",856
"Asian or Pacific Islander, non-Hispanic",321
Other Race,748
Unknown,1763
