date,Greenlee_cume,Greenlee
2020-12-18,2,
2020-12-21,16,14
2020-12-22,42,26
2020-12-23,49,7
2020-12-24,53,4
2020-12-26,54,1
2020-12-28,56,2
2020-12-29,64,8
2020-12-30,85,21
2020-12-31,115,30
2021-01-01,117,2
2021-01-04,118,1
2021-01-05,140,22
2021-01-06,155,15
2021-01-07,193,38
2021-01-08,209,16
2021-01-09,210,1
2021-01-12,249,39
2021-01-13,289,40
2021-01-14,352,63
2021-01-15,367,15
2021-01-16,368,1
2021-01-18,393,25
2021-01-19,430,37
2021-01-20,462,32
2021-01-21,709,247
2021-01-22,897,188
2021-01-23,1252,355
2021-01-24,1260,8
2021-01-25,1305,45
2021-01-26,1309,4
2021-01-27,1389,80
2021-01-28,1638,249
2021-01-29,1772,134
2021-01-30,1774,2
2021-02-01,1802,28
2021-02-02,1872,70
2021-02-03,1905,33
2021-02-04,1988,83
2021-02-05,2140,152
2021-02-06,2143,3
2021-02-08,2161,18
2021-02-09,2199,38
2021-02-10,2299,100
2021-02-11,2441,142
2021-02-12,2632,191
2021-02-13,2637,5
2021-02-15,2675,38
2021-02-16,2754,79
2021-02-17,2900,146
2021-02-18,3156,256
2021-02-19,3162,6
2021-02-20,3164,2
2021-02-22,3224,60
2021-02-23,3532,308
2021-02-24,3690,158
2021-02-25,3817,127
2021-02-26,3970,153
2021-02-28,3985,15
2021-03-01,4014,29
2021-03-02,4164,150
2021-03-03,4215,51
2021-03-04,4256,41
2021-03-05,4397,141
2021-03-06,4398,1
2021-03-07,4399,1
2021-03-08,4438,39
2021-03-09,4510,72
2021-03-10,4591,81
2021-03-11,4656,65
2021-03-12,4769,113
2021-03-13,4775,6
2021-03-15,4885,110
2021-03-16,4910,25
2021-03-17,4965,55
2021-03-18,4988,23
2021-03-19,5026,38
2021-03-20,5027,1
2021-03-22,5033,6
2021-03-23,5048,15
2021-03-24,5058,10
2021-03-25,5099,41
2021-03-26,5149,50
2021-03-27,5153,4
2021-03-28,5162,9
2021-03-29,5171,9
2021-03-30,5225,54
2021-03-31,5236,11
2021-04-01,5296,60
2021-04-02,5323,27
2021-04-03,5324,1
2021-04-05,5339,15
2021-04-06,5364,25
2021-04-07,5381,17
2021-04-08,5437,56
2021-04-09,5475,38
2021-04-10,5478,3
2021-04-11,5479,1
2021-04-12,5524,45
2021-04-13,5539,15
2021-04-14,5556,17
2021-04-15,5582,26
2021-04-16,5614,32
2021-04-17,5615,1
2021-04-19,5617,2
2021-04-20,5634,17
2021-04-21,5641,7
2021-04-22,5672,31
2021-04-23,5675,3
2021-04-24,5678,3
2021-04-26,5682,4
2021-04-27,5713,31
2021-04-28,5721,8
2021-04-29,5730,9
2021-04-30,5751,21
2021-05-01,5754,3
2021-05-03,5755,1
2021-05-04,5773,18
2021-05-05,5782,9
2021-05-06,5796,14
2021-05-07,5799,3
2021-05-08,5801,2
2021-05-10,5817,16
2021-05-11,5818,1
2021-05-12,5836,18
2021-05-13,5855,19
2021-05-14,5861,6
2021-05-16,5864,3
2021-05-17,5866,2
2021-05-18,5879,13
2021-05-19,5884,5
2021-05-20,5907,23
2021-05-21,5938,31
2021-05-22,5951,13
2021-05-23,5952,1
2021-05-24,5954,2
2021-05-25,5971,17
2021-05-26,5974,3
2021-05-27,5984,10
2021-05-28,5995,11
2021-05-29,5997,2
2021-06-01,6014,17
2021-06-02,6016,2
2021-06-03,6029,13
2021-06-04,6034,5
2021-06-05,6035,1
2021-06-07,6038,3
2021-06-08,6044,6
2021-06-09,6047,3
2021-06-10,6054,7
2021-06-11,6057,3
2021-06-12,6064,7
2021-06-14,6066,2
2021-06-15,6079,13
2021-06-16,6082,3
2021-06-17,6101,19
2021-06-18,6105,4
2021-06-19,6109,4
2021-06-20,6110,1
2021-06-21,6113,3
2021-06-22,6122,9
2021-06-24,6125,3
2021-06-25,6132,7
2021-06-26,6134,2
2021-06-28,6136,2
2021-06-29,6148,12
2021-06-30,6149,1
2021-07-01,6160,11
2021-07-02,6164,4
2021-07-06,6167,3
2021-07-07,6172,5
2021-07-08,6181,9
2021-07-09,6184,3
2021-07-11,6186,2
2021-07-12,6196,10
2021-07-13,6198,2
2021-07-14,6201,3
2021-07-15,6209,8
2021-07-16,6210,1
2021-07-19,6213,3
2021-07-20,6228,15
2021-07-21,6231,3
2021-07-22,6242,11
2021-07-23,6260,18
2021-07-24,6263,3
2021-07-25,6266,3
2021-07-26,6275,9
2021-07-27,6281,6
2021-07-28,6289,8
2021-07-29,6314,25
2021-07-30,6322,8
2021-07-31,6325,3
2021-08-01,6326,1
2021-08-02,6333,7
2021-08-03,6346,13
2021-08-04,6360,14
2021-08-05,6376,16
2021-08-06,6386,10
2021-08-07,6391,5
2021-08-08,6393,2
2021-08-09,6408,15
2021-08-10,6423,15
2021-08-11,6429,6
2021-08-12,6475,46
2021-08-13,6496,21
2021-08-14,6501,5
2021-08-15,6502,1
2021-08-16,6520,18
2021-08-17,6560,40
2021-08-18,6578,18
2021-08-19,6613,35
2021-08-20,6662,49
2021-08-21,6761,99
2021-08-22,6762,1
2021-08-23,6788,26
2021-08-24,6807,19
2021-08-25,6827,20
2021-08-26,6873,46
2021-08-27,6904,31
2021-08-28,6911,7
2021-08-29,6912,1
2021-08-30,6950,38
2021-08-31,6976,26
2021-09-01,6991,15
2021-09-02,7009,18
2021-09-03,7035,26
2021-09-04,7037,2
2021-09-07,7054,17
2021-09-08,7074,20
2021-09-09,7119,45
2021-09-10,7150,31
2021-09-11,7215,65
2021-09-12,7216,1
2021-09-13,7227,11
