date,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee
1/1/2021,14,19,26,21,36,
1/1/2022,838,724,660,698,1038,471
1/10/2021,22,24,38,34,88,1
1/10/2022,846,726,662,700,1039,476
1/11/2021,22,24,38,34,88,1
1/11/2022,849,728,662,700,1040,476
1/12/2021,25,30,43,40,105,1
1/12/2022,849,728,663,700,1040,478
1/13/2021,28,36,44,43,133,1
1/13/2022,851,728,663,700,1040,480
1/14/2021,35,44,58,67,143,1
1/14/2022,852,729,665,702,1041,484
1/15/2021,38,45,62,69,148,1
1/15/2022,853,729,665,702,1041,484
1/16/2021,38,45,62,69,149,1
1/16/2022,853,729,665,702,1041,484
1/17/2021,38,45,62,69,149,1
1/17/2022,853,729,665,702,1041,485
1/18/2021,41,46,63,73,156,1
1/18/2022,854,729,665,702,1041,485
1/19/2021,45,47,65,73,173,1
1/19/2022,854,729,665,703,1041,485
1/2/2021,14,19,26,21,36,
1/2/2022,838,724,660,698,1038,471
1/20/2021,46,50,67,76,190,1
1/20/2022,854,729,665,703,1041,485
1/21/2021,63,68,99,102,331,1
1/21/2022,854,729,665,703,1041,486
1/22/2021,76,90,121,130,422,1
1/23/2021,122,145,157,195,571,1
1/24/2021,124,146,159,197,571,1
1/25/2021,133,158,170,204,575,1
1/26/2021,134,158,170,204,576,1
1/27/2021,151,170,180,220,589,1
1/28/2021,201,211,224,273,628,4
1/29/2021,227,237,246,295,646,4
1/3/2021,14,19,26,21,36,
1/3/2022,838,724,660,699,1038,473
1/30/2021,227,238,246,295,647,4
1/31/2021,227,238,246,295,647,4
1/4/2021,14,19,26,21,36,1
1/4/2022,841,724,660,700,1038,474
1/5/2021,18,19,28,22,51,1
1/5/2022,844,726,660,700,1039,475
1/6/2021,19,20,30,26,58,1
1/6/2022,844,726,660,700,1039,475
1/7/2021,21,23,35,32,80,1
1/7/2022,844,726,661,700,1039,475
1/8/2021,22,24,38,34,88,1
1/8/2022,844,726,661,700,1039,475
1/9/2021,22,24,38,34,88,1
1/9/2022,844,726,662,700,1039,475
10/1/2021,752,680,624,679,1015,277
10/10/2021,764,685,624,681,1017,280
10/11/2021,766,685,624,681,1017,280
10/12/2021,768,686,624,681,1017,280
10/13/2021,770,687,624,681,1018,280
10/14/2021,774,688,625,681,1018,281
10/15/2021,776,689,625,681,1018,283
10/16/2021,777,689,625,681,1018,283
10/17/2021,777,689,625,681,1018,283
10/18/2021,779,690,628,681,1019,283
10/19/2021,779,691,628,682,1019,283
