date,Coconino_cume,Coconino
2020-12-01 00:00:00,1,
2020-12-02 00:00:00,2,1
2020-12-04 00:00:00,3,1
2020-12-10 00:00:00,4,1
2020-12-12 00:00:00,5,1
2020-12-13 00:00:00,6,1
2020-12-15 00:00:00,10,4
2020-12-16 00:00:00,152,142
2020-12-17 00:00:00,282,130
2020-12-18 00:00:00,493,211
2020-12-19 00:00:00,541,48
2020-12-20 00:00:00,543,2
2020-12-21 00:00:00,545,2
2020-12-22 00:00:00,581,36
2020-12-23 00:00:00,914,333
2020-12-24 00:00:00,1302,388
2020-12-25 00:00:00,1424,122
2020-12-26 00:00:00,1523,99
2020-12-27 00:00:00,1615,92
2020-12-28 00:00:00,1837,222
2020-12-29 00:00:00,2189,352
2020-12-30 00:00:00,2592,403
2020-12-31 00:00:00,2801,209
2021-01-01 00:00:00,2901,100
2021-01-02 00:00:00,2965,64
2021-01-03 00:00:00,2971,6
2021-01-04 00:00:00,3321,350
2021-01-05 00:00:00,3679,358
2021-01-06 00:00:00,4178,499
2021-01-07 00:00:00,4753,575
2021-01-08 00:00:00,5389,636
2021-01-09 00:00:00,5469,80
2021-01-10 00:00:00,5475,6
2021-01-11 00:00:00,5802,327
2021-01-12 00:00:00,6363,561
2021-01-13 00:00:00,6856,493
2021-01-14 00:00:00,7486,630
2021-01-15 00:00:00,8659,1173
2021-01-16 00:00:00,8762,103
2021-01-17 00:00:00,8763,1
2021-01-18 00:00:00,8940,177
2021-01-19 00:00:00,9347,407
2021-01-20 00:00:00,10878,1531
2021-01-21 00:00:00,11733,855
2021-01-22 00:00:00,12636,903
2021-01-23 00:00:00,13033,397
2021-01-24 00:00:00,13049,16
2021-01-25 00:00:00,13607,558
2021-01-26 00:00:00,14111,504
2021-01-27 00:00:00,15416,1305
2021-01-28 00:00:00,16634,1218
2021-01-29 00:00:00,17540,906
2021-01-30 00:00:00,17875,335
2021-01-31 00:00:00,17903,28
2021-02-01 00:00:00,18763,860
2021-02-02 00:00:00,19609,846
2021-02-03 00:00:00,21241,1632
2021-02-04 00:00:00,23261,2020
2021-02-05 00:00:00,25493,2232
2021-02-06 00:00:00,26970,1477
2021-02-07 00:00:00,27010,40
2021-02-08 00:00:00,27902,892
2021-02-09 00:00:00,28812,910
2021-02-10 00:00:00,31306,2494
2021-02-11 00:00:00,32855,1549
2021-02-12 00:00:00,35598,2743
2021-02-13 00:00:00,37109,1511
2021-02-14 00:00:00,37138,29
2021-02-15 00:00:00,38342,1204
2021-02-16 00:00:00,39961,1619
2021-02-17 00:00:00,42762,2801
2021-02-18 00:00:00,43872,1110
2021-02-19 00:00:00,45218,1346
2021-02-20 00:00:00,46259,1041
2021-02-21 00:00:00,46272,13
2021-02-22 00:00:00,46666,394
2021-02-23 00:00:00,47199,533
2021-02-24 00:00:00,49172,1973
2021-02-25 00:00:00,50834,1662
2021-02-26 00:00:00,52538,1704
2021-02-27 00:00:00,54198,1660
2021-02-28 00:00:00,54286,88
2021-03-01 00:00:00,55873,1587
2021-03-02 00:00:00,57664,1791
2021-03-03 00:00:00,59396,1732
2021-03-04 00:00:00,61560,2164
2021-03-05 00:00:00,63318,1758
2021-03-06 00:00:00,64074,756
2021-03-07 00:00:00,64169,95
2021-03-08 00:00:00,65134,965
2021-03-09 00:00:00,66028,894
2021-03-10 00:00:00,68784,2756
2021-03-11 00:00:00,70653,1869
2021-03-12 00:00:00,73231,2578
2021-03-13 00:00:00,74373,1142
2021-03-14 00:00:00,74431,58
2021-03-15 00:00:00,75762,1331
2021-03-16 00:00:00,77677,1915
2021-03-17 00:00:00,79460,1783
2021-03-18 00:00:00,80941,1481
2021-03-19 00:00:00,82567,1626
2021-03-20 00:00:00,83573,1006
2021-03-21 00:00:00,83650,77
2021-03-22 00:00:00,84390,740
2021-03-23 00:00:00,86257,1867
2021-03-24 00:00:00,87999,1742
2021-03-25 00:00:00,89953,1954
2021-03-26 00:00:00,92164,2211
2021-03-27 00:00:00,92717,553
2021-03-28 00:00:00,92866,149
2021-03-29 00:00:00,94678,1812
2021-03-30 00:00:00,96486,1808
2021-03-31 00:00:00,98323,1837
2021-04-01 00:00:00,99727,1404
2021-04-02 00:00:00,101249,1522
2021-04-03 00:00:00,101809,560
2021-04-04 00:00:00,101906,97
2021-04-05 00:00:00,102770,864
2021-04-06 00:00:00,104099,1329
2021-04-07 00:00:00,105149,1050
2021-04-08 00:00:00,106390,1241
2021-04-09 00:00:00,107666,1276
2021-04-10 00:00:00,108250,584
2021-04-11 00:00:00,108351,101
2021-04-12 00:00:00,108888,537
2021-04-13 00:00:00,109914,1026
2021-04-14 00:00:00,110812,898
2021-04-15 00:00:00,111706,894
2021-04-16 00:00:00,112862,1156
2021-04-17 00:00:00,113211,349
2021-04-18 00:00:00,113312,101
2021-04-19 00:00:00,114320,1008
2021-04-20 00:00:00,115296,976
2021-04-21 00:00:00,116073,777
2021-04-22 00:00:00,117097,1024
2021-04-23 00:00:00,118219,1122
2021-04-24 00:00:00,118518,299
2021-04-25 00:00:00,118664,146
2021-04-26 00:00:00,119214,550
2021-04-27 00:00:00,120208,994
2021-04-28 00:00:00,120955,747
2021-04-29 00:00:00,121703,748
2021-04-30 00:00:00,122440,737
2021-05-01 00:00:00,122812,372
2021-05-02 00:00:00,122870,58
2021-05-03 00:00:00,123331,461
2021-05-04 00:00:00,123836,505
2021-05-05 00:00:00,124340,504
2021-05-06 00:00:00,124737,397
2021-05-07 00:00:00,125263,526
2021-05-08 00:00:00,125475,212
2021-05-09 00:00:00,125555,80
2021-05-10 00:00:00,125863,308
2021-05-11 00:00:00,126117,254
2021-05-12 00:00:00,126483,366
2021-05-13 00:00:00,127078,595
2021-05-14 00:00:00,127777,699
2021-05-15 00:00:00,128065,288
2021-05-16 00:00:00,128150,85
2021-05-17 00:00:00,128598,448
2021-05-18 00:00:00,128906,308
2021-05-19 00:00:00,129370,464
2021-05-20 00:00:00,129699,329
2021-05-21 00:00:00,130154,455
2021-05-22 00:00:00,130439,285
2021-05-23 00:00:00,130530,91
2021-05-24 00:00:00,130767,237
2021-05-25 00:00:00,131008,241
2021-05-26 00:00:00,131434,426
2021-05-27 00:00:00,131673,239
2021-05-28 00:00:00,132018,345
2021-05-29 00:00:00,132131,113
2021-05-30 00:00:00,132192,61
2021-05-31 00:00:00,132238,46
2021-06-01 00:00:00,132452,214
2021-06-02 00:00:00,132849,397
2021-06-03 00:00:00,133083,234
2021-06-04 00:00:00,133488,405
2021-06-05 00:00:00,133666,178
2021-06-06 00:00:00,133748,82
2021-06-07 00:00:00,134077,329
2021-06-08 00:00:00,134241,164
2021-06-09 00:00:00,134554,313
