Category,value
Apache,508
Cochise,385
Coconino,383
Gila,277
Graham,130
Greenlee,20
La Paz,102
Maricopa,"12,713"
Mohave,"1,045"
Navajo,674
Pima,"2,878"
Pinal,"1,155"
Santa Cruz,196
Yavapai,785
Yuma,926
Female,9146
Male,13018
20-44y,1192
45-54y,1697
55-64y,3449
65+,15789
<20y,50
"White, non-Hispanic",11382
Hispanic or Latino,6167
"American Indian or Alaska Native, non-Hispanic",1694
"Black or African American, non-Hispanic",684
"Asian or Pacific Islander, non-Hispanic",278
Other Race,618
Unknown,1354
