date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,647,990,933,750,500,5
1/10/2021,1198,1725,1715,1465,2245,17
1/11/2021,1248,1809,1801,1530,2423,21
1/12/2021,1340,1926,1919,1630,2704,22
1/13/2021,1452,2067,2067,1807,3111,25
1/14/2021,1552,2255,2225,1954,3631,26
1/15/2021,1675,2411,2401,2090,4004,28
1/16/2021,1736,2502,2499,2182,4623,31
1/17/2021,1755,2534,2542,2217,4677,31
1/18/2021,1820,2649,2610,2309,4895,32
1/19/2021,1894,2725,2693,2393,5398,35
1/2/2021,730,1108,1057,857,578,7
1/20/2021,1970,2854,2801,2516,6166,40
1/21/2021,2066,2988,2972,2684,6912,44
1/22/2021,2215,3157,3157,2870,7666,48
1/23/2021,2301,3324,3317,3026,8257,51
1/24/2021,2338,3358,3377,3056,8418,53
1/25/2021,2419,3426,3470,3178,9012,56
1/26/2021,2495,3513,3563,3292,9583,57
1/27/2021,2610,3638,3726,3479,10306,59
1/28/2021,2686,3756,3846,3630,11317,60
1/29/2021,2798,3881,3983,3821,12313,70
1/3/2021,759,1154,1101,880,600,7
1/30/2021,2869,3973,4119,3977,13094,73
1/31/2021,2905,3996,4151,4008,13244,75
1/4/2021,826,1252,1193,968,825,8
1/5/2021,922,1364,1278,1065,1055,9
1/6/2021,1037,1492,1407,1187,1319,11
1/7/2021,1099,1584,1519,1287,1655,13
1/8/2021,1153,1667,1655,1418,2088,16
1/9/2021,1187,1710,1700,1454,2224,17
12/1/2020,,,1,1,,
12/10/2020,,,1,1,1,
12/11/2020,,,1,1,1,
12/12/2020,,,1,1,1,
12/13/2020,,,1,1,1,
12/14/2020,,,1,1,1,
12/15/2020,,,1,1,1,
12/16/2020,1,1,4,1,1,
12/17/2020,9,13,15,5,3,
12/18/2020,19,22,23,10,4,
12/19/2020,23,31,29,15,7,
12/2/2020,,,1,1,,
12/20/2020,23,35,30,17,8,
12/21/2020,49,82,74,34,20,1
12/22/2020,109,153,131,79,35,1
12/23/2020,168,245,237,156,67,2
12/24/2020,185,264,254,170,69,2
12/25/2020,185,264,254,170,69,2
12/26/2020,242,362,330,227,92,3
12/27/2020,258,391,346,238,94,3
12/28/2020,321,505,476,334,130,3
12/29/2020,429,672,636,473,182,4
12/3/2020,,,1,1,,
12/30/2020,565,893,825,654,306,4
12/31/2020,644,986,929,746,478,5
12/4/2020,,,1,1,,
12/5/2020,,,1,1,,
12/6/2020,,,1,1,,
12/7/2020,,,1,1,,
12/8/2020,,,1,1,,
12/9/2020,,,1,1,1,
2/1/2021,2985,4099,4244,4113,14069,81
2/10/2021,3708,4896,5153,5401,24343,115
2/11/2021,3778,4962,5235,5542,26089,118
2/12/2021,3882,5072,5374,5733,28111,124
2/13/2021,4082,5311,5639,5965,29584,136
2/14/2021,4111,5352,5689,6022,29930,137
2/15/2021,4161,5395,5738,6108,30712,142
2/16/2021,4237,5463,5787,6185,31719,151
2/17/2021,4319,5518,5844,6281,32756,157
2/18/2021,4391,5576,5902,6342,33885,170
2/19/2021,4461,5646,5970,6416,34516,179
2/2/2021,3058,4192,4363,4272,14988,81
2/20/2021,4601,5738,6058,6489,35015,199
2/21/2021,4613,5751,6070,6512,35291,200
2/22/2021,4646,5791,6096,6568,35707,204
2/23/2021,4685,5831,6145,6633,36303,206
2/24/2021,4740,5897,6202,6705,37311,211
2/25/2021,4826,5990,6296,6896,38945,219
2/26/2021,4912,6077,6392,7070,40740,226
2/27/2021,4961,6110,6438,7150,41277,228
2/28/2021,4973,6123,6462,7203,41637,228
2/3/2021,3173,4338,4493,4414,16016,84
2/4/2021,3248,4440,4603,4539,17048,89
2/5/2021,3405,4595,4778,4730,18109,93
2/6/2021,3464,4673,4869,4889,19481,101
2/7/2021,3483,4678,4884,4918,19842,101
2/8/2021,3538,4730,4958,5051,21145,102
2/9/2021,3591,4799,5043,5236,22590,107
3/1/2021,5024,6183,6548,7406,42746,232
3/10/2021,5679,6843,7435,12009,51393,294
3/11/2021,5851,7078,7636,13034,52583,301
3/12/2021,5997,7168,7814,13764,53413,312
3/13/2021,6083,7256,7902,14212,53791,318
3/14/2021,6124,7292,7970,14583,53997,323
3/15/2021,6227,7370,8127,15370,54553,335
3/16/2021,6353,7513,8338,16234,55405,344
3/17/2021,6579,7699,8614,17152,56294,359
3/18/2021,6772,7888,8889,18035,57286,370
3/19/2021,7039,8158,9229,18801,57996,404
3/2/2021,5078,6241,6649,7619,44030,240
3/20/2021,7164,8290,9459,19145,58379,420
3/21/2021,7271,8429,9635,19446,58630,434
3/22/2021,7544,8735,9981,20006,59162,482
3/23/2021,7886,9076,10427,20638,59777,527
3/24/2021,8260,9457,10950,21255,60339,606
3/25/2021,8677,9821,11421,21694,60860,669
3/26/2021,9051,10184,11848,22349,61373,734
3/27/2021,9333,10480,12182,22602,61550,810
3/28/2021,9607,10720,12447,22817,61734,893
3/29/2021,10011,11060,12872,23110,62047,973
3/3/2021,5170,6324,6761,8099,45745,257
3/30/2021,10378,11388,13301,23380,62334,1066
3/31/2021,10728,11739,13774,23704,62585,1175
3/4/2021,5284,6455,6902,8719,47372,260
3/5/2021,5392,6565,7027,9334,48329,270
3/6/2021,5440,6618,7101,9819,49020,274
3/7/2021,5471,6642,7135,10099,49323,276
3/8/2021,5525,6699,7207,10657,49986,279
3/9/2021,5602,6776,7336,11369,50769,284
4/1/2021,11080,12070,14247,23972,62857,1276
4/10/2021,13907,14597,17283,26269,65210,2012
4/11/2021,14061,14719,17429,26365,65289,2096
4/12/2021,14341,14959,17724,26589,65567,2182
4/13/2021,14617,15178,17978,26871,65850,2261
4/14/2021,14916,15492,18307,27079,66024,2334
4/15/2021,15291,15831,18663,27289,66192,2408
4/16/2021,15610,16160,18907,27451,66332,2468
4/17/2021,15771,16295,19072,27570,66451,2515
4/18/2021,15858,16377,19149,27635,66495,2564
4/19/2021,16063,16531,19340,27803,66691,2628
4/2/2021,11359,12346,14547,24163,63083,1371
4/20/2021,16304,16754,19552,27986,66889,2694
4/21/2021,16594,17021,19883,28164,67045,2770
4/22/2021,16819,17231,20100,28327,67186,2839
4/23/2021,17063,17427,20294,28504,67331,2902
4/24/2021,17191,17554,20433,28587,67430,2972
4/25/2021,17289,17623,20502,28645,67488,3025
4/26/2021,17482,17793,20660,28776,67634,3092
4/27/2021,17697,17973,20862,28965,67783,3165
4/28/2021,17873,18108,21018,29110,67933,3212
4/29/2021,18065,18268,21184,29264,68085,3273
4/3/2021,11590,12534,14790,24289,63205,1456
4/30/2021,18295,18456,21365,29421,68216,3353
4/4/2021,11721,12604,14911,24353,63253,1501
4/5/2021,12006,12849,15261,24669,63581,1576
4/6/2021,12415,13156,15705,25037,63965,1681
4/7/2021,12920,13702,16275,25374,64317,1771
4/8/2021,13214,14007,16600,25731,64680,1834
4/9/2021,13554,14296,16978,26043,64985,1924
5/1/2021,18430,18545,21504,29518,68276,3421
5/10/2021,19549,19303,22345,30296,68974,3826
5/11/2021,19687,19379,22440,30374,69092,3872
5/12/2021,19825,19483,22541,30477,69180,3936
5/13/2021,19970,19577,22638,30574,69288,4210
5/14/2021,20176,19698,22758,30684,69388,4443
5/15/2021,20296,19786,22877,30795,69455,4784
5/16/2021,20359,19857,22930,30829,69484,5028
5/17/2021,20500,19967,23035,30934,69581,5207
5/18/2021,20613,20055,23151,31037,69686,5422
5/19/2021,20763,20149,23258,31151,69783,5651
5/2/2021,18503,18580,21549,29563,68306,3464
5/20/2021,20911,20269,23372,31250,69872,5819
5/21/2021,21039,20389,23501,31343,69961,6048
5/22/2021,21198,20478,23603,31426,70003,6355
5/23/2021,21280,20515,23652,31464,70036,6456
5/24/2021,21429,20610,23747,31534,70097,6597
5/25/2021,21575,20709,23855,31598,70152,6735
5/26/2021,21686,20811,23943,31682,70212,6868
5/27/2021,21804,20902,24030,31742,70285,7027
5/28/2021,21976,20994,24128,31828,70355,7227
5/29/2021,22044,21050,24177,31868,70388,7346
5/3/2021,18654,18670,21650,29658,68397,3520
5/30/2021,22093,21075,24203,31896,70404,7418
5/31/2021,22115,21094,24221,31913,70416,7445
5/4/2021,18820,18773,21782,29771,68504,3574
5/5/2021,18987,18890,21916,29878,68600,3631
5/6/2021,19145,19007,22035,30001,68702,3685
5/7/2021,19274,19131,22157,30119,68815,3729
5/8/2021,19364,19190,22217,30168,68856,3771
5/9/2021,19417,19222,22247,30215,68884,3795
6/1/2021,22257,21181,24302,31975,70486,7575
6/10/2021,23213,21713,24891,32391,70927,8597
6/11/2021,23350,21811,24964,32433,70979,8717
6/12/2021,23430,21852,25002,32464,70988,8787
6/13/2021,23514,21881,25029,32476,71005,8812
6/14/2021,23616,21945,25087,32529,71035,8900
6/15/2021,23710,22012,25130,32577,71064,8982
6/16/2021,23811,22062,25173,32619,71095,9083
6/17/2021,23932,22143,25226,32667,71127,9193
6/18/2021,24056,22229,25302,32721,71162,9307
6/19/2021,24128,22261,25337,32755,71177,9374
6/2/2021,22353,21246,24394,32038,70552,7704
6/20/2021,24174,22291,25356,32775,71188,9411
6/21/2021,24265,22338,25415,32810,71223,9527
6/22/2021,24327,22388,25461,32849,71249,9607
6/23/2021,24417,22455,25514,32890,71295,9730
6/24/2021,24522,22504,25552,32928,71319,9816
6/25/2021,24631,22578,25615,32974,71353,9928
6/26/2021,24706,22618,25649,33020,71368,9992
6/27/2021,24777,22660,25677,33047,71381,10077
6/28/2021,24853,22718,25729,33086,71407,10180
6/29/2021,24953,22770,25771,33121,71441,10302
6/3/2021,22452,21307,24475,32100,70624,7816
6/30/2021,25037,22847,25825,33166,71480,10399
6/4/2021,22604,21372,24560,32164,70686,7969
6/5/2021,22698,21415,24618,32214,70733,8085
6/6/2021,22765,21444,24639,32227,70743,8156
6/7/2021,22876,21499,24720,32269,70785,8264
6/8/2021,22961,21558,24771,32305,70834,8376
6/9/2021,23114,21646,24838,32345,70883,8469
7/1/2021,25125,22904,25866,33197,71517,10504
7/10/2021,25895,23345,26278,33511,71732,11199
7/11/2021,25932,23365,26298,33528,71739,11234
7/12/2021,26005,23403,26358,33558,71772,11329
7/13/2021,26169,23460,26411,33584,71802,11433
7/14/2021,26242,23502,26450,33622,71828,11523
7/15/2021,26316,23553,26488,33653,71856,11613
7/16/2021,26422,23632,26558,33714,71897,11723
7/17/2021,26530,23698,26610,33753,71924,11803
7/18/2021,26608,23736,26635,33779,71932,11868
7/19/2021,26697,23803,26699,33835,71979,12010
7/2/2021,25247,22987,25940,33257,71555,10586
7/20/2021,26803,23856,26770,33882,72016,12167
7/21/2021,26908,23939,26856,33946,72061,12330
