date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2020-09-15 00:00:00,9692,405,0.041787040858440004,1056.0,112.0,0.1060606060606061,72.0,2.0,0.0277777777777778,1.0,0.0,0.0,462.0,18.0,0.038961038961039,17.0,6.0,0.3529411764705883,406.0,2.0,0.0049261083743842,14.0,0.0,0.0,28.0,0.0,0.0,2.0,1.0,0.5,436.0,23.0,0.0527522935779817,96.0,8.0,0.0833333333333333,1669.0,95.0,0.0569203115638107,97.0,9.0,0.0927835051546392,139.0,4.0,0.0287769784172662,12.0,3.0,0.25,114.0,8.0,0.0701754385964912,9.0,0.0,0.0,4895.0,185.0,0.0377936670071502,745.0,81.0,0.1087248322147651,7.0,0.0,0.0,,,,6.0,0.0,0.0,,,,15.0,0.0,0.0,,,,61.0,2.0,0.0327868852459016,19.0,0.0,0.0,448.0,32.0,0.0714285714285714,14.0,2.0,0.1428571428571429,121.0,1.0,0.0082644628099174,17.0,0.0,0.0
2020-09-14 00:00:00,9419,391,0.0415118377747107,1119.0,107.0,0.09562109025916,59.0,6.0,0.1016949152542373,5.0,0.0,0.0,227.0,20.0,0.0881057268722467,5.0,1.0,0.2,707.0,9.0,0.0127298444130127,23.0,2.0,0.0869565217391304,55.0,5.0,0.0909090909090909,7.0,1.0,0.1428571428571429,429.0,17.0,0.0396270396270396,96.0,8.0,0.0833333333333333,1559.0,69.0,0.0442591404746633,135.0,4.0,0.0296296296296296,151.0,3.0,0.0198675496688742,5.0,2.0,0.4,154.0,4.0,0.025974025974026,13.0,1.0,0.0769230769230769,4706.0,191.0,0.0405864853378666,770.0,81.0,0.1051948051948052,12.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,,,,16.0,1.0,0.0625,3.0,0.0,0.0,76.0,2.0,0.0263157894736842,24.0,5.0,0.2083333333333334,383.0,22.0,0.0574412532637076,7.0,0.0,0.0,61.0,2.0,0.0327868852459016,15.0,2.0,0.1333333333333333
2020-09-13 00:00:00,3305,135,0.0408472012102874,421.0,30.0,0.0712589073634204,12.0,0.0,0.0,3.0,0.0,0.0,41.0,7.0,0.1707317073170732,,,,135.0,3.0,0.0222222222222222,3.0,0.0,0.0,22.0,6.0,0.2727272727272727,3.0,2.0,0.6666666666666666,173.0,10.0,0.0578034682080925,45.0,0.0,0.0,573.0,26.0,0.0453752181500873,42.0,1.0,0.0238095238095238,41.0,0.0,0.0,2.0,0.0,0.0,175.0,3.0,0.0171428571428571,,,,1745.0,61.0,0.0349570200573066,311.0,27.0,0.0868167202572347,4.0,0.0,0.0,,,,4.0,0.0,0.0,,,,5.0,0.0,0.0,1.0,0.0,0.0,26.0,1.0,0.0384615384615385,3.0,0.0,0.0,48.0,6.0,0.125,,,,83.0,0.0,0.0,1.0,0.0,0.0
2020-09-12 00:00:00,4655,261,0.0560687432867884,557.0,38.0,0.0682226211849192,16.0,6.0,0.375,1.0,0.0,0.0,45.0,5.0,0.1111111111111111,,,,174.0,6.0,0.0344827586206897,4.0,0.0,0.0,20.0,2.0,0.1,2.0,0.0,0.0,204.0,6.0,0.0294117647058824,76.0,3.0,0.0394736842105263,741.0,74.0,0.0998650472334683,67.0,3.0,0.0447761194029851,38.0,1.0,0.0263157894736842,1.0,0.0,0.0,233.0,6.0,0.0257510729613734,,,,2651.0,126.0,0.047529234251226,384.0,32.0,0.0833333333333333,2.0,0.0,0.0,1.0,0.0,0.0,68.0,0.0,0.0,,,,12.0,0.0,0.0,,,,26.0,3.0,0.1153846153846154,6.0,0.0,0.0,222.0,19.0,0.0855855855855856,2.0,0.0,0.0,28.0,0.0,0.0,8.0,0.0,0.0
2020-09-11 00:00:00,8231,317,0.0385129388895638,1320.0,122.0,0.0924242424242424,38.0,3.0,0.0789473684210526,,,,372.0,22.0,0.0591397849462366,18.0,3.0,0.1666666666666667,267.0,3.0,0.0112359550561798,38.0,1.0,0.0263157894736842,58.0,1.0,0.0172413793103448,,,,378.0,11.0,0.0291005291005291,103.0,5.0,0.0485436893203884,1309.0,63.0,0.0481283422459893,180.0,6.0,0.0333333333333333,79.0,3.0,0.0379746835443038,4.0,1.0,0.25,135.0,2.0,0.0148148148148148,12.0,2.0,0.1666666666666667,4365.0,169.0,0.038717067583047,909.0,99.0,0.1089108910891089,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,21.0,2.0,0.0952380952380952,1.0,0.0,0.0,36.0,1.0,0.0277777777777778,16.0,2.0,0.125,312.0,11.0,0.0352564102564103,11.0,0.0,0.0,136.0,3.0,0.0220588235294118,17.0,2.0,0.1176470588235294
2020-09-10 00:00:00,8024,310,0.0386340977068794,874.0,99.0,0.1132723112128147,33.0,0.0,0.0,1.0,0.0,0.0,337.0,14.0,0.0415430267062315,15.0,5.0,0.3333333333333333,273.0,4.0,0.0146520146520147,29.0,4.0,0.1379310344827586,86.0,1.0,0.0116279069767442,2.0,0.0,0.0,306.0,12.0,0.0392156862745098,49.0,7.0,0.1428571428571429,1453.0,81.0,0.0557467309015829,149.0,11.0,0.0738255033557047,125.0,2.0,0.016,2.0,0.0,0.0,238.0,6.0,0.0252100840336134,10.0,0.0,0.0,3848.0,148.0,0.0384615384615385,578.0,67.0,0.1159169550173011,11.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,,,,38.0,0.0,0.0,1.0,0.0,0.0,61.0,2.0,0.0327868852459016,7.0,1.0,0.1428571428571429,306.0,18.0,0.0588235294117647,3.0,0.0,0.0,211.0,0.0,0.0,12.0,0.0,0.0
2020-09-09 00:00:00,9478,377,0.0397763241190125,868.0,106.0,0.1221198156682028,46.0,1.0,0.0217391304347826,1.0,0.0,0.0,220.0,10.0,0.0454545454545455,16.0,6.0,0.375,267.0,5.0,0.0187265917602996,20.0,1.0,0.05,46.0,2.0,0.0434782608695652,4.0,1.0,0.25,347.0,14.0,0.0403458213256484,43.0,6.0,0.1395348837209302,1695.0,98.0,0.0578171091445428,131.0,13.0,0.0992366412213741,174.0,1.0,0.0057471264367816,5.0,0.0,0.0,85.0,2.0,0.0235294117647059,14.0,2.0,0.1428571428571429,5187.0,192.0,0.0370156159629844,589.0,73.0,0.1239388794567063,22.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,,,,23.0,1.0,0.0434782608695652,2.0,1.0,0.5,74.0,5.0,0.0675675675675676,14.0,0.0,0.0,388.0,13.0,0.0335051546391753,9.0,1.0,0.1111111111111111,82.0,2.0,0.024390243902439,10.0,1.0,0.1
2020-09-08 00:00:00,9330,406,0.0435155412647374,1150.0,144.0,0.1252173913043478,47.0,0.0,0.0,1.0,0.0,0.0,335.0,19.0,0.0567164179104478,17.0,6.0,0.3529411764705883,306.0,3.0,0.0098039215686275,19.0,3.0,0.1578947368421053,47.0,2.0,0.0425531914893617,5.0,0.0,0.0,351.0,10.0,0.0284900284900285,73.0,12.0,0.1643835616438356,1899.0,147.0,0.0774091627172196,194.0,13.0,0.0670103092783505,97.0,8.0,0.0824742268041237,11.0,1.0,0.0909090909090909,66.0,3.0,0.0454545454545455,16.0,2.0,0.125,4763.0,168.0,0.0352718874658829,758.0,106.0,0.1398416886543536,27.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,,,,26.0,4.0,0.1538461538461539,3.0,0.0,0.0,58.0,3.0,0.0517241379310345,19.0,0.0,0.0,428.0,14.0,0.0327102803738318,12.0,0.0,0.0,85.0,0.0,0.0,13.0,0.0,0.0
2020-09-07 00:00:00,2624,88,0.0335365853658537,424.0,22.0,0.0518867924528302,24.0,1.0,0.0416666666666667,2.0,1.0,0.5,51.0,3.0,0.0588235294117647,2.0,0.0,0.0,65.0,5.0,0.0769230769230769,2.0,1.0,0.5,4.0,1.0,0.25,3.0,0.0,0.0,224.0,5.0,0.0223214285714286,61.0,2.0,0.0327868852459016,378.0,13.0,0.0343915343915344,65.0,1.0,0.0153846153846154,40.0,4.0,0.1,3.0,0.0,0.0,16.0,0.0,0.0,2.0,1.0,0.5,1579.0,43.0,0.0272324255858138,274.0,16.0,0.0583941605839416,1.0,0.0,0.0,,,,,,,,,,5.0,0.0,0.0,,,,43.0,2.0,0.0465116279069767,2.0,0.0,0.0,34.0,1.0,0.0294117647058824,,,,24.0,1.0,0.0416666666666667,2.0,0.0,0.0
2020-09-06 00:00:00,2629,112,0.0426017497147204,476.0,29.0,0.0609243697478992,9.0,0.0,0.0,2.0,0.0,0.0,35.0,3.0,0.0857142857142857,1.0,0.0,0.0,58.0,2.0,0.0344827586206897,3.0,0.0,0.0,4.0,0.0,0.0,,,,189.0,6.0,0.0317460317460317,74.0,1.0,0.0135135135135135,471.0,18.0,0.0382165605095541,51.0,5.0,0.0980392156862745,24.0,2.0,0.0833333333333333,3.0,0.0,0.0,30.0,2.0,0.0666666666666667,1.0,1.0,1.0,1582.0,64.0,0.0404551201011378,325.0,19.0,0.0584615384615385,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,,3.0,0.0,0.0,1.0,1.0,1.0,55.0,7.0,0.1272727272727273,5.0,0.0,0.0,35.0,2.0,0.0571428571428571,1.0,1.0,1.0,20.0,0.0,0.0,2.0,0.0,0.0
