date,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2020-11-16 00:00:00,1,0,0,,,
2020-11-15 00:00:00,6,0,0,,,
2020-11-14 00:00:00,18,5,0.2777777777777778,1.0,1.0,1
2020-11-13 00:00:00,220,21,0.0954545454545455,2.0,0.0,0
2020-11-12 00:00:00,260,25,0.0961538461538462,3.0,1.0,0.3333333333333333
2020-11-11 00:00:00,63,8,0.126984126984127,2.0,1.0,0.5
2020-11-10 00:00:00,219,28,0.1278538812785388,1.0,0.0,0
2020-11-09 00:00:00,119,18,0.1512605042016807,5.0,2.0,0.4
2020-11-08 00:00:00,51,7,0.1372549019607843,1.0,0.0,0
2020-11-07 00:00:00,41,9,0.2195121951219512,1.0,0.0,0
2020-11-06 00:00:00,79,9,0.1139240506329114,,,
2020-11-05 00:00:00,150,15,0.1,,,
2020-11-04 00:00:00,187,12,0.0641711229946524,2.0,1.0,0.5
2020-11-03 00:00:00,76,13,0.1710526315789474,2.0,0.0,0
2020-11-02 00:00:00,91,11,0.1208791208791209,3.0,0.0,0
2020-11-01 00:00:00,23,3,0.1304347826086957,1.0,1.0,1
2020-10-31 00:00:00,46,4,0.0869565217391304,,,
2020-10-30 00:00:00,74,7,0.0945945945945946,4.0,1.0,0.25
2020-10-29 00:00:00,76,14,0.1842105263157895,3.0,0.0,0
2020-10-28 00:00:00,103,7,0.0679611650485437,,,
2020-10-27 00:00:00,67,8,0.1194029850746269,4.0,1.0,0.25
2020-10-26 00:00:00,95,14,0.1473684210526316,2.0,0.0,0
2020-10-25 00:00:00,28,5,0.1785714285714286,1.0,1.0,1
2020-10-24 00:00:00,62,3,0.0483870967741936,,,
2020-10-23 00:00:00,202,10,0.0495049504950495,,,
2020-10-22 00:00:00,61,2,0.0327868852459016,1.0,0.0,0
