date,Pinal_cume,Pinal
1/1/2021,4,
1/10/2021,5,1
1/11/2021,10,5
1/12/2021,47,37
1/13/2021,80,33
1/14/2021,107,27
1/15/2021,118,11
1/16/2021,266,148
1/17/2021,514,248
1/18/2021,884,370
1/19/2021,954,70
1/2/2021,1267,313
1/20/2021,1342,75
1/21/2021,1782,440
1/22/2021,2413,631
1/23/2021,3267,854
1/24/2021,3809,542
1/25/2021,3865,56
1/26/2021,4381,516
1/27/2021,4548,167
1/28/2021,5128,580
1/29/2021,5752,624
1/3/2021,6523,771
1/30/2021,7263,740
1/31/2021,8133,870
1/4/2021,8453,320
1/5/2021,8534,81
1/6/2021,9129,595
1/7/2021,9974,845
1/8/2021,11143,1169
1/9/2021,12363,1220
10/1/2021,13460,1097
10/10/2021,14483,1023
10/11/2021,14689,206
10/12/2021,15342,653
10/13/2021,16462,1120
10/14/2021,17997,1535
10/15/2021,19603,1606
10/16/2021,21266,1663
10/17/2021,22654,1388
10/2/2021,23077,423
10/3/2021,24277,1200
10/4/2021,25632,1355
10/5/2021,27429,1797
10/6/2021,29310,1881
10/7/2021,31256,1946
10/8/2021,32635,1379
10/9/2021,32982,347
12/1/2020,34682,1700
12/16/2020,36712,2030
12/17/2020,38948,2236
12/18/2020,41244,2296
12/19/2020,43982,2738
12/20/2020,46129,2147
12/21/2020,46658,529
12/22/2020,48717,2059
12/23/2020,51158,2441
12/24/2020,54234,3076
12/26/2020,57428,3194
12/27/2020,61148,3720
12/28/2020,64687,3539
12/29/2020,65373,686
12/30/2020,66827,1454
12/31/2020,68922,2095
12/9/2020,71260,2338
2/1/2021,73726,2466
2/10/2021,75692,1966
2/11/2021,77471,1779
2/12/2021,77977,506
2/13/2021,79437,1460
2/14/2021,81395,1958
2/15/2021,84209,2814
2/16/2021,87927,3718
2/17/2021,91893,3966
2/18/2021,94243,2350
2/19/2021,95156,913
2/2/2021,98242,3086
2/20/2021,101725,3483
2/21/2021,105940,4215
2/22/2021,110134,4194
2/23/2021,113768,3634
2/24/2021,116869,3101
2/25/2021,118017,1148
2/26/2021,121119,3102
2/27/2021,124490,3371
2/28/2021,128120,3630
2/3/2021,132923,4803
2/4/2021,137224,4301
2/5/2021,139900,2676
2/6/2021,141126,1226
2/7/2021,143907,2781
2/8/2021,147376,3469
2/9/2021,151165,3789
3/1/2021,155151,3986
3/10/2021,158678,3527
3/11/2021,161125,2447
3/12/2021,162613,1488
3/13/2021,165414,2801
3/14/2021,168600,3186
3/15/2021,172663,4063
3/16/2021,176797,4134
3/17/2021,181306,4509
3/18/2021,183584,2278
3/19/2021,185496,1912
3/2/2021,189042,3546
3/20/2021,192844,3802
3/21/2021,197090,4246
3/22/2021,201558,4468
3/23/2021,204462,2904
3/24/2021,206892,2430
3/25/2021,207718,826
3/26/2021,210696,2978
3/27/2021,214281,3585
3/28/2021,218093,3812
3/29/2021,221725,3632
3/3/2021,224977,3252
3/30/2021,227272,2295
3/31/2021,228509,1237
3/4/2021,231469,2960
3/5/2021,234108,2639
3/6/2021,237078,2970
3/7/2021,240123,3045
3/8/2021,243573,3450
3/9/2021,245276,1703
4/1/2021,246575,1299
4/10/2021,249495,2920
4/11/2021,252807,3312
4/12/2021,256667,3860
4/13/2021,259587,2920
4/14/2021,261968,2381
4/15/2021,264066,2098
4/16/2021,265584,1518
4/17/2021,268016,2432
4/18/2021,270740,2724
4/19/2021,273219,2479
4/2/2021,275247,2028
4/20/2021,277404,2157
4/21/2021,278769,1365
4/22/2021,279670,901
4/23/2021,281368,1698
4/24/2021,283461,2093
4/25/2021,285536,2075
4/26/2021,287176,1640
4/27/2021,288881,1705
4/28/2021,290306,1425
4/29/2021,290942,636
4/3/2021,292355,1413
4/30/2021,293935,1580
4/4/2021,295977,2042
4/5/2021,298028,2051
4/6/2021,300122,2094
4/7/2021,301681,1559
4/8/2021,302657,976
4/9/2021,304292,1635
5/1/2021,305833,1541
5/10/2021,307800,1967
5/11/2021,309527,1727
5/12/2021,311149,1622
5/13/2021,312668,1519
5/14/2021,313196,528
5/15/2021,314344,1148
5/16/2021,315586,1242
5/17/2021,316960,1374
5/18/2021,318215,1255
5/19/2021,319715,1500
5/2/2021,320441,726
5/20/2021,320845,404
5/21/2021,321098,253
5/22/2021,322259,1161
5/23/2021,323408,1149
5/24/2021,324531,1123
5/25/2021,325877,1346
5/26/2021,326936,1059
5/27/2021,327409,473
5/28/2021,328406,997
5/29/2021,329344,938
5/3/2021,330550,1206
5/30/2021,331640,1090
5/31/2021,332908,1268
5/4/2021,333820,912
5/5/2021,334286,466
5/6/2021,335202,916
5/7/2021,336132,930
5/8/2021,336997,865
5/9/2021,338002,1005
6/1/2021,339205,1203
6/10/2021,339887,682
6/11/2021,340279,392
6/12/2021,340999,720
6/13/2021,341770,771
6/14/2021,342713,943
6/15/2021,343468,755
6/16/2021,344432,964
6/17/2021,344967,535
6/18/2021,345400,433
6/19/2021,346038,638
6/2/2021,346772,734
6/20/2021,347524,752
6/21/2021,348231,707
6/22/2021,349071,840
6/23/2021,349632,561
6/24/2021,349749,117
6/25/2021,350356,607
6/26/2021,351020,664
6/27/2021,351705,685
6/28/2021,352364,659
6/29/2021,353139,775
6/3/2021,353599,460
6/30/2021,353838,239
6/4/2021,354512,674
6/5/2021,355201,689
6/6/2021,355796,595
6/7/2021,356378,582
6/8/2021,357173,795
6/9/2021,357757,584
7/1/2021,358150,393
7/10/2021,358894,744
7/11/2021,359659,765
7/12/2021,360583,924
7/13/2021,361386,803
7/14/2021,362411,1025
7/15/2021,363156,745
7/16/2021,363676,520
7/17/2021,364510,834
7/18/2021,365323,813
7/19/2021,366266,943
7/2/2021,367126,860
7/20/2021,368306,1180
7/21/2021,369118,812
7/22/2021,369616,498
7/23/2021,370436,820
7/24/2021,371256,820
7/25/2021,372159,903
7/26/2021,373056,897
7/27/2021,374325,1269
7/28/2021,375141,816
7/29/2021,375615,474
7/3/2021,376554,939
7/30/2021,377432,878
7/31/2021,378315,883
7/4/2021,379266,951
7/5/2021,380525,1259
7/6/2021,381475,950
7/7/2021,382038,563
7/8/2021,383197,1159
7/9/2021,384254,1057
8/1/2021,385450,1196
8/10/2021,386371,921
8/11/2021,387625,1254
8/12/2021,388475,850
8/13/2021,389059,584
8/14/2021,390233,1174
8/15/2021,391202,969
8/16/2021,392240,1038
8/17/2021,393076,836
8/18/2021,394279,1203
8/19/2021,395125,846
8/2/2021,395645,520
8/20/2021,396630,985
8/21/2021,397491,861
8/22/2021,398405,914
8/23/2021,399122,717
8/24/2021,400400,1278
8/25/2021,401077,677
8/26/2021,401482,405
8/27/2021,401676,194
8/28/2021,402544,868
8/29/2021,403343,799
