date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,640,732,567,434,357,3
1/10/2021,1155,1142,938,789,710,15
1/11/2021,1226,1227,1015,841,776,16
1/12/2021,1333,1312,1088,926,973,17
1/13/2021,1395,1377,1168,1002,1231,18
1/14/2021,1495,1463,1261,1089,1501,18
1/15/2021,1610,1559,1339,1181,2244,19
1/16/2021,1621,1575,1355,1204,2347,19
1/17/2021,1627,1583,1363,1208,2354,19
1/18/2021,1696,1656,1418,1261,2419,20
1/19/2021,1784,1721,1482,1339,2676,21
1/2/2021,666,748,575,449,367,3
1/20/2021,2037,1995,1807,1627,2890,26
1/21/2021,2186,2106,1908,1727,3098,27
1/22/2021,2281,2183,2003,1840,3435,28
1/23/2021,2326,2216,2037,1877,3634,31
1/24/2021,2331,2219,2037,1878,3653,31
1/25/2021,2380,2270,2100,1980,3958,32
1/26/2021,2442,2323,2156,2063,4319,35
1/27/2021,2696,2464,2307,2223,4697,38
1/28/2021,2890,2588,2436,2382,5101,44
1/29/2021,2988,2671,2517,2490,5440,48
1/3/2021,666,749,575,450,369,3
1/30/2021,3049,2715,2544,2528,5558,56
1/31/2021,3059,2717,2545,2533,5582,56
1/4/2021,736,824,634,519,430,4
1/5/2021,823,895,687,584,496,8
1/6/2021,905,942,741,637,561,10
1/7/2021,1021,1027,828,705,660,11
1/8/2021,1141,1134,926,769,700,15
1/9/2021,1155,1141,936,786,708,15
10/1/2021,22349,11745,11032,12792,18965,8501
10/10/2021,22466,11788,11081,12821,19005,8566
10/11/2021,22474,11793,11083,12823,19011,8570
10/12/2021,22478,11796,11083,12823,19011,8575
10/13/2021,22486,11799,11089,12827,19022,8582
10/14/2021,22498,11801,11089,12835,19027,8589
10/15/2021,22506,11808,11094,12838,19032,8591
10/16/2021,22515,11808,11095,12843,19032,8596
10/17/2021,22522,11811,11097,12843,19033,8600
10/2/2021,22361,11745,11033,12792,18970,8506
10/3/2021,22373,11745,11037,12795,18972,8517
10/4/2021,22395,11748,11043,12802,18981,8522
10/5/2021,22406,11751,11046,12806,18986,8528
10/6/2021,22428,11767,11057,12811,18991,8539
10/7/2021,22435,11774,11064,12817,18993,8546
10/8/2021,22451,11784,11078,12819,18996,8557
10/9/2021,22461,11787,11080,12821,19003,8564
12/1/2020,,,,1,,
12/10/2020,,1,,1,,
12/11/2020,,1,,1,,
12/12/2020,1,1,,1,,
12/13/2020,1,1,,1,,
12/14/2020,1,1,,1,,
12/15/2020,2,3,,2,1,
12/16/2020,25,42,32,23,14,
12/17/2020,53,77,62,49,19,
12/18/2020,100,135,108,80,38,
12/19/2020,110,148,115,94,39,
12/2/2020,,1,,1,,
12/20/2020,111,149,115,94,41,
12/21/2020,113,150,117,95,42,
12/22/2020,120,170,130,106,47,1
12/23/2020,176,276,207,143,70,2
12/24/2020,257,376,278,199,83,2
12/25/2020,283,404,298,219,88,2
12/26/2020,301,428,312,229,90,2
12/27/2020,328,451,326,241,93,2
12/28/2020,383,510,370,271,105,3
12/29/2020,447,585,416,320,200,3
12/3/2020,,1,,1,,
12/30/2020,547,671,491,382,302,3
12/31/2020,600,713,540,417,352,3
12/4/2020,,1,,1,,
12/5/2020,,1,,1,,
12/6/2020,,1,,1,,
12/7/2020,,1,,1,,
12/8/2020,,1,,1,,
12/9/2020,,1,,1,,
2/1/2021,3116,2780,2606,2642,6030,56
2/10/2021,4994,3651,3566,3932,10010,225
2/11/2021,5140,3769,3692,4108,10647,234
2/12/2021,5564,4071,3987,4495,11375,290
2/13/2021,5972,4289,4168,4692,11883,330
2/14/2021,5982,4292,4172,4696,11911,330
2/15/2021,6116,4422,4285,4813,12239,339
2/16/2021,6281,4578,4438,5001,12652,350
2/17/2021,6878,4924,4717,5269,12997,658
2/18/2021,6944,4984,4797,5366,13093,662
2/19/2021,7069,5054,4879,5477,13175,675
2/2/2021,3161,2816,2642,2694,6433,58
2/20/2021,7308,5157,4992,5563,13236,696
2/21/2021,7311,5160,4995,5566,13243,697
2/22/2021,7344,5182,5015,5610,13270,698
2/23/2021,7371,5200,5052,5658,13327,700
2/24/2021,7664,5409,5239,5878,13549,718
2/25/2021,7922,5601,5413,6070,13838,746
2/26/2021,8224,5819,5641,6285,14107,769
2/27/2021,8319,5894,5715,6356,14190,777
2/28/2021,8328,5899,5721,6363,14218,778
2/3/2021,3524,2947,2786,2866,6935,69
2/4/2021,3957,3095,2934,3051,7570,86
2/5/2021,4060,3185,3038,3198,8180,89
2/6/2021,4404,3404,3319,3564,8517,189
2/7/2021,4413,3407,3326,3572,8562,190
2/8/2021,4619,3455,3392,3676,8901,203
2/9/2021,4675,3498,3426,3756,9246,206
3/1/2021,8592,6099,5924,6564,14409,793
3/10/2021,9838,6795,6566,7866,15213,1016
3/11/2021,10023,6894,6679,8094,15368,1033
3/12/2021,10163,6967,6758,8256,15489,1043
3/13/2021,10192,6981,6777,8318,15541,1045
3/14/2021,10200,6985,6782,8339,15551,1045
3/15/2021,10291,7014,6818,8480,15658,1053
3/16/2021,10535,7153,6944,8676,15769,1108
3/17/2021,10781,7259,7056,8868,15919,1142
3/18/2021,10962,7380,7170,8973,15993,1163
3/19/2021,11137,7487,7279,9109,16075,1178
3/2/2021,8996,6326,6131,6797,14585,857
3/20/2021,11224,7552,7332,9182,16120,1186
3/21/2021,11246,7555,7334,9194,16133,1188
3/22/2021,11373,7652,7442,9272,16184,1209
3/23/2021,11719,7787,7545,9378,16248,1264
3/24/2021,12010,7860,7607,9458,16323,1310
3/25/2021,12356,7991,7720,9561,16381,1353
3/26/2021,12573,8048,7778,9638,16425,1410
3/27/2021,12790,8101,7820,9683,16450,1458
3/28/2021,12834,8120,7840,9693,16456,1465
3/29/2021,13073,8173,7909,9767,16491,1531
3/3/2021,9120,6400,6191,6944,14695,883
3/30/2021,13314,8240,7982,9848,16549,1594
3/31/2021,13680,8365,8095,9952,16621,1672
3/4/2021,9238,6465,6250,7107,14764,894
3/5/2021,9430,6583,6368,7294,14876,965
3/6/2021,9538,6641,6421,7363,14912,978
3/7/2021,9542,6642,6422,7386,14926,979
3/8/2021,9632,6689,6457,7549,15000,985
3/9/2021,9724,6749,6526,7720,15107,1003
4/1/2021,14003,8447,8192,10033,16732,1707
4/10/2021,15503,9068,8768,10647,17238,2026
4/11/2021,15532,9074,8773,10656,17243,2035
4/12/2021,15647,9103,8800,10686,17274,2046
4/13/2021,15744,9138,8835,10719,17305,2057
4/14/2021,15876,9190,8875,10766,17341,2083
4/15/2021,16017,9233,8904,10810,17388,2103
4/16/2021,16151,9289,8952,10859,17461,2141
4/17/2021,16193,9323,8988,10891,17495,2153
4/18/2021,16206,9327,8994,10894,17500,2155
4/19/2021,16341,9346,9015,10931,17525,2282
4/2/2021,14302,8555,8312,10161,16813,1787
4/20/2021,16444,9371,9047,10964,17560,2332
