date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,311,413,436,645,420,8
1/10/2021,567,700,803,1122,938,12
1/11/2021,576,709,811,1139,964,13
1/12/2021,595,734,840,1186,1054,13
1/13/2021,639,782,927,1279,1238,14
1/14/2021,672,827,982,1351,1351,16
1/15/2021,687,838,994,1371,1399,16
1/16/2021,710,868,1038,1418,1544,18
1/17/2021,712,870,1041,1423,1560,19
1/18/2021,719,873,1054,1443,1709,20
1/19/2021,752,927,1106,1521,1860,22
1/2/2021,331,445,460,677,430,8
1/20/2021,794,977,1171,1615,2136,22
1/21/2021,917,1134,1347,1857,2819,23
1/22/2021,1053,1269,1522,2112,3748,25
1/23/2021,1094,1325,1576,2218,4884,28
1/24/2021,1110,1342,1600,2295,6075,29
1/25/2021,1133,1366,1635,2371,6719,29
1/26/2021,1144,1378,1664,2417,7075,29
1/27/2021,1216,1433,1734,2603,8328,31
1/28/2021,1265,1503,1842,2806,9712,38
1/29/2021,1344,1561,1938,2984,10938,43
1/3/2021,331,447,460,678,431,8
1/30/2021,1393,1589,1994,3071,11571,44
1/31/2021,1430,1616,2044,3157,12270,47
1/4/2021,340,452,470,689,437,8
1/5/2021,347,460,485,709,458,8
1/6/2021,355,467,497,733,493,9
1/7/2021,439,566,639,870,690,10
1/8/2021,533,670,765,1081,892,12
1/9/2021,566,699,802,1122,935,12
10/1/2021,10889,7944,10421,19815,53916,4632
10/10/2021,11031,8015,10497,19893,54039,4675
10/11/2021,11047,8026,10500,19908,54068,4681
10/12/2021,11057,8029,10507,19915,54079,4691
10/13/2021,11072,8033,10514,19925,54091,4705
10/14/2021,11089,8046,10524,19942,54115,4708
10/15/2021,11109,8053,10532,19954,54135,4715
10/16/2021,11120,8058,10537,19960,54144,4725
10/17/2021,11133,8064,10548,19964,54150,4729
10/18/2021,11147,8071,10553,19972,54164,4733
10/19/2021,11161,8079,10556,19980,54174,4738
10/2/2021,10907,7950,10429,19823,53929,4638
10/20/2021,11178,8086,10560,19987,54195,4739
10/21/2021,11197,8093,10566,19997,54204,4743
10/22/2021,11204,8094,10573,20006,54223,4746
10/23/2021,11205,8096,10583,20015,54246,4747
10/24/2021,11209,8101,10585,20016,54256,4749
10/3/2021,10915,7951,10430,19825,53932,4641
10/4/2021,10932,7960,10447,19837,53947,4644
10/5/2021,10953,7970,10455,19852,53973,4648
10/6/2021,10970,7981,10463,19860,53993,4650
