date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11688,12986,12197,9808,5935,101
1/10/2021,19892,20002,19047,15957,11658,205
1/11/2021,21128,21111,20266,16933,13477,237
1/12/2021,23112,23084,22280,18614,18274,316
1/13/2021,25124,25205,24495,20286,23811,380
1/14/2021,27060,27330,26766,22194,29815,419
1/15/2021,29261,29335,28890,23973,34701,478
1/16/2021,30622,30529,30160,25149,37875,510
1/17/2021,31583,31426,31121,26116,41010,535
1/18/2021,32627,32360,32275,27232,46181,562
1/19/2021,33900,33576,33581,28529,52444,624
1/2/2021,13219,14358,13443,10891,6673,121
1/20/2021,35181,34847,35205,30063,59420,666
1/21/2021,36659,36336,37063,31934,67542,716
1/22/2021,39535,38968,40023,34947,75442,807
1/23/2021,42143,41029,42507,37420,80278,882
1/24/2021,43409,42209,43788,38834,85396,925
1/25/2021,44708,43361,45216,40423,92852,973
1/26/2021,46366,44811,46945,42310,103690,1030
1/27/2021,47848,46120,48449,43959,114050,1064
1/28/2021,49061,47200,49675,45385,124878,1095
1/29/2021,51098,48874,51385,47219,135549,1159
1/3/2021,13953,14943,13952,11329,6915,136
1/30/2021,52837,50274,52981,48789,140537,1217
1/31/2021,53454,50822,53621,49472,144188,1243
1/4/2021,14976,15879,14901,12120,7778,143
1/5/2021,15929,16717,15760,12928,8553,159
1/6/2021,17101,17673,16727,13852,9291,168
1/7/2021,18014,18479,17543,14634,10039,178
1/8/2021,18824,19152,18198,15203,10527,185
1/9/2021,19515,19697,18735,15659,11335,201
10/1/2021,491245,348568,361457,382138,615567,218336
10/10/2021,496723,351470,363796,383918,617954,221076
10/11/2021,497543,351899,364146,384210,618371,221474
10/12/2021,497909,352073,364316,384339,618550,221686
10/13/2021,498489,352380,364596,384554,618890,221960
10/14/2021,499202,352722,364919,384803,619240,222242
10/15/2021,500095,353165,365312,385080,619520,222582
10/16/2021,500706,353407,365533,385255,619664,222831
10/17/2021,501139,353588,365659,385346,619754,222989
10/18/2021,501865,353973,365993,385620,620124,223271
10/19/2021,502486,354336,366232,385844,620430,223562
10/2/2021,491900,348889,361736,382338,615766,218694
10/20/2021,503125,354684,366477,386070,620712,223896
10/21/2021,503749,355030,366758,386273,620993,224156
10/22/2021,504500,355469,367137,386583,621412,224515
10/23/2021,504947,355715,367386,386727,621609,224750
10/24/2021,505241,355879,367530,386857,621770,224886
10/25/2021,505940,356276,367849,387166,622248,225189
10/26/2021,506598,356633,368169,387413,622726,225462
10/27/2021,507283,356989,368536,387715,623214,225763
10/28/2021,507930,357347,368837,387988,623679,226023
10/29/2021,508579,357793,369222,388295,624032,226328
10/3/2021,492204,349032,361841,382430,615876,218846
10/30/2021,508939,357993,369388,388458,624175,226499
10/31/2021,509145,358107,369482,388535,624292,226571
10/4/2021,493020,349431,362179,382669,616316,219216
10/5/2021,493797,349862,362517,382911,616752,219581
10/6/2021,494568,350270,362848,383144,617087,219972
10/7/2021,495091,350594,363110,383368,617360,220255
10/8/2021,495782,350960,363395,383603,617617,220630
10/9/2021,496380,351284,363643,383795,617798,220928
11/1/2021,509782,358422,369778,388779,624669,226800
11/10/2021,515381,361383,372404,390817,627570,240721
11/11/2021,516040,361713,372701,391057,627960,243818
11/12/2021,516749,362119,373044,391314,628294,246322
11/13/2021,517203,362381,373243,391488,628464,250361
11/14/2021,517550,362557,373411,391617,628623,251219
11/15/2021,518285,362962,373745,391912,629048,253046
11/16/2021,518994,363330,374060,392195,629502,254682
11/17/2021,519640,363675,374356,392503,630036,256656
11/18/2021,520351,364023,374667,392840,630479,258672
11/19/2021,521151,364470,375041,393158,630844,260990
11/2/2021,510542,358792,370088,389032,625027,227069
11/20/2021,521642,364755,375307,393366,631034,264114
11/21/2021,522003,364930,375482,393530,631139,264901
11/22/2021,522683,365323,375807,393853,631483,266263
11/23/2021,523457,365692,376181,394256,631846,267884
11/24/2021,523694,365822,376287,394360,631941,268734
11/3/2021,511134,359097,370372,389233,625340,227400
11/4/2021,511685,359385,370631,389447,625675,228340
11/5/2021,512522,359813,371022,389730,626014,230110
11/6/2021,513031,360104,371303,389914,626238,233195
11/7/2021,513379,360306,371460,390041,626399,234021
11/8/2021,514086,360718,371784,390321,626790,235933
11/9/2021,514776,361069,372103,390600,627225,237963
12/1/2020,38,31,33,19,22,2
12/10/2020,47,39,46,33,44,2
12/11/2020,49,41,47,36,44,2
12/12/2020,50,41,47,38,44,2
12/13/2020,50,42,49,39,45,2
12/14/2020,52,45,49,40,52,2
12/15/2020,58,51,58,50,55,2
12/16/2020,70,65,72,56,59,2
12/17/2020,292,411,385,292,187,4
12/18/2020,673,895,790,556,311,4
12/19/2020,1026,1360,1197,843,441,9
12/2/2020,39,32,34,24,29,2
12/20/2020,1221,1610,1445,1044,531,10
12/21/2020,1919,2447,2210,1602,813,13
12/22/2020,2859,3550,3198,2310,1128,17
12/23/2020,3907,4820,4365,3121,1493,23
12/24/2020,4278,5200,4720,3415,1635,23
12/25/2020,4278,5200,4721,3415,1639,23
12/26/2020,5392,6491,5843,4364,2063,32
12/27/2020,5897,7019,6374,4799,2276,38
12/28/2020,7028,8213,7505,5821,2891,48
12/29/2020,8777,9976,9192,7241,3942,72
12/3/2020,42,32,37,25,31,2
12/30/2020,10625,11942,11160,8894,4952,91
12/31/2020,11568,12872,12066,9663,5349,100
12/4/2020,42,33,37,26,33,2
12/5/2020,42,33,37,26,35,2
12/6/2020,42,33,37,26,35,2
12/7/2020,42,34,41,28,37,2
12/8/2020,44,35,42,29,38,2
12/9/2020,44,35,45,30,42,2
2/1/2021,54310,51598,54440,50484,152756,1280
2/10/2021,63186,59669,63149,60991,243765,1780
2/11/2021,64262,60586,64168,62422,254760,1838
2/12/2021,66058,62042,65706,64401,269975,1931
2/13/2021,67903,63624,67524,66436,280034,2029
2/14/2021,68549,64106,68111,67181,285199,2054
2/15/2021,69210,64729,68777,68080,294640,2099
2/16/2021,70333,65519,69682,69247,305013,2145
2/17/2021,71308,66421,70614,70428,316146,2218
2/18/2021,72155,67136,71397,71494,327089,2252
2/19/2021,73278,68038,72307,72687,336256,2327
2/2/2021,55272,52486,55300,51651,162793,1317
2/20/2021,74968,69436,73676,74274,344311,2426
2/21/2021,75575,70003,74267,75009,349401,2460
2/22/2021,76186,70558,74799,75678,355249,2506
2/23/2021,77306,71426,75815,76946,363475,2571
2/24/2021,78473,72464,76931,78381,373148,2652
2/25/2021,79576,73407,77931,79676,383051,2734
2/26/2021,81109,74698,79222,81415,392326,2823
2/27/2021,82365,75782,80299,82765,398797,2899
2/28/2021,82926,76217,80801,83744,402637,2939
2/3/2021,56094,53282,56134,52638,173228,1369
2/4/2021,57032,54135,57160,53808,184034,1417
2/5/2021,58272,55231,58290,55126,193015,1482
2/6/2021,59520,56292,59439,56352,203656,1561
2/7/2021,60046,56800,59944,56929,209330,1588
2/8/2021,61002,57713,60953,58207,220027,1662
2/9/2021,62082,58710,62017,59570,231922,1730
3/1/2021,83721,76932,81653,85100,408031,3010
3/10/2021,94090,85146,90611,141400,453645,3785
3/11/2021,96184,86844,92392,151380,459954,3922
3/12/2021,98521,88626,94346,160402,465439,4059
3/13/2021,100219,90050,95961,168606,469579,4153
3/14/2021,101476,91139,97124,174856,472132,4229
3/15/2021,102970,92447,98694,182845,476079,4329
3/16/2021,105002,94059,100561,190515,480125,4467
3/17/2021,107614,96386,103157,199304,485454,4654
3/18/2021,110309,98664,105749,207113,490393,4836
3/19/2021,113737,101227,108540,214214,495034,5115
3/2/2021,84549,77688,82466,87027,414083,3060
3/20/2021,116613,103656,111377,219584,498917,5331
3/21/2021,118849,105562,113526,223673,501245,5518
3/22/2021,122097,108421,116676,228174,504419,5834
3/23/2021,125965,111724,120177,233131,507501,6259
3/24/2021,132360,117055,125828,237735,510714,7526
3/25/2021,139539,122763,131936,241940,513906,8813
3/26/2021,145940,127890,137362,245751,516175,10093
3/27/2021,151937,132694,142392,248411,517644,11738
3/28/2021,157056,136538,146539,250137,518570,13216
3/29/2021,164700,142345,152986,252055,519826,14915
3/3/2021,85454,78412,83355,90078,419871,3141
3/30/2021,172368,148095,159325,254262,521175,16692
3/31/2021,180668,154297,166438,257032,522947,18793
3/4/2021,86553,79334,84323,97043,425747,3225
3/5/2021,88154,80428,85516,105002,430860,3366
3/6/2021,89243,81212,86349,111258,434673,3433
3/7/2021,90070,81887,87046,116517,437293,3491
3/8/2021,91175,82789,88020,124680,442481,3566
3/9/2021,92546,83874,89207,132358,447633,3648
4/1/2021,188905,160449,173958,259916,525032,20686
4/10/2021,239939,195382,213520,282056,540518,31898
4/11/2021,243126,197395,215770,283275,541319,33032
4/12/2021,247905,200547,219460,285660,543268,34135
4/13/2021,252206,203205,222461,287566,544708,35168
4/14/2021,256653,205828,225360,289326,546012,36217
4/15/2021,261878,209213,228691,291488,547623,37203
4/16/2021,266283,212115,231802,293441,549020,38108
4/17/2021,269627,214463,234551,295052,550121,39196
4/18/2021,271546,215644,235896,295808,550645,39857
4/19/2021,274941,217984,238371,297398,552006,40668
4/2/2021,195412,165282,179571,262452,526608,22272
4/20/2021,278146,220075,240800,298937,553303,41522
4/21/2021,282332,222817,243571,300756,554792,42506
4/22/2021,286244,225352,246184,302452,556146,43318
4/23/2021,290041,228002,248863,304138,557340,44244
4/24/2021,292417,229561,250478,305270,558132,45005
4/25/2021,294001,230559,251518,305857,558534,45686
4/26/2021,296749,232401,253482,307253,559613,46410
