Category,value
Yuma,926
Yavapai,784
Santa Cruz,196
Pinal,"1,155"
Pima,"2,877"
Navajo,674
Mohave,"1,045"
Maricopa,"12,713"
La Paz,102
Greenlee,20
Graham,130
Gila,277
Coconino,383
Cochise,383
Apache,508
Male,13016
Female,9144
65+,15786
55-64y,3449
45-54y,1696
20-44y,1192
<20y,50
Unknown,1350
Other Race,618
"Asian or Pacific Islander, non-Hispanic",278
"Black or African American, non-Hispanic",684
"American Indian or Alaska Native, non-Hispanic",1694
Hispanic or Latino,6167
"White, non-Hispanic",11382
