Category,value
tests,739675
YUMA,12691
YAVAPAI,21860
SANTA CRUZ,2226
PINAL,45060
PIMA,66072
NAVAJO,6070
MOHAVE,16319
MARICOPA,529680
LA PAZ,1900
GREENLEE,304
GRAHAM,1599
GILA,7335
COCONINO,10080
COCHISE,6702
APACHE,1639
Unknown,683
65 years and older,180730
55 - 64 years,148013
45 - 54 years,133508
20 - 44 years,244199
Less than 20 years,32542
positive,0.2163179774901139
