date,Yavapai_cume,Yavapai
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,5,2
1/13/2021,376,371
1/14/2021,807,431
1/15/2021,818,11
1/16/2021,824,6
1/17/2021,829,5
1/18/2021,834,5
1/19/2021,843,9
1/2/2021,1058,215
1/20/2021,1765,707
1/21/2021,1965,200
1/22/2021,1970,5
1/23/2021,2092,122
1/24/2021,2093,1
1/25/2021,2128,35
1/26/2021,2176,48
1/27/2021,2217,41
1/28/2021,2852,635
1/29/2021,3553,701
1/3/2021,3749,196
1/30/2021,3750,1
1/31/2021,3826,76
1/4/2021,4017,191
1/5/2021,4520,503
1/6/2021,4819,299
1/7/2021,4904,85
1/8/2021,5233,329
1/9/2021,5236,3
12/1/2020,5526,290
12/18/2020,6405,879
12/19/2020,7387,982
12/22/2020,8833,1446
12/23/2020,10549,1716
12/24/2020,12051,1502
12/25/2020,13416,1365
12/26/2020,14339,923
12/27/2020,14966,627
12/28/2020,16846,1880
12/29/2020,19004,2158
12/30/2020,20937,1933
12/31/2020,21941,1004
12/6/2020,22912,971
2/1/2021,25093,2181
2/10/2021,27439,2346
2/11/2021,30032,2593
2/12/2021,32006,1974
2/13/2021,33908,1902
2/14/2021,35157,1249
2/15/2021,36187,1030
2/16/2021,37886,1699
2/17/2021,39610,1724
2/18/2021,41947,2337
2/19/2021,43661,1714
2/2/2021,45191,1530
2/20/2021,46493,1302
2/21/2021,47504,1011
2/22/2021,48399,895
2/23/2021,50116,1717
2/24/2021,51039,923
2/25/2021,51558,519
2/26/2021,52076,518
2/27/2021,52313,237
2/28/2021,52500,187
2/3/2021,52713,213
2/4/2021,54258,1545
2/5/2021,57480,3222
2/6/2021,60455,2975
2/7/2021,63800,3345
2/8/2021,64952,1152
2/9/2021,66121,1169
3/1/2021,68987,2866
3/10/2021,71372,2385
3/11/2021,74094,2722
3/12/2021,75801,1707
3/13/2021,77854,2053
3/14/2021,79453,1599
3/15/2021,81006,1553
3/16/2021,83636,2630
3/17/2021,86602,2966
3/18/2021,89546,2944
3/19/2021,91630,2084
3/2/2021,93488,1858
3/20/2021,95192,1704
3/21/2021,96906,1714
3/22/2021,99036,2130
3/23/2021,101375,2339
3/24/2021,103210,1835
3/25/2021,104406,1196
3/26/2021,105581,1175
3/27/2021,106567,986
3/28/2021,106825,258
3/29/2021,107973,1148
3/3/2021,109037,1064
3/30/2021,110362,1325
3/31/2021,111826,1464
3/4/2021,113323,1497
3/5/2021,114285,962
3/6/2021,114523,238
3/7/2021,115614,1091
3/8/2021,116766,1152
3/9/2021,118063,1297
4/1/2021,119790,1727
4/10/2021,121560,1770
4/11/2021,122668,1108
4/12/2021,123064,396
4/13/2021,124601,1537
4/14/2021,126346,1745
4/15/2021,127977,1631
4/16/2021,130064,2087
4/17/2021,132345,2281
4/18/2021,133308,963
4/19/2021,134032,724
4/2/2021,135378,1346
4/20/2021,136235,857
4/21/2021,137905,1670
4/22/2021,139656,1751
4/23/2021,141287,1631
4/24/2021,143061,1774
4/25/2021,143913,852
4/26/2021,145610,1697
4/27/2021,146524,914
4/28/2021,148000,1476
4/29/2021,149632,1632
4/3/2021,151346,1714
4/30/2021,152830,1484
4/4/2021,153474,644
4/5/2021,154818,1344
4/6/2021,155772,954
4/7/2021,156963,1191
4/8/2021,157833,870
4/9/2021,158985,1152
5/1/2021,159660,675
5/10/2021,159969,309
5/11/2021,160749,780
5/12/2021,161352,603
5/13/2021,161964,612
5/14/2021,162508,544
5/15/2021,163113,605
5/16/2021,163568,455
5/17/2021,163697,129
5/18/2021,164282,585
5/19/2021,164797,515
5/2/2021,165453,656
5/20/2021,165969,516
5/21/2021,166691,722
5/22/2021,167103,412
5/23/2021,167264,161
5/24/2021,167666,402
5/25/2021,168142,476
5/26/2021,168641,499
5/27/2021,169262,621
5/28/2021,169764,502
5/29/2021,169994,230
5/3/2021,170131,137
5/30/2021,170480,349
5/31/2021,170842,362
5/4/2021,171256,414
5/5/2021,171572,316
5/6/2021,171970,398
5/7/2021,172147,177
5/8/2021,172355,208
5/9/2021,172436,81
6/1/2021,172799,363
6/10/2021,173160,361
6/11/2021,173500,340
6/12/2021,173921,421
