date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,633,739,575,448,359,3
1/10/2021,1143,1159,950,801,721,13
1/11/2021,1214,1242,1029,853,789,14
1/12/2021,1320,1327,1103,936,990,15
1/13/2021,1382,1390,1186,1011,1252,16
1/14/2021,1482,1477,1279,1098,1524,16
1/15/2021,1597,1571,1360,1189,2273,16
1/16/2021,1608,1587,1375,1213,2376,16
1/17/2021,1614,1595,1383,1217,2383,16
1/18/2021,1682,1668,1438,1271,2447,17
1/19/2021,1771,1732,1504,1350,2705,18
1/2/2021,659,755,583,463,369,3
1/20/2021,2018,2008,1828,1640,2922,23
1/21/2021,2166,2122,1929,1738,3137,24
1/22/2021,2260,2200,2026,1850,3478,25
1/23/2021,2304,2234,2060,1886,3681,28
1/24/2021,2310,2237,2060,1887,3700,28
1/25/2021,2359,2288,2123,1987,4010,29
1/26/2021,2420,2343,2179,2064,4376,31
1/27/2021,2673,2487,2328,2224,4759,33
1/28/2021,2866,2612,2463,2384,5163,39
1/29/2021,2963,2696,2542,2493,5505,43
1/3/2021,659,756,583,464,371,3
1/30/2021,3024,2739,2571,2532,5623,50
1/31/2021,3034,2741,2572,2536,5649,50
1/4/2021,728,832,643,533,433,4
1/5/2021,813,906,696,597,503,8
1/6/2021,893,958,750,650,570,9
1/7/2021,1009,1045,837,717,670,9
1/8/2021,1129,1151,938,781,711,13
1/9/2021,1143,1158,948,798,719,13
10/1/2021,22467,11830,11049,12788,19222,8291
10/10/2021,22601,11882,11105,12819,19269,8362
10/11/2021,22610,11887,11111,12821,19275,8366
10/12/2021,22616,11891,11113,12821,19276,8375
10/13/2021,22633,11895,11123,12825,19289,8383
10/14/2021,22647,11897,11124,12836,19296,8391
10/15/2021,22662,11904,11134,12839,19303,8398
10/16/2021,22677,11904,11136,12844,19304,8403
10/17/2021,22696,11907,11139,12844,19305,8411
10/18/2021,22708,11916,11143,12849,19313,8415
10/19/2021,22727,11920,11145,12854,19317,8421
10/2/2021,22479,11831,11050,12788,19227,8296
10/20/2021,22741,11929,11154,12858,19325,8430
10/21/2021,22756,11936,11159,12864,19330,8435
10/22/2021,22778,11951,11169,12882,19357,8442
10/23/2021,22793,11958,11175,12892,19373,8451
10/24/2021,22801,11962,11177,12893,19382,8453
10/25/2021,22817,11973,11187,12902,19407,8462
10/26/2021,22833,11982,11193,12917,19427,8484
10/27/2021,22863,11994,11207,12933,19469,8497
10/28/2021,22881,11999,11214,12939,19491,8503
10/29/2021,22911,12024,11227,12958,19521,8518
10/3/2021,22493,11831,11054,12791,19229,8305
10/30/2021,22933,12037,11243,12966,19532,8531
10/31/2021,22947,12043,11251,12972,19538,8537
10/4/2021,22515,11836,11060,12797,19238,8310
10/5/2021,22528,11840,11064,12802,19245,8316
10/6/2021,22553,11857,11076,12807,19250,8328
10/7/2021,22563,11867,11082,12814,19253,8337
10/8/2021,22583,11878,11102,12817,19256,8350
10/9/2021,22593,11881,11104,12819,19265,8357
11/1/2021,22968,12052,11257,12987,19550,8539
11/10/2021,23164,12153,11328,13079,19652,9738
11/11/2021,23196,12164,11337,13092,19659,9807
11/12/2021,23226,12175,11356,13105,19676,10133
11/13/2021,23242,12183,11365,13111,19684,10269
11/14/2021,23262,12187,11369,13118,19685,10314
11/15/2021,23285,12199,11382,13134,19708,10372
11/16/2021,23311,12213,11388,13145,19715,10462
11/17/2021,23333,12225,11396,13155,19742,10630
11/18/2021,23366,12238,11408,13166,19759,10700
11/19/2021,23417,12257,11422,13185,19774,10870
11/2/2021,22982,12058,11261,12994,19563,8549
11/20/2021,23439,12273,11430,13193,19786,11007
11/21/2021,23459,12281,11434,13202,19791,11049
11/22/2021,23486,12292,11449,13217,19809,11110
11/23/2021,23513,12298,11467,13227,19826,11168
11/24/2021,23533,12311,11472,13233,19838,11216
11/25/2021,23533,12311,11472,13233,19838,11216
11/26/2021,23556,12321,11475,13247,19845,11265
11/27/2021,23569,12323,11478,13254,19848,11277
11/28/2021,23578,12328,11481,13258,19850,11283
11/29/2021,23601,12339,11486,13269,19871,11332
11/3/2021,23009,12073,11269,13003,19577,8560
11/30/2021,23623,12346,11493,13279,19881,11413
11/4/2021,23030,12084,11275,13014,19592,8564
11/5/2021,23069,12104,11295,13031,19606,8670
11/6/2021,23089,12115,11306,13042,19612,9073
11/7/2021,23100,12124,11308,13047,19620,9133
11/8/2021,23118,12129,11315,13055,19629,9296
11/9/2021,23140,12137,11324,13063,19634,9454
12/1/2020,,,,1,,
12/1/2021,23645,12363,11499,13295,19905,11459
12/10/2020,,1,,1,,
12/10/2021,23896,12480,11590,13405,20013,12023
12/11/2020,,1,,1,,
12/11/2021,23916,12490,11599,13414,20017,12066
12/12/2020,1,1,,1,,
12/12/2021,23922,12495,11600,13417,20019,12088
12/13/2020,1,1,,1,,
12/14/2020,1,1,,1,,
12/15/2020,3,3,1,3,1,
12/16/2020,24,45,35,25,14,
12/17/2020,52,80,67,53,19,
12/18/2020,99,137,113,84,39,
12/19/2020,109,149,121,98,40,
12/2/2020,,1,,1,,
12/2/2021,23670,12372,11506,13303,19920,11476
12/20/2020,110,151,121,98,42,
12/21/2020,112,152,123,98,43,
12/22/2020,119,171,137,109,48,1
12/23/2020,173,283,214,149,71,2
12/24/2020,252,384,285,206,84,2
12/25/2020,278,411,306,226,89,2
12/26/2020,296,435,320,236,91,2
12/27/2020,323,457,334,248,94,2
12/28/2020,377,516,379,278,107,3
12/29/2020,440,592,425,327,202,3
12/3/2020,,1,,1,,
12/3/2021,23712,12391,11521,13325,19926,11566
12/30/2020,540,676,500,391,304,3
12/31/2020,593,717,548,428,354,3
12/4/2020,,1,,1,,
12/4/2021,23729,12398,11526,13333,19928,11658
12/5/2020,,1,,1,,
12/5/2021,23750,12412,11531,13339,19936,11688
12/6/2020,,1,,1,,
12/6/2021,23766,12414,11538,13354,19955,11720
12/7/2020,,1,,1,,
12/7/2021,23784,12420,11545,13368,19967,11760
12/8/2020,,1,,1,,
12/8/2021,23824,12438,11558,13380,19984,11870
12/9/2020,,1,,1,,
12/9/2021,23857,12456,11572,13390,20001,11937
2/1/2021,3094,2806,2632,2648,6100,50
2/10/2021,4985,3682,3599,3945,10098,205
2/11/2021,5139,3802,3728,4120,10738,212
2/12/2021,5570,4109,4020,4504,11475,258
2/13/2021,5975,4330,4201,4697,11989,296
2/14/2021,5985,4333,4205,4701,12017,296
2/15/2021,6119,4462,4317,4812,12352,305
2/16/2021,6281,4620,4469,4998,12769,317
2/17/2021,6877,4965,4751,5268,13119,620
2/18/2021,6943,5024,4830,5365,13216,624
2/19/2021,7064,5098,4910,5476,13301,637
2/2/2021,3140,2843,2668,2696,6506,52
2/20/2021,7300,5205,5023,5563,13362,657
2/21/2021,7304,5208,5026,5566,13369,658
2/22/2021,7337,5230,5045,5612,13396,659
2/23/2021,7364,5249,5082,5657,13456,661
2/24/2021,7657,5459,5267,5877,13681,677
