date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,931,867,652,484,243,5
1/10/2021,1271,1208,941,717,520,8
1/11/2021,1331,1296,1006,754,863,8
1/12/2021,1392,1366,1081,808,1187,9
1/13/2021,1477,1440,1156,871,1523,9
1/14/2021,1497,1459,1184,895,1611,9
1/15/2021,1526,1475,1205,924,1701,9
1/16/2021,1530,1476,1209,925,1706,9
1/17/2021,1532,1479,1210,926,1710,9
1/18/2021,1540,1486,1219,930,1728,9
1/19/2021,1583,1512,1250,959,1842,14
1/2/2021,933,868,652,486,244,5
1/20/2021,1597,1520,1259,970,1874,15
1/21/2021,1717,1707,1436,1070,2395,18
1/22/2021,1826,1802,1521,1150,3062,18
1/23/2021,1855,1841,1546,1181,3098,19
1/24/2021,1856,1843,1549,1184,3109,19
1/25/2021,1889,1917,1612,1235,3267,19
1/26/2021,2018,2059,1752,1372,3424,27
1/27/2021,2157,2213,1870,1469,3632,27
1/28/2021,2311,2363,2056,1687,4335,28
1/29/2021,2466,2493,2223,1829,5423,30
1/3/2021,935,868,652,486,244,5
1/30/2021,2504,2525,2261,1902,6284,30
1/31/2021,2505,2526,2261,1903,6301,30
1/4/2021,989,924,693,517,283,5
1/5/2021,1075,1020,759,563,318,5
1/6/2021,1188,1133,855,631,388,8
1/7/2021,1231,1175,912,670,419,8
1/8/2021,1264,1204,937,711,509,8
1/9/2021,1266,1205,941,715,514,8
10/1/2021,30696,17873,17843,19788,32108,15638
10/10/2021,31105,18050,17952,19859,32188,15832
10/11/2021,31154,18081,17970,19879,32197,15862
10/12/2021,31184,18105,17979,19884,32202,15889
10/13/2021,31219,18123,17991,19891,32208,15910
10/14/2021,31288,18145,18020,19908,32220,15939
10/15/2021,31351,18168,18039,19924,32229,15961
10/16/2021,31378,18180,18049,19936,32233,15974
10/17/2021,31392,18187,18053,19938,32233,15982
10/18/2021,31442,18222,18071,19953,32245,16030
10/19/2021,31477,18240,18083,19975,32260,16058
10/2/2021,30717,17881,17854,19794,32113,15662
10/20/2021,31504,18252,18095,19988,32268,16082
10/21/2021,31552,18278,18115,20005,32285,16094
10/22/2021,31648,18323,18139,20023,32315,16134
10/23/2021,31703,18344,18148,20038,32332,16149
10/24/2021,31719,18361,18160,20046,32339,16155
10/25/2021,31784,18390,18178,20059,32380,16184
10/26/2021,31838,18426,18191,20087,32423,16198
10/27/2021,31879,18451,18225,20103,32468,16217
10/28/2021,31936,18488,18251,20135,32509,16243
10/29/2021,32033,18521,18267,20157,32546,16262
10/3/2021,30724,17884,17859,19795,32115,15670
10/30/2021,32087,18537,18274,20163,32555,16276
10/31/2021,32096,18540,18279,20166,32558,16279
10/4/2021,30765,17902,17878,19805,32124,15693
10/5/2021,30913,17941,17896,19818,32139,15724
10/6/2021,30966,17979,17911,19828,32153,15760
10/7/2021,31007,17989,17925,19837,32159,15788
10/8/2021,31054,18021,17937,19847,32173,15812
10/9/2021,31090,18040,17943,19852,32182,15825
11/1/2021,32160,18568,18299,20187,32603,16348
11/10/2021,32618,18806,18489,20416,32954,19246
11/11/2021,32662,18824,18505,20436,32974,19408
11/12/2021,32730,18855,18528,20464,33020,19687
11/13/2021,32785,18884,18541,20479,33027,20266
11/14/2021,32807,18907,18553,20494,33036,20320
11/15/2021,32902,18961,18587,20518,33097,20676
11/16/2021,32953,18997,18618,20555,33157,20849
11/17/2021,33021,19041,18644,20590,33230,21102
11/18/2021,33128,19095,18688,20625,33293,21342
11/19/2021,33233,19154,18730,20657,33337,21553
11/2/2021,32215,18599,18321,20201,32655,16381
11/20/2021,33268,19169,18746,20676,33350,21638
11/21/2021,33291,19174,18758,20683,33358,21696
11/22/2021,33361,19203,18784,20717,33404,21895
11/23/2021,33558,19248,18823,20754,33466,22196
11/24/2021,33651,19282,18852,20792,33520,22441
11/25/2021,33652,19282,18852,20792,33520,22442
11/26/2021,33684,19300,18870,20814,33549,22546
11/27/2021,33705,19318,18892,20834,33570,22614
11/28/2021,33718,19333,18906,20850,33585,22634
11/29/2021,33771,19368,18933,20883,33659,22809
11/3/2021,32277,18621,18338,20224,32694,16507
11/30/2021,33840,19408,18985,20945,33747,22996
11/4/2021,32351,18653,18363,20258,32746,16626
11/5/2021,32395,18676,18389,20287,32774,16879
11/6/2021,32425,18691,18402,20305,32786,17006
11/7/2021,32445,18696,18411,20317,32797,17078
11/8/2021,32507,18736,18438,20362,32864,17315
11/9/2021,32562,18779,18458,20395,32911,17545
12/1/2020,1,1,2,,3,
