Category,value
tests,11058497
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,1711509
20 - 44 years,4776747
45 - 54 years,1486879
55 - 64 years,1389158
65 years and older,1674900
Unknown,19304
positive,0.0976535057160119
