date,Cochise_cume,Cochise
2020-12-01,4,
2020-12-15,5,1
2020-12-16,6,1
2020-12-17,17,11
2020-12-18,25,8
2020-12-19,32,7
2020-12-20,33,1
2020-12-21,45,12
2020-12-22,308,263
2020-12-23,726,418
2020-12-24,836,110
2020-12-26,858,22
2020-12-28,943,85
2020-12-29,1018,75
2020-12-30,1229,211
2020-12-31,1441,212
2021-01-01,1474,33
2021-01-02,1487,13
2021-01-03,1564,77
2021-01-04,1611,47
2021-01-05,1701,90
2021-01-06,1805,104
2021-01-07,1874,69
2021-01-08,2027,153
2021-01-09,2402,375
2021-01-10,2418,16
2021-01-11,2701,283
2021-01-12,2960,259
2021-01-13,3404,444
2021-01-14,3707,303
2021-01-15,4178,471
2021-01-16,4581,403
2021-01-17,4606,25
2021-01-18,4818,212
2021-01-19,5232,414
2021-01-20,5906,674
2021-01-21,6520,614
2021-01-22,6855,335
2021-01-23,7425,570
2021-01-24,7546,121
2021-01-25,7984,438
2021-01-26,8456,472
2021-01-27,9150,694
2021-01-28,10133,983
2021-01-29,10835,702
2021-01-30,10872,37
2021-01-31,10986,114
2021-02-01,11323,337
2021-02-02,11573,250
2021-02-03,12124,551
2021-02-04,12587,463
2021-02-05,13151,564
2021-02-06,13344,193
2021-02-07,13376,32
2021-02-08,13819,443
2021-02-09,14651,832
2021-02-10,15965,1314
2021-02-11,17946,1981
2021-02-12,19330,1384
2021-02-13,19666,336
2021-02-14,19682,16
2021-02-15,20019,337
2021-02-16,20720,701
2021-02-17,21223,503
2021-02-18,21894,671
2021-02-19,22263,369
2021-02-20,22634,371
2021-02-21,22761,127
2021-02-22,23057,296
2021-02-23,23281,224
2021-02-24,24157,876
2021-02-25,26179,2022
2021-02-26,27714,1535
2021-02-27,28598,884
2021-02-28,28690,92
2021-03-01,29324,634
2021-03-02,29849,525
2021-03-03,30940,1091
2021-03-04,32523,1583
2021-03-05,33607,1084
2021-03-06,34653,1046
2021-03-07,34725,72
2021-03-08,35260,535
2021-03-09,36241,981
2021-03-10,37791,1550
2021-03-11,39921,2130
2021-03-12,41265,1344
2021-03-13,42129,864
2021-03-14,42176,47
2021-03-15,43087,911
2021-03-16,44011,924
2021-03-17,44903,892
2021-03-18,46282,1379
2021-03-19,47305,1023
2021-03-20,48228,923
2021-03-21,48300,72
2021-03-22,48872,572
2021-03-23,49239,367
2021-03-24,50171,932
2021-03-25,52537,2366
2021-03-26,53989,1452
2021-03-27,55064,1075
2021-03-28,55135,71
2021-03-29,55682,547
2021-03-30,56350,668
2021-03-31,57684,1334
2021-04-01,59912,2228
2021-04-02,61275,1363
2021-04-03,62607,1332
2021-04-04,62665,58
2021-04-05,63254,589
2021-04-06,64050,796
2021-04-07,65514,1464
2021-04-08,67119,1605
2021-04-09,68217,1098
2021-04-10,69006,789
2021-04-11,69110,104
2021-04-12,69817,707
2021-04-13,70371,554
2021-04-14,71329,958
2021-04-15,73195,1866
2021-04-16,74266,1071
2021-04-17,75609,1343
2021-04-18,75680,71
2021-04-19,76312,632
2021-04-20,76828,516
2021-04-21,77799,971
2021-04-22,79332,1533
2021-04-23,80334,1002
2021-04-24,81207,873
2021-04-25,81264,57
2021-04-26,81732,468
2021-04-27,82234,502
2021-04-28,83183,949
2021-04-29,84202,1019
2021-04-30,84898,696
2021-05-01,85443,545
2021-05-02,85491,48
2021-05-03,85788,297
2021-05-04,86264,476
2021-05-05,87118,854
2021-05-06,88120,1002
2021-05-07,88834,714
2021-05-08,89316,482
2021-05-09,89363,47
2021-05-10,89698,335
2021-05-11,90006,308
2021-05-12,90566,560
2021-05-13,91565,999
2021-05-14,92100,535
2021-05-15,92440,340
2021-05-16,92503,63
2021-05-17,92956,453
2021-05-18,93417,461
2021-05-19,94193,776
2021-05-20,94966,773
2021-05-21,95679,713
2021-05-22,96007,328
2021-05-23,96063,56
2021-05-24,96479,416
2021-05-25,96772,293
2021-05-26,97206,434
2021-05-27,97858,652
2021-05-28,98385,527
2021-05-29,98477,92
2021-05-30,98539,62
2021-05-31,98608,69
2021-06-01,98925,317
2021-06-02,99347,422
2021-06-03,99932,585
2021-06-04,100418,486
2021-06-05,100553,135
2021-06-06,100591,38
2021-06-07,100909,318
2021-06-08,101172,263
2021-06-09,101478,306
2021-06-10,101960,482
2021-06-11,102274,314
2021-06-12,102416,142
2021-06-13,102481,65
2021-06-14,102756,275
2021-06-15,103022,266
2021-06-16,103363,341
2021-06-17,103796,433
2021-06-18,104203,407
2021-06-19,104463,260
2021-06-20,104498,35
2021-06-21,104693,195
2021-06-22,104855,162
2021-06-23,105180,325
2021-06-24,105545,365
2021-06-25,105885,340
2021-06-26,105984,99
2021-06-27,106026,42
2021-06-28,106219,193
2021-06-29,106421,202
2021-06-30,107234,813
2021-07-01,108243,1009
2021-07-02,108559,316
2021-07-03,108634,75
2021-07-04,108644,10
2021-07-05,108758,114
2021-07-06,108978,220
2021-07-07,109179,201
2021-07-08,109476,297
2021-07-09,109767,291
2021-07-10,109848,81
2021-07-11,109875,27
2021-07-12,110022,147
2021-07-13,110149,127
2021-07-14,110761,612
2021-07-15,111483,722
2021-07-16,111795,312
2021-07-17,111884,89
2021-07-18,111924,40
2021-07-19,112098,174
2021-07-20,112277,179
2021-07-21,112475,198
2021-07-22,112711,236
2021-07-23,113020,309
2021-07-24,113133,113
2021-07-25,113180,47
2021-07-26,113366,186
2021-07-27,113552,186
2021-07-28,113749,197
2021-07-29,114043,294
2021-07-30,114376,333
2021-07-31,115283,907
2021-08-01,115340,57
2021-08-02,115559,219
2021-08-03,115745,186
2021-08-04,115969,224
2021-08-05,116317,348
2021-08-06,116815,498
2021-08-07,116966,151
2021-08-08,117010,44
2021-08-09,117194,184
2021-08-10,117344,150
2021-08-11,117527,183
2021-08-12,117752,225
2021-08-13,118136,384
2021-08-14,118322,186
2021-08-15,118368,46
2021-08-16,118623,255
2021-08-17,118828,205
2021-08-18,119073,245
2021-08-19,119346,273
2021-08-20,119712,366
2021-08-21,120673,961
2021-08-22,120736,63
2021-08-23,121021,285
2021-08-24,121229,208
2021-08-25,121443,214
2021-08-26,121726,283
2021-08-27,122141,415
2021-08-28,122297,156
2021-08-29,122351,54
2021-08-30,122561,210
2021-08-31,122723,162
2021-09-01,122930,207
2021-09-02,123131,201
2021-09-03,123483,352
2021-09-04,123617,134
2021-09-05,123667,50
2021-09-06,123716,49
2021-09-07,123887,171
2021-09-08,124082,195
2021-09-09,124345,263
2021-09-10,124710,365
2021-09-11,124849,139
2021-09-12,124910,61
2021-09-13,125067,157
2021-09-14,125253,186
2021-09-15,125367,114
2021-09-16,125590,223
2021-09-17,125875,285
2021-09-18,125981,106
2021-09-19,126019,38
2021-09-20,126157,138
2021-09-21,126317,160
2021-09-22,126465,148
2021-09-23,126685,220
2021-09-24,127046,361
2021-09-25,127149,103
2021-09-26,127175,26
2021-09-27,127290,115
2021-09-28,127407,117
2021-09-29,127560,153
2021-09-30,127756,196
2021-10-01,128033,277
2021-10-02,128095,62
2021-10-03,128126,31
2021-10-04,128243,117
2021-10-05,128381,138
2021-10-06,128546,165
2021-10-07,128710,164
2021-10-08,128940,230
2021-10-09,129012,72
2021-10-10,129052,40
2021-10-11,129171,119
2021-10-12,129280,109
2021-10-13,129403,123
2021-10-14,129591,188
2021-10-15,129809,218
2021-10-16,130482,673
2021-10-17,130522,40
2021-10-18,130663,141
2021-10-19,130782,119
2021-10-20,130881,99
2021-10-21,131028,147
2021-10-22,131449,421
2021-10-23,131624,175
2021-10-24,131753,129
2021-10-25,132216,463
2021-10-26,132698,482
2021-10-27,133243,545
2021-10-28,133990,747
2021-10-29,134827,837
2021-10-30,134986,159
2021-10-31,135069,83
2021-11-01,135536,467
2021-11-02,135982,446
2021-11-03,136468,486
2021-11-04,137256,788
2021-11-05,138221,965
2021-11-06,138698,477
2021-11-07,138817,119
2021-11-08,139370,553
2021-11-09,139927,557
2021-11-10,140481,554
2021-11-11,141161,680
2021-11-12,142283,1122
2021-11-13,143874,1591
2021-11-14,144040,166
2021-11-15,144619,579
2021-11-16,145236,617
2021-11-17,146003,767
2021-11-18,146787,784
2021-11-19,147953,1166
2021-11-20,148485,532
2021-11-21,148646,161
2021-11-22,149135,489
2021-11-23,149687,552
2021-11-24,150258,571
2021-11-26,150540,282
2021-11-27,150810,270
2021-11-28,150954,144
2021-11-29,151518,564
2021-11-30,152218,700
2021-12-01,152902,684
2021-12-02,153948,1046
2021-12-03,155096,1148
2021-12-04,155783,687
2021-12-05,155943,160
2021-12-06,156555,612
2021-12-07,157181,626
2021-12-08,157930,749
2021-12-09,158847,917
2021-12-10,159889,1042
2021-12-11,160822,933
2021-12-12,160978,156
2021-12-13,161420,442
2021-12-14,161858,438
2021-12-15,162431,573
2021-12-16,163134,703
2021-12-17,164043,909
2021-12-18,164272,229
2021-12-19,164418,146
2021-12-20,165065,647
2021-12-21,165489,424
2021-12-22,166147,658
2021-12-23,166711,564
2021-12-24,166827,116
