date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
12/29/2021,4216,3072,2883,3337,5363,2539
12/3/2021,4093,3019,2837,3297,5311,2223
12/30/2020,163,168,141,175,217,5
12/30/2021,4221,3076,2884,3341,5365,2574
12/31/2020,177,179,158,195,241,5
12/31/2021,4224,3078,2886,3341,5365,2602
12/4/2021,4098,3021,2840,3299,5315,2226
12/5/2021,4099,3022,2841,3299,5316,2226
12/6/2021,4107,3024,2843,3302,5319,2243
12/7/2021,4115,3024,2847,3305,5321,2249
12/8/2021,4119,3025,2847,3305,5322,2263
12/9/2021,4123,3026,2853,3309,5332,2271
2/1/2021,724,701,702,796,2279,45
2/10/2021,866,774,793,896,3059,58
2/11/2021,886,800,829,930,3128,60
2/12/2021,924,826,852,976,3197,65
2/13/2021,929,831,852,991,3340,65
2/14/2021,929,831,852,991,3340,65
2/15/2021,934,834,857,994,3370,65
2/16/2021,951,846,868,1011,3409,68
2/17/2021,964,858,877,1021,3455,69
2/18/2021,1001,899,918,1050,3493,78
2/19/2021,1038,922,941,1075,3519,79
2/2/2021,734,709,714,807,2343,46
2/20/2021,1048,927,948,1083,3533,95
2/21/2021,1048,927,948,1083,3533,95
2/22/2021,1062,933,958,1094,3554,98
2/23/2021,1080,947,970,1111,3593,100
2/24/2021,1104,961,986,1130,3627,103
2/25/2021,1129,981,1005,1154,3678,104
2/26/2021,1137,992,1017,1173,3711,104
2/27/2021,1143,1002,1019,1175,3714,105
2/28/2021,1143,1002,1021,1175,3722,105
2/3/2021,747,720,719,815,2475,46
2/4/2021,753,726,726,827,2569,46
2/5/2021,770,735,745,851,2644,47
2/6/2021,803,749,757,863,2836,49
2/7/2021,803,749,757,863,2836,49
2/8/2021,834,759,763,871,2894,57
2/9/2021,844,765,772,878,2967,58
3/1/2021,1165,1018,1039,1200,3748,112
3/10/2021,1324,1125,1160,1509,3962,124
3/11/2021,1343,1139,1176,1568,3996,124
3/12/2021,1408,1182,1218,1658,4031,129
3/13/2021,1414,1185,1224,1729,4049,131
3/14/2021,1415,1185,1224,1729,4051,131
3/15/2021,1428,1200,1244,1807,4117,133
3/16/2021,1434,1210,1255,1858,4146,133
3/17/2021,1455,1227,1281,1915,4193,135
3/18/2021,1476,1238,1305,1946,4229,138
3/19/2021,1509,1248,1325,1970,4248,143
3/2/2021,1194,1034,1060,1241,3774,115
3/20/2021,1511,1249,1325,1974,4254,143
3/21/2021,1512,1250,1325,1975,4255,143
3/22/2021,1541,1286,1356,1988,4267,143
3/23/2021,1584,1308,1388,2026,4284,148
3/24/2021,1629,1329,1417,2068,4313,155
3/25/2021,1664,1350,1452,2109,4334,156
3/26/2021,1706,1378,1485,2145,4357,159
3/27/2021,1743,1403,1499,2152,4367,169
3/28/2021,1743,1403,1499,2152,4368,169
3/29/2021,1758,1419,1528,2200,4384,176
3/3/2021,1233,1058,1078,1279,3831,118
3/30/2021,1780,1438,1547,2222,4402,179
3/31/2021,1815,1467,1617,2272,4423,179
3/4/2021,1260,1079,1101,1323,3860,120
3/5/2021,1266,1089,1112,1347,3872,120
3/6/2021,1273,1091,1117,1361,3879,121
3/7/2021,1274,1091,1117,1361,3880,122
3/8/2021,1284,1099,1130,1397,3907,122
3/9/2021,1303,1111,1147,1447,3932,123
4/1/2021,1857,1498,1649,2316,4435,184
4/10/2021,2080,1723,1828,2438,4524,225
4/11/2021,2080,1723,1829,2441,4525,225
4/12/2021,2087,1729,1838,2453,4537,226
4/13/2021,2101,1733,1844,2461,4552,226
4/14/2021,2114,1791,1875,2469,4563,229
4/15/2021,2129,1806,1883,2483,4574,230
4/16/2021,2151,1822,1899,2502,4593,235
4/17/2021,2151,1824,1902,2503,4594,236
4/18/2021,2151,1824,1902,2503,4594,236
4/19/2021,2165,1825,1906,2514,4598,238
4/2/2021,1873,1515,1665,2323,4443,192
4/20/2021,2195,1830,1918,2520,4610,243
4/21/2021,2243,1859,1929,2527,4618,244
4/22/2021,2266,1896,1954,2540,4629,245
4/23/2021,2289,1918,1962,2551,4641,249
4/24/2021,2299,1923,1966,2554,4646,252
4/25/2021,2299,1923,1966,2554,4646,252
4/26/2021,2302,1927,1976,2561,4661,252
4/27/2021,2312,1935,1985,2574,4670,253
4/28/2021,2336,1947,1990,2583,4684,256
4/29/2021,2359,1957,2002,2594,4699,260
4/3/2021,1874,1517,1667,2327,4445,192
4/30/2021,2366,1962,2004,2599,4704,262
4/4/2021,1880,1517,1668,2329,4445,192
4/5/2021,1894,1530,1677,2339,4453,193
4/6/2021,1935,1555,1705,2368,4470,198
4/7/2021,2010,1655,1742,2394,4491,205
4/8/2021,2049,1696,1807,2418,4510,217
4/9/2021,2066,1713,1820,2431,4516,222
5/1/2021,2370,1963,2007,2601,4704,263
5/10/2021,2418,2005,2038,2639,4735,286
5/11/2021,2422,2008,2040,2647,4740,286
5/12/2021,2435,2008,2052,2653,4745,288
5/13/2021,2454,2016,2061,2661,4754,291
5/14/2021,2471,2023,2064,2670,4757,318
5/15/2021,2474,2026,2066,2671,4759,322
5/16/2021,2477,2026,2066,2672,4759,324
5/17/2021,2482,2035,2077,2678,4766,329
5/18/2021,2486,2041,2079,2682,4767,339
5/19/2021,2498,2044,2089,2691,4771,343
5/2/2021,2371,1963,2008,2602,4704,263
5/20/2021,2504,2053,2096,2694,4778,348
5/21/2021,2513,2061,2100,2698,4785,362
5/22/2021,2521,2061,2102,2703,4786,379
5/23/2021,2522,2062,2102,2704,4787,379
5/24/2021,2531,2066,2107,2712,4787,390
5/25/2021,2538,2075,2112,2715,4794,399
