date,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila
1/1/2021,159,153,164,209,207,4
1/1/2022,2955,2121,2671,4877,12228,1598
1/10/2021,303,341,413,525,1042,14
1/11/2021,317,358,430,557,1120,14
1/12/2021,325,362,439,572,1155,14
1/13/2021,330,368,449,580,1192,14
1/14/2021,340,383,467,612,1339,14
1/15/2021,395,429,510,665,1377,20
1/16/2021,395,430,511,666,1379,20
1/17/2021,395,430,511,666,1382,20
1/18/2021,398,438,516,693,1451,20
1/19/2021,411,442,526,708,1508,21
1/2/2021,175,169,187,245,309,7
1/2/2022,2957,2121,2671,4877,12229,1598
1/20/2021,421,451,547,736,1614,22
1/21/2021,436,463,555,771,1824,22
1/22/2021,451,472,562,783,1887,23
1/23/2021,455,477,564,789,2001,23
1/24/2021,455,477,565,790,2010,23
1/25/2021,470,485,576,809,2075,23
1/26/2021,476,488,576,811,2089,23
1/27/2021,489,505,585,822,2264,27
1/28/2021,509,531,618,877,2515,27
1/29/2021,535,550,648,910,2630,30
1/3/2021,176,169,187,247,309,7
1/3/2022,2964,2125,2675,4879,12230,1608
1/30/2021,568,562,659,926,2750,37
1/31/2021,568,562,659,927,2754,37
1/4/2021,190,185,220,285,358,7
1/4/2022,2967,2126,2680,4881,12234,1622
1/5/2021,210,219,278,344,493,8
1/5/2022,2973,2131,2683,4883,12239,1634
1/6/2021,221,245,316,401,630,10
1/6/2022,2990,2139,2691,4889,12245,1640
1/7/2021,267,310,358,462,842,13
1/7/2022,2996,2143,2693,4897,12247,1670
1/8/2021,298,340,406,523,1023,14
1/8/2022,2997,2143,2693,4900,12248,1677
1/9/2021,303,341,413,525,1042,14
10/1/2021,2631,1936,2488,4548,11672,1140
10/10/2021,2653,1951,2499,4565,11697,1152
10/11/2021,2654,1954,2501,4565,11702,1155
10/12/2021,2658,1956,2503,4568,11708,1157
10/13/2021,2661,1959,2504,4571,11716,1159
10/14/2021,2666,1962,2509,4579,11720,1161
10/15/2021,2673,1963,2513,4586,11721,1161
10/16/2021,2674,1963,2513,4587,11721,1161
10/17/2021,2675,1963,2513,4587,11723,1161
10/18/2021,2680,1964,2514,4590,11729,1161
10/19/2021,2683,1967,2517,4594,11729,1162
10/2/2021,2631,1938,2489,4549,11673,1140
10/20/2021,2683,1967,2523,4599,11732,1162
10/21/2021,2686,1970,2527,4607,11745,1163
10/22/2021,2689,1973,2529,4609,11756,1165
10/23/2021,2691,1973,2531,4610,11761,1169
10/24/2021,2691,1974,2532,4610,11762,1169
10/25/2021,2693,1975,2534,4615,11768,1170
10/26/2021,2696,1976,2537,4622,11773,1172
10/27/2021,2699,1976,2538,4629,11781,1172
10/28/2021,2712,1990,2544,4632,11788,1172
10/29/2021,2716,1994,2547,4636,11798,1174
10/3/2021,2631,1939,2489,4550,11675,1140
10/30/2021,2717,1996,2548,4638,11802,1174
10/31/2021,2718,1996,2550,4638,11805,1174
10/4/2021,2633,1942,2490,4553,11683,1143
10/5/2021,2637,1945,2493,4553,11688,1149
10/6/2021,2640,1945,2496,4559,11689,1150
10/7/2021,2649,1950,2496,4561,11691,1150
10/8/2021,2650,1951,2498,4562,11696,1151
10/9/2021,2650,1951,2499,4565,11697,1151
11/1/2021,2722,1999,2551,4642,11817,1174
11/10/2021,2751,2016,2573,4679,11899,1249
11/11/2021,2753,2017,2574,4682,11908,1261
11/12/2021,2762,2020,2575,4686,11914,1277
11/13/2021,2762,2020,2578,4687,11918,1285
11/14/2021,2765,2020,2580,4688,11920,1285
11/15/2021,2768,2023,2581,4698,11931,1287
11/16/2021,2773,2023,2583,4703,11945,1290
11/17/2021,2781,2028,2586,4709,11955,1291
11/18/2021,2786,2032,2591,4713,11967,1305
11/19/2021,2790,2038,2592,4719,11979,1326
11/2/2021,2724,2002,2555,4646,11825,1174
11/20/2021,2796,2038,2592,4720,11984,1328
11/21/2021,2798,2039,2592,4723,11985,1328
11/22/2021,2806,2041,2596,4733,11997,1334
11/23/2021,2813,2041,2601,4739,12004,1340
11/24/2021,2814,2044,2606,4744,12009,1351
11/25/2021,2814,2044,2606,4744,12009,1351
11/26/2021,2818,2044,2607,4747,12011,1355
11/27/2021,2818,2045,2607,4748,12013,1356
11/28/2021,2819,2045,2607,4748,12015,1358
11/29/2021,2834,2049,2614,4752,12022,1360
11/3/2021,2727,2002,2558,4649,11840,1178
11/30/2021,2847,2057,2616,4754,12028,1365
11/4/2021,2732,2004,2559,4653,11849,1178
11/5/2021,2733,2007,2561,4663,11859,1220
11/6/2021,2733,2008,2561,4666,11864,1224
11/7/2021,2733,2011,2563,4666,11865,1226
11/8/2021,2737,2012,2568,4672,11879,1232
11/9/2021,2744,2014,2570,4674,11887,1243
12/1/2020,1,,,,,
12/1/2021,2857,2061,2618,4761,12040,1381
12/10/2020,1,,,,,
12/10/2021,2901,2082,2639,4804,12112,1456
12/11/2020,1,,,,,
12/11/2021,2902,2083,2640,4804,12114,1458
12/12/2020,1,,,,,
12/12/2021,2903,2083,2641,4806,12117,1460
12/13/2020,1,,,,,
12/13/2021,2903,2085,2643,4808,12128,1463
12/14/2020,1,,,,,
12/14/2021,2907,2088,2645,4813,12134,1464
12/15/2020,1,,,,,
12/15/2021,2909,2089,2646,4816,12137,1464
12/16/2020,1,,,,,
12/16/2021,2911,2094,2647,4821,12148,1481
12/17/2020,21,16,15,12,4,1
12/17/2021,2922,2099,2649,4822,12151,1515
12/18/2020,33,29,20,17,9,1
12/18/2021,2925,2099,2650,4824,12153,1516
12/19/2020,33,29,20,19,9,1
12/19/2021,2926,2100,2653,4827,12154,1516
12/2/2020,1,,,,,
12/2/2021,2864,2065,2624,4767,12046,1393
12/20/2020,33,30,20,19,9,1
12/20/2021,2927,2102,2653,4832,12161,1520
12/21/2020,39,41,27,27,13,1
12/21/2021,2929,2102,2655,4836,12178,1527
12/22/2020,42,45,32,32,18,1
12/22/2021,2932,2103,2659,4845,12184,1535
12/23/2020,53,57,38,46,29,1
12/23/2021,2936,2104,2662,4850,12189,1541
12/24/2020,66,72,51,66,36,1
12/24/2021,2936,2104,2662,4851,12191,1542
12/25/2020,66,72,51,66,36,1
12/25/2021,2936,2104,2662,4851,12191,1542
12/26/2020,71,78,56,75,39,1
12/26/2021,2938,2106,2663,4852,12191,1542
12/27/2020,71,78,57,75,39,1
12/27/2021,2942,2107,2666,4861,12202,1544
12/28/2020,91,99,84,104,74,3
