date,Gila_cume,Gila
2020-12-01,1,
2020-12-17,69,68
2020-12-18,109,40
2020-12-19,111,2
2020-12-20,112,1
2020-12-21,148,36
2020-12-22,170,22
2020-12-23,224,54
2020-12-24,293,69
2020-12-26,327,34
2020-12-27,328,1
2020-12-28,463,135
2020-12-29,588,125
2020-12-30,749,161
2020-12-31,914,165
2021-01-01,919,5
2021-01-02,1115,196
2021-01-03,1118,3
2021-01-04,1269,151
2021-01-05,1579,310
2021-01-06,1859,280
2021-01-07,2356,497
2021-01-08,2742,386
2021-01-09,2780,38
2021-01-10,2781,1
2021-01-11,2967,186
2021-01-12,3061,94
2021-01-13,3158,97
2021-01-14,3407,249
2021-01-15,3658,251
2021-01-16,3664,6
2021-01-17,3667,3
2021-01-18,3821,154
2021-01-19,4022,201
2021-01-20,4309,287
2021-01-21,4635,326
2021-01-22,4755,120
2021-01-23,4905,150
2021-01-24,4918,13
2021-01-25,5125,207
2021-01-26,5244,119
2021-01-27,5605,361
2021-01-28,6131,526
2021-01-29,6432,301
2021-01-30,6670,238
2021-01-31,6678,8
2021-02-01,7038,360
2021-02-02,7695,657
2021-02-03,8393,698
2021-02-04,9406,1013
2021-02-05,10196,790
2021-02-06,10649,453
2021-02-07,10668,19
2021-02-08,11002,334
2021-02-09,11445,443
2021-02-10,11860,415
2021-02-11,12210,350
2021-02-12,12544,334
2021-02-13,13345,801
2021-02-14,13800,455
2021-02-15,14018,218
2021-02-16,14426,408
2021-02-17,14752,326
2021-02-18,15045,293
2021-02-19,15367,322
2021-02-20,15569,202
2021-02-21,15573,4
2021-02-22,15716,143
2021-02-23,15988,272
2021-02-24,16198,210
2021-02-25,16602,404
2021-02-26,16982,380
2021-02-27,18732,1750
2021-02-28,19621,889
2021-03-01,19874,253
2021-03-02,20246,372
2021-03-03,20575,329
2021-03-04,21302,727
2021-03-05,21562,260
2021-03-06,21951,389
2021-03-07,21963,12
2021-03-08,22181,218
2021-03-09,22478,297
2021-03-10,22787,309
2021-03-11,24077,1290
2021-03-12,24460,383
2021-03-13,25571,1111
2021-03-14,26010,439
2021-03-15,26195,185
2021-03-16,26496,301
2021-03-17,26647,151
2021-03-18,26972,325
2021-03-19,27230,258
2021-03-20,27566,336
2021-03-21,27581,15
2021-03-22,27755,174
2021-03-23,27928,173
2021-03-24,28062,134
2021-03-25,28334,272
2021-03-26,28509,175
2021-03-27,30179,1670
2021-03-28,30982,803
2021-03-29,31244,262
2021-03-30,31366,122
2021-03-31,31519,153
2021-04-01,32146,627
2021-04-02,32341,195
2021-04-03,32384,43
2021-04-04,32389,5
2021-04-05,32526,137
2021-04-06,32943,417
2021-04-07,33123,180
2021-04-08,33413,290
2021-04-09,33603,190
2021-04-10,34137,534
2021-04-11,34154,17
2021-04-12,34315,161
2021-04-13,34425,110
2021-04-14,34494,69
2021-04-15,34684,190
2021-04-16,34806,122
2021-04-17,35171,365
2021-04-18,35188,17
2021-04-19,35303,115
2021-04-20,35407,104
