date,Yuma_cume,Yuma
2020-12-01,8,
2020-12-03,9,1
2020-12-04,10,1
2020-12-08,11,1
2020-12-10,12,1
2020-12-12,14,2
2020-12-16,20,6
2020-12-17,45,25
2020-12-18,46,1
2020-12-19,50,4
2020-12-20,53,3
2020-12-21,227,174
2020-12-22,876,649
2020-12-23,1616,740
2020-12-24,1837,221
2020-12-26,1936,99
2020-12-27,1937,1
2020-12-28,2357,420
2020-12-29,2692,335
2020-12-30,3102,410
2020-12-31,3186,84
2021-01-01,3239,53
2021-01-02,3247,8
2021-01-03,3250,3
2021-01-04,3483,233
2021-01-05,3821,338
2021-01-06,4300,479
2021-01-07,4518,218
2021-01-08,4794,276
2021-01-09,4811,17
2021-01-10,4834,23
2021-01-11,5470,636
2021-01-12,6099,629
2021-01-13,6797,698
2021-01-14,6988,191
2021-01-15,7184,196
2021-01-16,7202,18
2021-01-17,7215,13
2021-01-18,7265,50
2021-01-19,7774,509
2021-01-20,8334,560
2021-01-21,9936,1602
2021-01-22,11386,1450
2021-01-23,11562,176
2021-01-24,11583,21
2021-01-25,12028,445
2021-01-26,12839,811
2021-01-27,14233,1394
2021-01-28,16135,1902
2021-01-29,17981,1846
2021-01-30,19046,1065
2021-01-31,19071,25
2021-02-01,19923,852
2021-02-02,20954,1031
2021-02-03,22357,1403
2021-02-04,23366,1009
2021-02-05,24011,645
2021-02-06,24093,82
2021-02-07,24135,42
2021-02-08,24512,377
2021-02-09,25348,836
2021-02-10,27369,2021
2021-02-11,29521,2152
2021-02-12,31150,1629
2021-02-13,31970,820
2021-02-14,31994,24
2021-02-15,32123,129
2021-02-16,32501,378
2021-02-17,32862,361
2021-02-18,33409,547
2021-02-19,34174,765
2021-02-20,34518,344
2021-02-21,34550,32
2021-02-22,34610,60
2021-02-23,35791,1181
2021-02-24,38207,2416
2021-02-25,40851,2644
2021-02-26,43281,2430
2021-02-27,44145,864
2021-02-28,44448,303
2021-03-01,46123,1675
2021-03-02,47356,1233
2021-03-03,48538,1182
2021-03-04,51099,2561
2021-03-05,54473,3374
2021-03-06,54731,258
2021-03-07,54895,164
2021-03-08,55739,844
2021-03-09,57568,1829
2021-03-10,59419,1851
2021-03-11,62392,2973
2021-03-12,65206,2814
2021-03-13,66678,1472
2021-03-14,66879,201
2021-03-15,67671,792
2021-03-16,69194,1523
2021-03-17,71219,2025
2021-03-18,74824,3605
2021-03-19,77791,2967
2021-03-20,79005,1214
2021-03-21,79331,326
2021-03-22,79807,476
2021-03-23,81213,1406
2021-03-24,83456,2243
2021-03-25,85509,2053
2021-03-26,87755,2246
2021-03-27,88355,600
2021-03-28,88585,230
2021-03-29,89989,1404
2021-03-30,93587,3598
2021-03-31,97298,3711
2021-04-01,101003,3705
2021-04-02,103722,2719
2021-04-03,105344,1622
2021-04-04,106856,1512
2021-04-05,108948,2092
2021-04-06,111635,2687
2021-04-07,114577,2942
2021-04-08,117712,3135
2021-04-09,120444,2732
2021-04-10,121721,1277
2021-04-11,122313,592
2021-04-12,123094,781
2021-04-13,124293,1199
2021-04-14,126894,2601
2021-04-15,129645,2751
2021-04-16,132702,3057
2021-04-17,133626,924
2021-04-18,134268,642
2021-04-19,136313,2045
2021-04-20,139135,2822
2021-04-21,141713,2578
2021-04-22,143992,2279
2021-04-23,147115,3123
2021-04-24,148467,1352
2021-04-25,149491,1024
2021-04-26,150846,1355
2021-04-27,154501,3655
2021-04-28,157076,2575
2021-04-29,159508,2432
2021-04-30,161905,2397
2021-05-01,162908,1003
2021-05-02,163521,613
2021-05-03,164629,1108
2021-05-04,166238,1609
2021-05-05,167763,1525
2021-05-06,169424,1661
2021-05-07,171043,1619
2021-05-08,171569,526
2021-05-09,171804,235
2021-05-10,172485,681
2021-05-11,173363,878
2021-05-12,174827,1464
2021-05-13,176012,1185
2021-05-14,177365,1353
2021-05-15,178489,1124
2021-05-16,178639,150
2021-05-17,179330,691
2021-05-18,180020,690
2021-05-19,181215,1195
2021-05-20,182159,944
2021-05-21,183172,1013
2021-05-22,183756,584
2021-05-23,183898,142
2021-05-24,184388,490
2021-05-25,185162,774
2021-05-26,186311,1149
2021-05-27,187354,1043
2021-05-28,188469,1115
2021-05-29,188676,207
2021-05-30,188818,142
2021-05-31,188926,108
2021-06-01,189585,659
2021-06-02,190775,1190
2021-06-03,191706,931
2021-06-04,192678,972
2021-06-05,193508,830
2021-06-06,193618,110
2021-06-07,194154,536
2021-06-08,194809,655
2021-06-09,195819,1010
2021-06-10,196750,931
2021-06-11,197766,1016
2021-06-12,198165,399
2021-06-13,198262,97
2021-06-14,198845,583
2021-06-15,199593,748
2021-06-16,200329,736
2021-06-17,200979,650
2021-06-18,201649,670
2021-06-19,201866,217
2021-06-20,201946,80
2021-06-21,202373,427
2021-06-22,203346,973
2021-06-23,205134,1788
2021-06-24,206667,1533
2021-06-25,207392,725
2021-06-26,207671,279
2021-06-27,207778,107
2021-06-28,208322,544
2021-06-29,209125,803
2021-06-30,209790,665
2021-07-01,210630,840
2021-07-02,211172,542
2021-07-03,211338,166
2021-07-04,211353,15
2021-07-05,211556,203
2021-07-06,212065,509
2021-07-07,212657,592
2021-07-08,213101,444
2021-07-09,213573,472
2021-07-10,213779,206
2021-07-11,213865,86
2021-07-12,214393,528
2021-07-13,214856,463
2021-07-14,215304,448
2021-07-15,215763,459
2021-07-16,216313,550
2021-07-17,216502,189
2021-07-18,216624,122
2021-07-19,217064,440
2021-07-20,217554,490
2021-07-21,218045,491
2021-07-22,218586,541
2021-07-23,219138,552
2021-07-24,219389,251
2021-07-25,219481,92
2021-07-26,220047,566
2021-07-27,220662,615
2021-07-28,221298,636
2021-07-29,221934,636
2021-07-30,222509,575
2021-07-31,222740,231
2021-08-01,222866,126
2021-08-02,223368,502
2021-08-03,223927,559
2021-08-04,224516,589
2021-08-05,225015,499
2021-08-06,225649,634
2021-08-07,225968,319
2021-08-08,226137,169
2021-08-09,226818,681
2021-08-10,227935,1117
2021-08-11,228536,601
2021-08-12,229179,643
2021-08-13,230752,1573
2021-08-14,231097,345
2021-08-15,231269,172
2021-08-16,231994,725
2021-08-17,232656,662
2021-08-18,233391,735
2021-08-19,234044,653
2021-08-20,234790,746
2021-08-21,235096,306
2021-08-22,235240,144
2021-08-23,235854,614
2021-08-24,236488,634
2021-08-25,237131,643
2021-08-26,237805,674
2021-08-27,238567,762
2021-08-28,238843,276
2021-08-29,239049,206
2021-08-30,239701,652
2021-08-31,240216,515
2021-09-01,240794,578
2021-09-02,241508,714
2021-09-03,242233,725
