Category,Apache
Total_doses_administered,16152
Total_people_one_dose,9218
Total_people_complete,7701
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1600
Male-55-64 years,811
Male-45-54 years,467
Male-20-44 years,818
Male-Less than 20 years,784
Female-65 years and older,1648
Female-55-64 years,926
Female-45-54 years,531
Female-20-44 years,809
Female-Less than 20 years,819
"Asian or Pacific Islander, non-Hispanic",0.0118246908223042
"Black or African American, non-Hispanic",0.0151876762855283
Other Race,0.0477326968973747
Hispanic or Latino,0.1006725970926448
Unknown,0.1901714037752224
"White, non-Hispanic",0.24788457366023
"American Indian or Alaska Native, non-Hispanic",0.3865263614666956
