Category,value
tests,4285668
Apache,28024
Cochise,55137
Coconino,89690
Gila,27598
Graham,11610
Greenlee,1944
La Paz,7044
Maricopa,2559491
Mohave,96074
Navajo,55072
Pima,639997
Pinal,259524
Santa Cruz,28888
Yavapai,102350
Yuma,133288
Unknown,10257
65 years and older,690449
55 - 64 years,529097
45 - 54 years,554938
20 - 44 years,1730637
Less than 20 years,770290
positive,0.133394607
