date,Arizona,Arizona_cum,StatePODs,StatePODs_cum
2021-05-05 00:00:00,17931,5199770,3456.0,1488699.0
2021-05-04 00:00:00,21527,5181839,7600.0,1485243.0
2021-05-03 00:00:00,15647,5160312,3724.0,1477643.0
2021-05-02 00:00:00,17993,5144665,10462.0,1473919.0
2021-05-01 00:00:00,22681,5126672,6914.0,1463457.0
2021-04-30 00:00:00,38954,5103991,8295.0,1456543.0
2021-04-29 00:00:00,42961,5065037,9758.0,1448248.0
2021-04-28 00:00:00,45994,5022076,9538.0,1438490.0
2021-04-27 00:00:00,42267,4976082,10568.0,1428952.0
2021-04-26 00:00:00,38672,4933815,11525.0,1418384.0
2021-04-25 00:00:00,25130,4895143,13486.0,1406859.0
2021-04-24 00:00:00,38616,4870013,14498.0,1393373.0
2021-04-23 00:00:00,55552,4831397,17211.0,1378875.0
2021-04-22 00:00:00,59562,4775845,17939.0,1361664.0
2021-04-21 00:00:00,57666,4716283,16549.0,1343725.0
2021-04-20 00:00:00,52407,4658617,16611.0,1327176.0
2021-04-19 00:00:00,51255,4606210,16501.0,1310565.0
2021-04-18 00:00:00,29112,4554955,15770.0,1294064.0
2021-04-17 00:00:00,42061,4525843,16624.0,1278294.0
2021-04-16 00:00:00,61878,4483782,17751.0,1261670.0
2021-04-15 00:00:00,63173,4421904,17045.0,1243919.0
2021-04-14 00:00:00,59166,4358731,16564.0,1226874.0
2021-04-13 00:00:00,49533,4299565,14773.0,1210310.0
2021-04-12 00:00:00,51056,4250032,13268.0,1195537.0
2021-04-11 00:00:00,30584,4198976,16815.0,1182269.0
2021-04-10 00:00:00,47248,4168392,17694.0,1165454.0
2021-04-09 00:00:00,68670,4121144,18209.0,1147760.0
2021-04-08 00:00:00,73526,4052474,16987.0,1129551.0
2021-04-07 00:00:00,73319,3978948,18041.0,1112564.0
2021-04-06 00:00:00,64547,3905629,16627.0,1094523.0
2021-04-05 00:00:00,57279,3841082,16488.0,1077896.0
2021-04-04 00:00:00,20878,3783803,10412.0,1061408.0
2021-04-03 00:00:00,48394,3762925,23328.0,1050996.0
2021-04-02 00:00:00,68058,3714531,24781.0,1027668.0
