date,Maricopa_cume,Maricopa
2020-12-01 00:00:00,24,
2020-12-02 00:00:00,30,6
2020-12-03 00:00:00,35,5
2020-12-04 00:00:00,36,1
2020-12-08 00:00:00,37,1
2020-12-09 00:00:00,41,4
2020-12-10 00:00:00,46,5
2020-12-11 00:00:00,50,4
2020-12-12 00:00:00,52,2
2020-12-14 00:00:00,55,3
2020-12-15 00:00:00,62,7
2020-12-16 00:00:00,91,29
2020-12-17 00:00:00,1333,1242
2020-12-18 00:00:00,2985,1652
2020-12-19 00:00:00,4667,1682
2020-12-20 00:00:00,5632,965
2020-12-21 00:00:00,8878,3246
2020-12-22 00:00:00,13115,4237
2020-12-23 00:00:00,17928,4813
2020-12-24 00:00:00,19486,1558
2020-12-25 00:00:00,19487,1
2020-12-26 00:00:00,24596,5109
2020-12-27 00:00:00,26908,2312
2020-12-28 00:00:00,32076,5168
2020-12-29 00:00:00,40064,7988
2020-12-30 00:00:00,48894,8830
2020-12-31 00:00:00,52656,3762
2021-01-01 00:00:00,52955,299
2021-01-02 00:00:00,59141,6186
2021-01-03 00:00:00,61822,2681
2021-01-04 00:00:00,66405,4583
2021-01-05 00:00:00,70699,4294
2021-01-06 00:00:00,75707,5008
2021-01-07 00:00:00,80961,5254
2021-01-08 00:00:00,85504,4543
2021-01-09 00:00:00,90129,4625
2021-01-10 00:00:00,92829,2700
2021-01-11 00:00:00,101773,8944
2021-01-12 00:00:00,112482,10709
2021-01-13 00:00:00,123995,11513
2021-01-14 00:00:00,135390,11395
2021-01-15 00:00:00,145127,9737
2021-01-16 00:00:00,151467,6340
2021-01-17 00:00:00,154171,2704
2021-01-18 00:00:00,160934,6763
2021-01-19 00:00:00,173077,12143
2021-01-20 00:00:00,186256,13179
2021-01-21 00:00:00,200642,14386
2021-01-22 00:00:00,217813,17171
2021-01-23 00:00:00,231631,13818
2021-01-24 00:00:00,238845,7214
2021-01-25 00:00:00,250206,11361
2021-01-26 00:00:00,267042,16836
2021-01-27 00:00:00,282818,15776
2021-01-28 00:00:00,297071,14253
2021-01-29 00:00:00,314188,17117
2021-01-30 00:00:00,325498,11310
2021-01-31 00:00:00,328975,3477
2021-02-01 00:00:00,337259,8284
2021-02-02 00:00:00,351486,14227
2021-02-03 00:00:00,365609,14123
2021-02-04 00:00:00,382308,16699
2021-02-05 00:00:00,397234,14926
2021-02-06 00:00:00,411625,14391
2021-02-07 00:00:00,414041,2416
2021-02-08 00:00:00,425182,11141
2021-02-09 00:00:00,443065,17883
2021-02-10 00:00:00,459444,16379
2021-02-11 00:00:00,476503,17059
2021-02-12 00:00:00,503116,26613
2021-02-13 00:00:00,522778,19662
2021-02-14 00:00:00,526602,3824
2021-02-15 00:00:00,535774,9172
2021-02-16 00:00:00,553795,18021
2021-02-17 00:00:00,573175,19380
2021-02-18 00:00:00,593209,20034
2021-02-19 00:00:00,613889,20680
2021-02-20 00:00:00,629893,16004
2021-02-21 00:00:00,632818,2925
2021-02-22 00:00:00,642062,9244
2021-02-23 00:00:00,661397,19335
2021-02-24 00:00:00,682597,21200
2021-02-25 00:00:00,702390,19793
2021-02-26 00:00:00,728985,26595
2021-02-27 00:00:00,748150,19165
2021-02-28 00:00:00,752117,3967
2021-03-01 00:00:00,765870,13753
2021-03-02 00:00:00,783057,17187
2021-03-03 00:00:00,801255,18198
2021-03-04 00:00:00,819704,18449
2021-03-05 00:00:00,839251,19547
2021-03-06 00:00:00,853672,14421
2021-03-07 00:00:00,858392,4720
2021-03-08 00:00:00,875103,16711
2021-03-09 00:00:00,894441,19338
2021-03-10 00:00:00,916822,22381
2021-03-11 00:00:00,940077,23255
2021-03-12 00:00:00,969256,29179
2021-03-13 00:00:00,986308,17052
2021-03-14 00:00:00,993408,7100
