date,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise
1/1/2021,333,322,277,279,205,3
1/10/2021,454,456,387,388,636,6
1/11/2021,466,471,408,405,834,6
1/12/2021,472,477,413,415,1047,6
1/13/2021,491,510,435,439,1359,6
1/14/2021,496,518,448,450,1607,6
1/15/2021,501,525,458,460,2034,6
1/16/2021,517,530,466,472,2390,6
1/17/2021,520,531,469,473,2403,6
1/18/2021,523,536,476,482,2579,6
1/19/2021,540,548,488,497,2784,6
1/2/2021,334,325,280,282,208,3
1/20/2021,549,563,503,521,3161,6
1/21/2021,555,577,516,542,3540,6
1/22/2021,568,585,524,550,3707,6
1/23/2021,594,622,559,584,4065,6
1/24/2021,604,626,565,605,4137,6
1/25/2021,626,645,601,648,4325,6
1/26/2021,647,689,649,706,4541,8
1/27/2021,676,726,691,752,4925,8
1/28/2021,726,764,746,827,5538,9
1/29/2021,766,809,815,895,5906,10
1/3/2021,346,339,291,296,233,3
1/30/2021,768,814,817,900,5924,10
1/31/2021,773,817,821,908,5951,10
1/4/2021,352,348,296,298,254,3
1/5/2021,371,375,310,313,263,3
1/6/2021,392,394,328,337,280,4
1/7/2021,400,400,338,346,310,4
1/8/2021,430,433,367,369,340,5
1/9/2021,448,453,387,386,633,6
10/1/2021,12507,8518,8092,11048,22671,6111
10/10/2021,12653,8598,8180,11099,22725,6189
10/11/2021,12667,8610,8188,11104,22733,6199
10/12/2021,12687,8616,8193,11109,22736,6211
10/13/2021,12705,8634,8198,11112,22740,6223
10/14/2021,12739,8652,8217,11129,22751,6235
10/15/2021,12757,8667,8229,11143,22758,6241
10/16/2021,12789,8695,8242,11152,22762,6797
10/17/2021,12798,8697,8247,11153,22766,6804
10/18/2021,12816,8720,8258,11163,22775,6817
10/19/2021,12834,8728,8269,11175,22783,6824
10/2/2021,12515,8519,8096,11051,22672,6118
10/20/2021,12841,8740,8274,11180,22788,6828
10/21/2021,12851,8751,8282,11191,22795,6833
10/22/2021,12873,8772,8290,11200,22814,6850
10/23/2021,12883,8773,8291,11205,22822,6853
10/24/2021,12888,8774,8294,11210,22830,6854
10/25/2021,12889,8777,8299,11211,22835,6854
10/3/2021,12519,8520,8098,11051,22672,6119
10/4/2021,12540,8525,8114,11055,22680,6126
10/5/2021,12571,8539,8124,11063,22684,6136
10/6/2021,12592,8556,8144,11070,22694,6144
10/7/2021,12616,8568,8156,11081,22704,6161
10/8/2021,12631,8587,8170,11096,22721,6181
10/9/2021,12647,8594,8176,11098,22723,6189
12/1/2020,,1,,1,1,
12/10/2020,,1,,1,1,
12/11/2020,,1,,1,1,
12/12/2020,,1,,1,1,
12/13/2020,,1,,1,1,
12/14/2020,,1,,1,1,
12/15/2020,,1,1,1,1,
12/16/2020,,1,2,1,1,
12/17/2020,,1,7,4,4,
12/18/2020,1,3,8,8,4,
12/19/2020,1,5,10,9,5,
12/2/2020,,1,,1,1,
12/20/2020,1,5,10,9,5,
12/21/2020,3,7,11,13,7,
12/22/2020,72,82,63,61,18,
12/23/2020,179,181,154,151,43,1
12/24/2020,209,210,179,166,53,1
12/25/2020,209,210,179,166,53,1
12/26/2020,211,215,181,177,54,1
12/27/2020,211,215,181,177,54,1
12/28/2020,227,230,201,196,66,1
12/29/2020,243,249,214,215,73,1
12/3/2020,,1,,1,1,
12/30/2020,287,285,250,248,128,1
12/31/2020,331,319,274,278,187,3
12/4/2020,,1,,1,1,
12/5/2020,,1,,1,1,
12/6/2020,,1,,1,1,
12/7/2020,,1,,1,1,
12/8/2020,,1,,1,1,
12/9/2020,,1,,1,1,
2/1/2021,781,833,832,927,6111,10
2/10/2021,1041,1074,1075,1224,8025,18
2/11/2021,1157,1188,1208,1383,9055,21
2/12/2021,1227,1247,1272,1459,9731,26
2/13/2021,1251,1262,1295,1491,9916,27
2/14/2021,1251,1263,1295,1491,9928,27
2/15/2021,1254,1274,1309,1505,10083,27
2/16/2021,1261,1280,1317,1529,10315,29
2/17/2021,1267,1287,1332,1553,10492,29
2/18/2021,1272,1299,1348,1576,10681,29
2/19/2021,1276,1304,1360,1591,10864,30
2/2/2021,788,845,843,944,6254,11
2/20/2021,1281,1310,1369,1598,10876,30
2/21/2021,1282,1310,1371,1603,10883,30
2/22/2021,1283,1315,1377,1611,10918,30
2/23/2021,1285,1315,1378,1612,10963,30
2/24/2021,1318,1337,1406,1636,11194,30
2/25/2021,1358,1360,1457,1735,11941,32
2/26/2021,1395,1389,1495,1815,12395,34
2/27/2021,1455,1444,1556,1903,12707,36
2/28/2021,1457,1446,1558,1905,12737,36
2/3/2021,814,874,868,973,6524,12
2/4/2021,834,892,884,1000,6787,13
2/5/2021,869,932,941,1040,6975,14
2/6/2021,872,933,947,1053,7058,14
2/7/2021,873,936,948,1055,7075,14
2/8/2021,883,945,958,1070,7189,15
2/9/2021,918,980,1002,1123,7488,16
3/1/2021,1459,1454,1566,1937,12972,39
3/10/2021,1713,1729,1911,3823,15659,55
3/11/2021,1765,1778,1980,4053,15952,58
3/12/2021,1803,1815,2008,4224,16132,61
3/13/2021,1826,1838,2032,4357,16287,62
3/14/2021,1828,1840,2033,4366,16303,62
3/15/2021,1888,1881,2074,4665,16530,64
3/16/2021,1949,1937,2159,4868,16723,72
3/17/2021,1991,1987,2222,5087,16960,84
3/18/2021,2129,2070,2389,5397,17338,96
3/19/2021,2201,2135,2510,5651,17581,107
3/2/2021,1467,1466,1581,1980,13211,39
3/20/2021,2260,2188,2720,5974,17819,110
3/21/2021,2265,2195,2734,5982,17825,110
3/22/2021,2295,2239,2837,6148,17953,112
3/23/2021,2333,2270,2907,6227,18024,121
3/24/2021,2410,2336,3000,6391,18162,144
3/25/2021,2738,2601,3269,6665,18408,192
3/26/2021,2932,2704,3420,6832,18570,223
3/27/2021,3068,2835,3563,6895,18614,235
3/28/2021,3074,2840,3565,6899,18620,239
3/29/2021,3135,2873,3614,7004,18687,250
3/3/2021,1502,1509,1629,2102,13716,43
3/30/2021,3241,2942,3668,7062,18742,277
3/31/2021,3385,3053,3859,7165,18854,303
3/4/2021,1557,1575,1701,2630,14312,45
3/5/2021,1591,1604,1737,2856,14677,49
3/6/2021,1603,1617,1769,3122,15127,49
3/7/2021,1605,1620,1776,3140,15148,50
3/8/2021,1616,1632,1786,3274,15304,50
3/9/2021,1670,1698,1873,3632,15487,53
4/1/2021,3586,3233,4021,7342,19025,332
4/10/2021,4988,4215,4887,8186,19853,609
4/11/2021,5013,4224,4894,8202,19863,618
4/12/2021,5118,4307,4958,8278,19951,638
4/13/2021,5180,4349,5003,8321,20013,655
4/14/2021,5280,4427,5050,8367,20059,665
4/15/2021,5441,4603,5183,8468,20148,678
4/16/2021,5542,4685,5260,8541,20216,690
4/17/2021,5585,4723,5285,8571,20242,698
4/18/2021,5593,4726,5289,8575,20244,704
4/19/2021,5661,4759,5345,8629,20281,715
4/2/2021,3777,3361,4161,7439,19140,363
4/20/2021,5709,4796,5378,8673,20336,722
4/21/2021,5821,4868,5427,8736,20386,742
4/22/2021,5931,4962,5498,8810,20437,764
4/23/2021,6032,5024,5567,8855,20468,780
4/24/2021,6076,5048,5591,8875,20489,800
4/25/2021,6081,5053,5596,8878,20493,804
4/26/2021,6124,5085,5639,8913,20535,822
4/27/2021,6162,5111,5669,8950,20562,835
4/28/2021,6236,5152,5737,8988,20608,848
4/29/2021,6337,5227,5803,9043,20680,863
4/3/2021,3891,3448,4228,7480,19183,383
4/30/2021,6402,5264,5839,9085,20732,876
4/4/2021,3900,3450,4233,7485,19186,392
4/5/2021,3961,3500,4288,7551,19253,407
4/6/2021,4131,3581,4359,7640,19362,444
4/7/2021,4411,3833,4543,7811,19507,486
4/8/2021,4648,4012,4684,7988,19683,529
4/9/2021,4850,4127,4818,8101,19787,580
5/1/2021,6426,5285,5851,9098,20747,890
5/10/2021,6722,5494,6049,9287,20936,1157
5/11/2021,6751,5507,6068,9295,20956,1191
5/12/2021,6782,5530,6089,9324,20986,1238
5/13/2021,6865,5573,6126,9352,21038,1328
5/14/2021,6905,5603,6146,9388,21064,1428
5/15/2021,6925,5610,6165,9399,21074,1565
5/16/2021,6940,5621,6172,9400,21076,1579
5/17/2021,6991,5657,6194,9421,21108,1658
5/18/2021,7056,5697,6218,9448,21137,1729
