date,pcr_tests,pcr_pos_test,pcr_positivity,pcr_tests_APACHE,pcr_pos_test_APACHE,pcr_positivity_APACHE,pcr_tests_YUMA,pcr_pos_test_YUMA,pcr_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_test_YAVAPAI,pcr_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_test_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_test_PINAL,pcr_positivity_PINAL,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_test_MOHAVE,pcr_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_test_MARICOPA,pcr_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_test_GREENLEE,pcr_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_test_GRAHAM,pcr_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA,pcr_tests_COCONINO,pcr_pos_test_COCONINO,pcr_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2021-10-25 00:00:00,373,11,0.0294906166219839,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,56.0,3.0,0.0535714285714286,,,,11.0,0.0,0.0,190.0,8.0,0.0421052631578947,,,,,,,,,,87.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
2021-10-24 00:00:00,6253,752,0.120262274108428,67.0,9.0,0.1343283582089552,80.0,11.0,0.1375,140.0,35.0,0.25,25.0,1.0,0.04,329.0,59.0,0.1793313069908815,1049.0,134.0,0.1277407054337465,138.0,13.0,0.0942028985507246,76.0,10.0,0.1315789473684211,3982.0,456.0,0.1145153189352085,6.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,29.0,1.0,0.0344827586206897,97.0,13.0,0.134020618556701,44.0,3.0,0.0681818181818182
2021-10-23 00:00:00,13475,1775,0.1317254174397032,97.0,24.0,0.2474226804123712,123.0,27.0,0.2195121951219512,239.0,49.0,0.2050209205020921,41.0,5.0,0.1219512195121951,898.0,132.0,0.1469933184855234,1903.0,273.0,0.1434576983709932,167.0,27.0,0.1616766467065868,203.0,44.0,0.2167487684729064,9080.0,1116.0,0.1229074889867841,12.0,0.0,0.0,,,,11.0,0.0,0.0,39.0,2.0,0.0512820512820513,175.0,17.0,0.0971428571428571,147.0,29.0,0.1972789115646259
2021-10-22 00:00:00,23991,2522,0.1051227543662207,170.0,24.0,0.1411764705882353,414.0,30.0,0.072463768115942,429.0,65.0,0.1515151515151515,73.0,2.0,0.0273972602739726,1497.0,213.0,0.1422845691382766,3340.0,345.0,0.1032934131736527,482.0,69.0,0.1431535269709544,554.0,83.0,0.1498194945848375,14946.0,1529.0,0.1023016191623177,29.0,1.0,0.0344827586206897,2.0,0.0,0.0,40.0,7.0,0.175,188.0,16.0,0.0851063829787234,966.0,72.0,0.0745341614906832,292.0,35.0,0.1198630136986301
2021-10-21 00:00:00,25374,2388,0.0941120832348073,167.0,22.0,0.1317365269461078,288.0,29.0,0.1006944444444445,564.0,43.0,0.0762411347517731,129.0,9.0,0.0697674418604651,1448.0,218.0,0.1505524861878453,3996.0,369.0,0.0923423423423423,424.0,87.0,0.205188679245283,603.0,76.0,0.1260364842454395,14668.0,1339.0,0.091287155713117,30.0,1.0,0.0333333333333333,5.0,1.0,0.2,53.0,12.0,0.2264150943396227,340.0,18.0,0.0529411764705882,1066.0,79.0,0.074108818011257,613.0,49.0,0.0799347471451876
2021-10-20 00:00:00,26386,2605,0.0987265974380353,132.0,14.0,0.1060606060606061,319.0,26.0,0.0815047021943574,571.0,66.0,0.1155866900175131,148.0,9.0,0.0608108108108108,1673.0,207.0,0.123729826658697,3969.0,372.0,0.0937263794406652,496.0,92.0,0.1854838709677419,602.0,77.0,0.1279069767441861,16117.0,1524.0,0.0945585406713408,23.0,2.0,0.0869565217391304,8.0,0.0,0.0,90.0,14.0,0.1555555555555556,344.0,36.0,0.1046511627906977,482.0,81.0,0.1680497925311204,388.0,42.0,0.1082474226804124
2021-10-19 00:00:00,32576,2731,0.0838347249508841,225.0,25.0,0.1111111111111111,424.0,41.0,0.0966981132075472,660.0,84.0,0.1272727272727273,139.0,18.0,0.1294964028776979,2227.0,207.0,0.0929501571621015,4599.0,414.0,0.0900195694716243,472.0,82.0,0.1737288135593221,1156.0,88.0,0.0761245674740484,18534.0,1559.0,0.0841156792921118,242.0,5.0,0.0206611570247934,3.0,0.0,0.0,83.0,15.0,0.1807228915662651,180.0,18.0,0.1,1200.0,84.0,0.07,661.0,46.0,0.0695915279878971
2021-10-18 00:00:00,33912,3174,0.0935951875442321,304.0,46.0,0.1513157894736842,619.0,28.0,0.0452342487883683,693.0,83.0,0.1197691197691198,145.0,10.0,0.0689655172413793,2262.0,261.0,0.1153846153846154,4869.0,429.0,0.0881084411583487,646.0,88.0,0.1362229102167183,633.0,79.0,0.1248025276461295,19867.0,1864.0,0.0938239291287059,47.0,5.0,0.1063829787234043,6.0,0.0,0.0,65.0,9.0,0.1384615384615385,470.0,35.0,0.074468085106383,1372.0,114.0,0.0830903790087464,651.0,85.0,0.130568356374808
2021-10-17 00:00:00,13283,1647,0.1239930738537981,92.0,17.0,0.1847826086956522,206.0,14.0,0.0679611650485437,307.0,60.0,0.1954397394136808,27.0,2.0,0.0740740740740741,858.0,126.0,0.1468531468531469,1803.0,227.0,0.1259012756516916,159.0,24.0,0.1509433962264151,245.0,46.0,0.1877551020408163,8743.0,1015.0,0.1160928742994396,9.0,2.0,0.2222222222222222,,,,25.0,7.0,0.2800000000000001,61.0,9.0,0.1475409836065574,210.0,42.0,0.2,191.0,28.0,0.1465968586387435
2021-10-16 00:00:00,14648,1726,0.1178317859093392,99.0,18.0,0.1818181818181818,165.0,23.0,0.1393939393939394,284.0,62.0,0.2183098591549296,29.0,0.0,0.0,960.0,152.0,0.1583333333333333,1880.0,208.0,0.1106382978723404,228.0,35.0,0.1535087719298246,305.0,60.0,0.1967213114754098,9651.0,1054.0,0.1092114806755777,10.0,0.0,0.0,4.0,0.0,0.0,16.0,7.0,0.4375,49.0,8.0,0.163265306122449,346.0,50.0,0.1445086705202312,239.0,24.0,0.100418410041841
