date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,20728,23058,21230,18536,13466,178
1/1/2022,922880,616679,628196,714474,1273343,552530
1/10/2021,34227,35330,33509,30425,31184,395
1/11/2021,36149,37144,35492,32121,35576,450
1/12/2021,38906,39841,38306,34676,43468,544
1/13/2021,41647,42774,41457,37437,52513,620
1/14/2021,44388,45827,44723,40500,62175,678
1/15/2021,47843,49088,48147,43660,71655,771
1/16/2021,49615,50656,49832,45283,77097,808
1/17/2021,50711,51669,50911,46373,80607,837
1/18/2021,52356,53187,52666,48133,88687,871
1/19/2021,54400,55059,54731,50352,98887,958
1/2/2021,22609,24769,22799,19958,14604,202
1/2/2022,923065,616785,628326,714594,1273451,552864
1/20/2021,56925,57623,57794,53572,111413,1069
1/21/2021,59718,60571,61300,57224,127472,1204
1/22/2021,64182,64734,65915,62166,143421,1337
1/23/2021,67425,67490,68989,65364,154052,1472
1/24/2021,68928,68875,70504,67049,161770,1518
1/25/2021,71296,71039,73110,70019,175579,1587
1/26/2021,74192,73560,76006,73256,193027,1679
1/27/2021,77304,76215,78979,76706,212132,1767
1/28/2021,80404,78869,82045,80466,233639,1888
1/29/2021,84266,82040,85454,84269,253842,2060
1/3/2021,23487,25509,23462,20511,14987,219
1/30/2021,87047,84175,87798,86728,265351,2219
1/31/2021,87955,84902,88664,87774,271432,2255
1/4/2021,25192,27161,25095,22033,17032,238
1/5/2021,26962,28841,26696,23628,19270,266
1/6/2021,29146,30781,28764,25704,22488,323
1/7/2021,30931,32437,30548,27531,25939,354
1/8/2021,32633,34041,32225,29218,28471,371
1/9/2021,33708,34886,33076,30013,30677,390
10/1/2021,818975,559752,577537,659656,1189088,365054
10/10/2021,828515,564805,581612,662945,1194042,369637
10/11/2021,829848,565571,582186,663453,1194869,370305
10/12/2021,830611,565940,582483,663690,1195272,370728
10/13/2021,831652,566496,582963,664068,1195918,371217
10/14/2021,832939,567142,583534,664560,1196673,371726
10/15/2021,834479,567892,584214,665081,1197289,372309
10/16/2021,835451,568317,584576,665381,1197562,373575
10/17/2021,836163,568610,584800,665539,1197735,373833
10/18/2021,837422,569319,585370,666030,1198468,374320
10/19/2021,838508,569931,585830,666504,1199127,374843
10/2/2021,819932,560236,577979,659998,1189483,365580
10/20/2021,839571,570488,586275,666947,1199773,375360
10/21/2021,840695,571102,586813,667399,1200400,375798
